time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,62.16,790.61,2165.03,2913.12
0.04,62.42,59.35,370.04,1862.28,3140.53
0.05,61.3,56.55,575.03,1958.35,3430.84
0.06,62.11,57.38,731.03,2314.63,3081.46
0.07,61.96,58.5,892,2389.76,3728.32
0.08,0,62.73,1157.14,2179.92,3374.6
0.09,0,65.95,1466.44,2335.46,3450.5
0.1,0,65.96,1530.3,2474.53,3769.44
0.11,0,63.44,1383.82,2420.91,3542.01
0.12,0,59.53,1563.22,2352.23,3530.29
0.13,0,56.49,1672.87,2470.1,3504.98
0.14,0,54.22,1666.06,2409.76,3264.58
0.15,0,56.43,1414.25,2278.6,3206.86
0.16,0,60.93,1428.87,1949.58,3045.66
0.17,126.06,67.13,438.13,1866.52,2568.18
0.18,119.79,71.37,512.25,1757.02,2318.47
0.19,118.26,73.33,545.65,1748.71,2294.03
0.2,118.98,74.35,563.86,1726.33,2240.48
0.21,119.73,75.13,581.3,1735.53,2235.79
0.22,120.34,75.54,603.03,1758.35,2259.31
0.23,121.06,75.98,616.7,1747.5,2209.29
0.24,122.05,76.48,600.2,1753.57,2068.04
0.25,122.78,76.62,571.23,1731.13,1988.68
0.26,123,76.82,586.27,1744.85,1929.25
0.27,122.81,77.1,561.79,1735.71,1881.93
0.28,122.48,76.92,546.9,1709.94,1883.97
0.29,122.07,76.81,537.61,1729.52,1773.54
0.3,121.61,76.79,517.91,1637.7,1803.53
0.31,121.19,76.9,509.94,1621.82,1806.23
0.32,120.64,76.99,495.01,1733.72,1797.74
0.33,119.92,76.77,457.65,1759.82,1825.42
0.34,119.05,76.58,418.65,1787.96,1908.63
0.35,118.28,76.53,411.63,1805.51,1970.88
0.36,117.66,76.29,419.83,1782.21,2191.45
0.37,117.15,76.01,416.14,1699.3,2395.91
0.38,116.75,75.79,401.57,1697.56,2549.43
0.39,116.24,75.43,341.22,1708.82,2641.29
0.4,114.82,74.71,271.41,1664.29,2625.88
0.41,113.41,74.05,221.34,1728.03,2860.92
0.42,113.38,74,194.93,1708.65,2834.03
0.43,113.33,74.2,236.81,1756.49,2719.56
0.44,112.74,73.65,261.95,1738.74,2615.66
0.45,111.74,72.07,288.85,1717.03,2830.57
0.46,109.99,70.38,302.34,1719.63,2866.96
0.47,108.33,68.04,254.59,1685.09,2810.42
0.48,193.54,65.7,263.5,1656.51,2918.36
0.49,225.66,64.42,251.56,1834.48,3156.16
0.5,226.97,65.22,97.15,1809.46,3383.96
0.51,0,65.58,1126.93,2748.21,3938.03
0.52,0,64.28,1767.39,3393.94,4088.76
0.53,0,64.53,1655.58,2790.15,3951.02
0.54,457.45,65.61,1501.51,2716.88,3989.04
0.55,458.5,65.43,1419.38,2493.64,3921
0.56,0,64.54,1496.08,2334.79,3853.97
0.57,0,62.05,1545.04,2582.19,4123.96
0.58,435.99,60.86,1558.83,2499.81,4068.44
0.59,432.11,65.86,1282.57,2216.4,3584.91
0.6,431.92,69.66,1277.89,1679.87,3167.88
0.61,436.36,69.19,1295.36,2934.58,4004.77
0.62,0,68.98,1081.96,1570.26,2984.97
0.63,0,70.84,867.76,1754.98,3096.93
0.64,0,71.73,476.61,1279.81,2030.78
0.65,0,72.07,509.24,1272.02,1977.32
0.66,0,72.86,569.8,1384.37,2034.04
0.67,0,73.43,575.27,1439.2,2041.78
0.68,0,73.46,609.04,1578.64,2053.73
0.69,0,73.52,606.72,1641.1,2095.42
0.7,0,73.35,607.67,1630.1,2154.84
0.71,0,71.82,649.51,1607.1,2118.5
0.72,0,69.26,607.12,1669.89,1997.26
0.73,0,67.37,643.19,1705.06,2022.17
0.74,0,66.78,606.17,1674.32,2230.14
0.75,0,67.53,624.69,1707.72,2142.91
0.76,0,67.51,606.48,1723.52,2142.91
0.77,0,65.38,586.6,1793.11,2220.36
0.78,0,64.11,559.79,1778.87,1998.74
0.79,0,64.36,611.31,1745.17,2078.42
0.8,0,65.33,558.55,1736.93,2810.01
0.81,0,65.89,640.3,1579.45,2621.62
0.82,0,64.88,541.07,1739.84,2607.81
0.83,0,64.88,540.48,1681.42,2049.61
0.84,0,63.01,547.89,1682.95,2079.68
0.85,0,60.54,563.15,1730.68,2053.09
0.86,0,60.44,546.23,1658.88,1885.73
0.87,0,58.44,1545.47,1820.73,3429.04
0.88,0,58.07,202.72,1665.67,1994.72
0.89,0,58.76,957.69,1683.02,3284.84
0.9,0,61.87,678.42,1877.61,3360.7
0.91,0,64.71,826.22,1745.2,3401.84
0.92,0,63.38,756.65,1671.33,3275.61
0.93,0,63.49,706.09,1745.84,3300.13
0.94,0,64.27,1280.23,1950.92,3501.59
0.95,0,62.31,1366.76,2244.28,3782.58
0.96,0,58.35,873.24,2104.06,3724.79
0.97,0,59.02,1788.98,2704.33,4327.52
0.98,0,60.14,1486.02,2251.92,3632.92
0.99,0,60.19,1338.44,2558.81,3590.66
1,0,0,0,0,0
1.01,0,0,0,0,0
