time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,63.6,1896.54,3431.99,3791.6
0.04,0,63.16,1649.06,2649.46,3851.13
0.05,0,61.06,72.69,2298.67,3187.49
0.06,0,58.65,140.69,1288.07,2555.63
0.07,0,58.15,1525.77,2409.14,3419.63
0.08,0,57.28,1547.33,2444.69,3679.44
0.09,0,59.11,1467.43,2460.61,3700.86
0.1,0,60.69,1684.27,2321.21,4018.74
0.11,0,59.57,1409.67,2278.02,3267.55
0.12,0,57.95,1533.59,2710.2,4084.35
0.13,0,60.28,1448.12,2281.32,3758.29
0.14,0,63.73,376.04,1709.22,2495.61
0.15,0,68.07,124.45,1414.87,2207.42
0.16,113.65,70.46,203.47,1376.95,2220.53
0.17,114.42,70.31,195.3,1344.99,2206.74
0.18,113.57,69.79,204.35,1296.1,2210.46
0.19,114.07,70.27,204.04,1339.25,2326.64
0.2,113.76,70.73,390.63,1396.82,2401.29
0.21,112.95,71.77,512.66,1423.34,2459.57
0.22,112.05,72.13,567.17,1437.85,2558.94
0.23,111.65,72.28,603.51,1415.09,2587.54
0.24,111.55,72.76,581.21,1361.66,2624.31
0.25,111.5,72.96,541.46,1322.56,2661.85
0.26,111.53,72.7,517.55,1282.32,2672.39
0.27,111.49,72.81,509.08,1221.03,2679.24
0.28,111.08,72.89,511.33,1190.65,2681.92
0.29,110.2,72.94,527.73,1132.24,2699.58
0.3,109.46,72.84,527.41,1105.41,2705.14
0.31,109.18,72.95,530.78,1098.99,2733.37
0.32,108.23,72.85,541.63,1102.4,2715.75
0.33,106.61,72.4,556.54,1101.36,2690.72
0.34,104.89,72.35,615.57,1140.53,2698.64
0.35,103.63,73.02,644.58,1146.22,2690.02
0.36,102.31,73.58,658.91,1157.86,2676.4
0.37,98.46,73.62,647.87,1157.58,2665.8
0.38,95.31,74.09,614.21,1188.76,2655.42
0.39,94.38,74.28,611.62,1129.82,2635.72
0.4,93.91,73.97,615.61,1085.44,2603.11
0.41,93.59,73.78,565.68,1074.97,2561.37
0.42,92.7,73.12,572.51,1036.68,2563.75
0.43,90.98,73,537.38,1078.71,2546.92
0.44,89.49,72.52,532.25,1087.52,2500.35
0.45,89.06,71.23,549.4,1094.11,2542.95
0.46,88.65,69.76,545.55,1132.06,2526.29
0.47,0,68.26,556.7,1179.76,2518.72
0.48,0,69.89,603.82,1258.26,2496.15
0.49,0,70.85,631.35,1293.32,2503.03
0.5,0,69.97,661.18,1362.89,2516.92
0.51,0,70.46,684.17,1379.8,2504.78
0.52,349.54,68.01,710.13,1404.62,2560.8
0.53,351.05,70.36,761.85,1418.23,2563.91
0.54,351.38,72.87,752.18,1401.53,2527.52
0.55,351.82,69.93,697.87,1382.11,2561.05
0.56,0,67.01,630.59,1354.93,2588.72
0.57,0,68.71,623.44,1316.67,2548.85
0.58,0,69.23,677.58,1298.6,2522.61
0.59,0,65.28,635,1300.64,2523.56
0.6,312.48,64.83,609.36,1244.33,2535.21
0.61,309.54,67.47,590.39,1195.08,2565.16
0.62,314.22,67.34,560.05,1169.16,2563.12
0.63,330.14,64.58,589.34,1183.13,2577.32
0.64,0,65.19,447.22,1145.39,2594.61
0.65,0,66.39,311.61,1116.09,2534.91
0.66,0,65.71,186.61,1052.83,2542.13
0.67,0,62.82,445.45,1282.67,2612.84
0.68,0,60.26,532.75,1272.88,2578.37
0.69,0,62.09,1019.89,2227.85,3243.21
0.7,0,65.36,836.5,2448.42,2554.21
0.71,0,65.96,374.9,1464.34,2843.72
0.72,0,64.05,751.94,2279.46,3290.39
0.73,0,64.66,1083.71,2534.51,3502.13
0.74,0,63.9,1037.78,2479.87,3632.93
0.75,0,61.25,1251.4,2463.81,3606.8
0.76,0,58.48,885.09,2286.06,3634.01
0.77,0,57.81,1266.97,2562.07,3822.79
0.78,0,59.79,86.8,1330.96,2595.42
0.79,0,63.58,1250.26,2440.56,3517.09
0.8,0,64.07,1294.5,2456.02,3480.76
0.81,0,61.83,1458.29,2465.45,3620.63
0.82,0,0,0,0,0
0.83,0,0,0,0,0
