time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1663.52,2484.65,3450.58
0.04,0,65.45,955.57,2225.47,3089.47
0.05,0,63.34,1707.72,2605.96,3573.53
0.06,0,62.92,1464.31,2183.02,3481.19
0.07,0,60.01,1762.19,3133.55,3565.88
0.08,0,58.5,1671.67,2701.85,3432.28
0.09,0,62.74,1942.75,3459.52,4281.31
0.1,0,65.23,1813.68,3499.43,4041.59
0.11,0,65.07,1606.5,3176.65,3909.71
0.12,0,62.17,1666.77,2974.31,3417.03
0.13,55.59,59.37,1572.05,2642.91,3598.7
0.14,55.47,59.53,1930.22,3032.2,3798.72
0.15,0,63.68,2049.63,3348.89,3922.56
0.16,143.73,71.34,376.87,1916.16,2779.12
0.17,140.61,76.85,433.63,1896.92,2413.52
0.18,137.37,78.85,426.56,1995.27,2443.99
0.19,136.7,79.22,410.45,2073.73,2451.67
0.2,136.17,78.76,415.36,2128.96,2480.5
0.21,135.64,76.78,400.86,2218.32,2563.5
0.22,135.36,74.93,364.6,2197.57,2340.35
0.23,132.16,74.36,347.51,1897.12,2300.6
0.24,129.76,74.08,353.13,1823.64,2240.36
0.25,129.14,73.5,268.97,2027.73,2413.44
0.26,128.12,72.61,268.78,2027.83,2530.02
0.27,129.14,70.48,326.9,2150.76,2371.72
0.28,0,67.69,370.4,1960.82,2293.24
0.29,0,65.41,376.88,2132.75,2636.88
0.3,0,65.01,561.33,2445.5,2579.12
0.31,0,63.82,503.24,2485.86,2820.66
0.32,136.27,64.57,370.54,2471.26,2726.99
0.33,136.17,70.47,353.09,2258.04,2603.11
0.34,135.93,75.15,413.74,2214.05,2540.38
0.35,131.93,75.75,416.98,2225.67,2546.69
0.36,128.52,74.62,409.89,2153.55,2549.18
0.37,127.92,74.26,396.55,2164.59,2536
0.38,126.37,73.74,391.47,2230.18,2522.68
0.39,123.96,73.4,370.56,2225.78,2594.61
0.4,122.15,73.27,301.14,2235.44,2626.07
0.41,121.26,72.8,1130.16,2240.13,2860.65
0.42,120.36,72.59,809.56,2209.92,2681.97
0.43,118.43,72.53,274.52,1552.79,2188.69
0.44,115.69,72.47,200.07,1417.08,2151.34
0.45,112.35,72.03,690.62,1695.1,2688.91
0.46,110.16,71.24,462.2,1825.17,2756.97
0.47,107.18,72.04,305.45,2166.09,2721.61
0.48,0,73.07,361.14,2175.26,2539.44
0.49,0,73.14,494.3,2062.21,2375.93
0.5,0,73.08,590.83,1935.87,2394.61
0.51,0,72.6,644.17,1859.41,2392.42
0.52,0,71.99,591.7,1822.32,2378.5
0.53,0,72.23,649.18,1785.28,2422.1
0.54,90.75,73.35,700.96,1741.53,2422.05
0.55,90.78,73.68,712.75,1719.85,2424.23
0.56,92.36,73.82,761.92,1700.7,2462.34
0.57,93.78,74.15,796.41,1703.77,2445.59
0.58,93.89,74.78,820.54,1629.84,2445.09
0.59,94,75.38,772.7,1535.57,2434.32
0.6,94.26,75.84,773.57,1479.13,2445.92
0.61,94.69,76.47,738.43,1435.45,2433.49
0.62,95.19,76.88,703.92,1356.27,2417.26
0.63,95.76,76.73,649.3,1273.98,2422.9
0.64,96.38,76.68,635.52,1257.73,2438.55
0.65,97.04,76.5,645.47,1233.78,2472.91
0.66,96.45,75.05,690.45,1082.74,2541.08
0.67,0,73.46,835.71,1832.43,2919.84
0.68,0,71.52,934.65,2595.35,3264.18
0.69,0,68.55,800.2,1784.95,3356.38
0.7,0,68.6,535.01,1204.35,2651.75
0.71,0,66.91,540.1,1230.39,2615.06
0.72,0,64.42,615.49,1294.8,2571.38
0.73,0,64.54,590.01,1362.76,2609
0.74,0,64.94,525.56,1306.04,2585.76
0.75,0,66.77,517.14,1055.79,2644.75
0.76,0,67.96,453.04,1144.13,2700.53
0.77,0,68.85,495.77,686.24,2657.49
0.78,0,68.74,597.35,839.95,2632.95
0.79,85.79,69.05,646.57,976.34,2645.09
0.8,85.66,71.12,594.9,1105.53,2625.49
0.81,85.47,72.2,642.86,1150.25,2643.77
0.82,84.69,72.88,663.62,1232.64,2669.86
0.83,83.93,73.49,681.66,1288.79,2667.54
