time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,55.61,62.82,1493.8,2459.92,3440.8
0.04,54.32,64.46,1321.47,2658.35,3623.34
0.05,0,65.03,2040.03,2771.11,3637.97
0.06,0,61.3,1102.8,2481.52,3494.03
0.07,0,59.03,1320.43,2841.57,3604.31
0.08,146.6,69.85,587.26,1448.66,2851.03
0.09,144.42,78.24,606.78,1335.25,2669.53
0.1,140.84,81.32,614.22,1286.82,2647.6
0.11,137.03,80.88,550.24,1192.55,2615.32
0.12,128.13,78.66,472.83,1174.5,2616.61
0.13,120.25,76.18,365.96,1094.37,2662.91
0.14,0,73.74,311.11,1150.22,2655.89
0.15,0,70.26,510.68,1068.62,2601.93
0.16,0,68.33,469.23,1076.58,2549.62
0.17,0,67.53,504.56,1119.51,2523.54
0.18,0,66.25,492.48,1112.27,2582.86
0.19,0,64.77,511.96,1132.95,2587.45
0.2,0,64.45,504.88,1094.48,2618.4
0.21,0,63.83,490.7,1055.51,2551.03
0.22,0,64.34,498.58,1163.26,2825.51
0.23,0,66.09,498.67,1647.35,2896.11
0.24,0,69.48,1376.07,2601.74,3724.07
0.25,0,70.46,1953.49,2936.98,4146.94
0.26,0,69.07,1152.92,2513.66,3392.75
0.27,0,67.67,1049.98,2758.75,3184.7
0.28,0,66.08,888.61,2181.32,3221.73
0.29,0,64.97,572.4,2281.74,3255.02
0.3,0,64.32,1930.44,3114.29,3791.04
0.31,0,63.5,1751.06,2906.15,3528.52
0.32,0,67.28,2291.45,3310.85,4436.61
0.33,0,73.98,284.9,2520.27,3295.03
0.34,178.21,76.34,330.99,2572.82,3271.29
0.35,182.73,76.53,317.14,2526.07,3163.46
0.36,184.28,76.94,290.15,2477.5,3113.75
0.37,185.36,77.37,281.44,2597.97,3136.19
0.38,186.58,77.83,273.87,2617.37,3440.29
0.39,188.32,78.39,268.1,2642.54,3312.85
0.4,189.63,77.94,242.28,2636.9,3322.33
0.41,189.64,76.1,202.87,2216.32,3235.27
0.42,190.55,74.25,2229.04,3098.74,4366.88
0.43,191.05,73.68,2231.78,3046.52,4376.67
0.44,0,73.57,2164.23,3007.33,4446.11
0.45,0,73.04,2097.59,3041.81,4403.6
0.46,0,70.72,2048.02,3132.7,4399.71
0.47,0,69.41,2024.3,3083.83,4411.12
0.48,0,68.97,1916.93,3039.63,4375.65
0.49,0,67.85,1874.48,3024.26,4413.68
0.5,0,69.6,1902.06,3143.54,4334.12
0.51,213.13,76.58,350.25,1831.15,2936.3
0.52,212.14,80.62,410.21,1839.34,2902.57
0.53,210.76,81.78,417.11,1834.79,2938.24
0.54,207.86,80.55,403.01,1831.64,2958.19
0.55,203.58,77.5,369.05,1835.09,2982.85
0.56,204.3,74.89,391.28,1870.97,2907.7
0.57,208.52,72.36,304.5,1885.85,2943.04
0.58,209.14,70.62,388.81,1900.4,2941.94
0.59,208.82,69.4,423.57,1854.28,2983.54
0.6,0,66.37,1319.33,2543.73,3407.4
0.61,0,63.34,1642.09,2136.59,3155.65
0.62,0,61.59,435.6,1936.99,3050.79
0.63,0,61.61,415.87,1935.97,3080.1
0.64,0,63.35,387.53,1931.92,3319.82
0.65,0,64.15,308.21,2015.21,3016.2
0.66,0,64.8,364.53,1971.32,2981.83
0.67,0,69.39,563.14,1959.9,3051.41
0.68,0,71.73,513.28,2028.12,3119.62
0.69,455.14,70.24,492.23,2206.48,3137.3
0.7,452.43,67.83,589.54,2096.53,3083.89
0.71,457.34,66.26,503.11,2163.36,3060.17
0.72,457.45,65.63,253.08,2364.4,3101.85
0.73,0,65.01,2142.8,2883.05,3934.94
0.74,172.3,70.94,460.34,2329.42,3012.15
0.75,169.51,78.35,442.58,2487.77,3034.86
0.76,165,81.93,489.28,2466.99,3147.82
0.77,160.09,84.44,481.87,2385.78,2939.14
0.78,154.19,84.78,471.53,2371.05,2815.42
0.79,0,82.94,480.08,2443.32,2786.16
0.8,0,81.92,467.99,2542.46,2945.95
0.81,0,82.54,441.74,2644.36,3043.77
0.82,0,82.38,430.71,2701.65,3064.37
0.83,0,81.32,355.42,2717.1,3131.16
