time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,53.59,61.6,1645.97,2783.56,3793.2
0.04,53.94,61.68,1653.58,2698.07,3769.13
0.05,0,60.18,1593.94,2687.83,3702.69
0.06,0,57.85,1708.37,2738.27,3676.1
0.07,0,57.79,182.51,1626.96,2678.99
0.08,0,59.5,121.01,1550.18,2808.68
0.09,0,62.35,1561.46,2858.96,3998.45
0.1,0,61.17,850.49,1722.1,3004.83
0.11,0,58.63,1663.66,2612.35,3942.34
0.12,0,62.59,1223.09,2380.76,3378.15
0.13,0,66.64,933.73,1687.07,2834.76
0.14,0,67.01,830.21,1861.18,2716.29
0.15,0,63.37,322.86,1708.47,2707.19
0.16,0,57.63,347.19,1658.78,2514.46
0.17,0,58.78,285.37,1721.94,2711.66
0.18,0,61.77,590.29,1767.38,2910.13
0.19,0,64.48,1180.26,2364.73,3631.2
0.2,0,73.75,425.35,1603.22,2860.59
0.21,131.72,80.63,484.26,1333.76,2867.39
0.22,130.83,83.4,462.46,894.03,2868.09
0.23,128.96,84.14,354,991.22,2873.78
0.24,126.84,84.01,300.47,992.55,2917.27
0.25,125.81,83.92,246.07,801.82,2918.57
0.26,126.83,84.16,390.26,857.41,2958.29
0.27,130.74,84.22,270.26,684.5,2965.36
0.28,139.56,84.39,298.07,741.2,2981.83
0.29,152.8,85.98,272.54,634.43,3010
0.3,163.12,88.76,532.62,1351.88,3059.23
0.31,168.51,91.18,535.82,1526.15,3060.4
0.32,173.13,91.91,552.44,1671.24,3009.3
0.33,180.76,91.46,618.63,1570.15,2955.15
0.34,189.14,91.47,622.46,1780.58,2968.79
0.35,197.9,91.31,613.27,1747.9,2927.48
0.36,209.61,90.08,709.34,1414.39,2827.94
0.37,216.5,89.7,667.27,1213,2822.57
0.38,219.39,90.7,564.29,1436.21,2679.41
0.39,220.14,91.52,535.11,1551.6,2686.24
0.4,220.9,91.61,492.78,1422.13,2551.43
0.41,223.15,91.26,463.77,1348.36,2762.4
0.42,226.11,90.31,477.31,1377.75,2787.03
0.43,228.17,89.7,536.93,1247.87,2742.11
0.44,228.88,90.76,536.79,1235.62,2724.1
0.45,228.69,91.49,511.25,1580.17,2574.67
0.46,227.09,90.91,506.64,1429.05,2692.84
0.47,223.88,89.31,505.13,1025.11,2766.83
0.48,219.77,88,509.33,984.68,2782.56
0.49,216.27,87.05,473.82,987.25,2729.61
0.5,214.33,84.61,472.55,1050.97,2738.39
0.51,212.75,81.28,532.75,1049.87,2739.88
0.52,216.06,79.86,598.29,1086.11,2870.2
0.53,218.11,78.88,479.74,1764.44,3094.32
0.54,220.22,76.52,614.81,1723.39,3045.34
0.55,224.72,72.96,630.18,1715.53,2843.61
0.56,227.33,72.21,836.87,2145.79,3244.25
0.57,226.67,74,499.31,992.84,2916.89
0.58,225.48,74.17,464.13,1355.58,2870.59
0.59,224.73,71.04,559.58,1170.01,2969.5
0.6,222.64,69.32,542.8,2249.35,3077.04
0.61,222.92,69.71,496.97,1842.15,3024.1
0.62,232.14,72.44,514.23,1942.74,2994.09
0.63,232.66,77.72,298.37,2090.83,2770.64
0.64,227.04,79.61,288.67,2251.28,2826.27
0.65,226.15,80.84,283.98,2367.78,3180.17
0.66,228.28,82.56,285.87,2386.82,3157.08
0.67,231.74,83.45,276.59,2438.8,3202.67
0.68,235.94,83.39,286.23,2511.8,3223.27
0.69,239.85,83.06,310.3,2646.16,3166.01
0.7,242.76,83.34,311.45,2699.39,3160.88
0.71,244.31,84.16,310,2588.91,3043.26
0.72,244.51,84.42,324.83,2554.49,2981.74
0.73,243.24,83.97,356.88,2501.9,2937.18
0.74,238.36,83.32,359.7,2362.75,2845.66
0.75,226.49,82.52,322.27,2180.52,2720.46
0.76,208.41,81.62,343.82,1963.04,2692.81
0.77,0,81.79,348.36,1846.79,2654.93
0.78,318,84.34,341.35,1763.87,2688.56
0.79,309.76,86.75,315.17,1717,2653.46
0.8,301.85,85.29,320.79,1633.48,2656.94
0.81,288.82,81.41,334.87,1560.79,2634.46
0.82,284.95,79.81,310.55,1466.98,2544.08
0.83,288.31,77.95,324.74,1352.05,2579.43
