time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1899.65,2771.58,4008.44
0.04,0,61.92,677.35,2421.45,3559.64
0.05,0,61.52,1800.2,2884.53,3956.9
0.06,0,58.22,501.01,2207.23,2885.37
0.07,0,58.25,135.1,2086.37,3172.71
0.08,0,61.16,1752.75,2840.77,4166.21
0.09,0,61.57,115.46,1900.35,2974.25
0.1,0,59.23,267.33,2150.48,3492.52
0.11,0,58.82,142.37,2068.11,3274.42
0.12,470.57,62.01,1675.27,2839.9,4200.65
0.13,465.18,64.27,1774.51,3015.5,3093.16
0.14,458.21,66.08,1454.57,2589.39,3140.67
0.15,456.44,65.44,675.34,2035.75,3101.6
0.16,459.51,65.49,1692.75,2749.87,3606.3
0.17,0,66.67,1819.34,2779.03,3337.77
0.18,194.01,70.57,710.73,1919.14,2666.61
0.19,195.36,76.95,493.31,1876.49,2673.86
0.2,199.01,80.09,570.36,1778.36,2582.67
0.21,204.84,81.54,700.19,1772.54,2872
0.22,208.6,82.96,795.63,1719.57,2624.39
0.23,209.94,84.42,878.28,1674.48,2590.42
0.24,210.03,85.48,892.68,1656.82,2652.79
0.25,208.98,86.07,897.06,1643.5,2686.13
0.26,206.69,86.47,902.15,1616.81,2670.38
0.27,202.89,87.08,876.96,1607.09,2714.34
0.28,197.79,87.95,825.32,1604.18,2765.17
0.29,191.51,88.62,788.27,1597.05,2734.02
0.3,0,88.68,779.38,1620.32,2725.66
0.31,0,88.22,779.96,1599.47,2667.5
0.32,0,86.89,822.78,1604.8,2725.57
0.33,0,84.78,818.93,1639.63,2685.73
0.34,0,83.98,770.14,1699.83,2680.88
0.35,0,81.71,760.27,1670.57,2783.34
0.36,0,77.73,770.26,1703.09,2753.72
0.37,0,74.35,739.95,1703.47,2865.57
0.38,0,71.87,762.52,1618.96,2803.76
0.39,0,70.65,775.72,1578.34,2693.02
0.4,0,69.54,847.64,1587.07,2761.2
0.41,0,68.15,826.74,1608.67,2696.61
0.42,0,67.61,858.81,1668.24,2737.02
0.43,0,68.24,912.38,2338.71,3205.45
0.44,0,69.92,953.93,2070.15,3126.73
0.45,0,70.36,910.82,2363.79,3098.22
0.46,0,68.2,1002.62,2385.84,2941.82
0.47,0,67.06,962.72,1979.11,2915.23
0.48,0,67.61,1114.89,2000.36,2797.93
0.49,0,70.14,1131.83,2555.64,3016.12
0.5,0,72.59,1109.36,2524.7,2912.44
0.51,0,72.21,912.83,2974.94,3295.6
0.52,0,68.54,1138.44,3188.51,3886.84
0.53,0,66.1,1039.65,2200.72,3327.1
0.54,0,67.22,1239.84,2985.99,4265.83
0.55,0,68.63,1496.09,3006.7,4343.79
0.56,0,68.78,1567.47,2949.3,4237.65
0.57,0,68.84,1807.07,3747.52,4295.63
0.58,0,69.41,1655.75,3059.2,4241.36
0.59,0,69.88,1663.06,3308.52,4478.78
0.6,0,70.13,1765.23,3332.31,4652.42
0.61,0,70.14,1690.84,2842.07,4283.63
0.62,164.01,73.86,642.35,1942.47,3084.56
0.63,163.68,79.28,465.28,1512.43,2930.24
0.64,162.85,81.58,502.9,1544.47,2957.22
0.65,161.31,82.19,509.78,1546.02,2881.01
0.66,159.56,81.13,516.72,1450.62,2657.29
0.67,158.76,78.67,292.9,1201.79,2396.48
0.68,159.28,77.98,933.55,2415.61,3585.51
0.69,159.91,78.83,377.2,1710.55,2538.82
0.7,160.41,79.33,359.41,1713.56,2599
0.71,160.89,79.43,376.15,1803.8,2597.2
0.72,161.24,79.56,405.51,2235.4,2740.16
0.73,161.66,79.48,437.06,2241.63,2996.4
0.74,161.93,79.15,414.26,2210.09,2975.58
0.75,161.06,78.58,396.78,1782.4,2965.91
0.76,158.74,76.89,373.64,1697.79,2892.7
0.77,155.84,73.79,307.99,1710.49,2970.96
0.78,0,70.21,386.86,1773.07,3382.92
0.79,0,68.24,420.61,1927.36,3539.95
0.8,0,67.89,449.27,2012.17,3679.05
0.81,0,68.62,377.97,1947.24,3529.96
0.82,0,69.14,1555.9,2971.51,4114.95
0.83,159.47,70.26,319.16,1942.22,3080.46
0.84,160.15,73.45,332.82,2006.64,2968.62
