time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,59.3,148.36,1867.86,2960.01
0.04,0,57.67,151.49,2044.45,2924.73
0.05,0,56.1,132.12,1911.47,2644.24
0.06,0,59.34,845.86,2072.59,3218.48
0.07,0,60.98,1792.8,2806.13,3738.98
0.08,0,59.67,1817.55,3046.62,4143.01
0.09,0,59.91,1726.54,2652.23,3486.45
0.1,0,60.52,1608.39,2776.03,3407.24
0.11,0,61.57,1786.95,2766.46,3518.63
0.12,0,60.31,1923.97,2929.37,4110.38
0.13,0,57.04,1893.15,2936,4065.15
0.14,0,59.57,1796.74,2916.72,4275.42
0.15,0,63.09,1784.44,2934.21,3376.3
0.16,465.95,62.39,1807.6,2997.05,4027.26
0.17,462.61,59.96,1827.33,2861.34,3857.86
0.18,455.51,59.31,1788.57,2537.95,3139.16
0.19,0,59.12,1780.65,2902.95,3356.22
0.2,0,61.34,1072.42,2454.69,3567.8
0.21,175.68,73.38,490.74,1763.1,2996.05
0.22,175.95,82.16,520.54,1735.54,2553.42
0.23,176.06,86.46,556.7,1759.57,2646.47
0.24,175.47,87.81,605.61,1786.92,2724.53
0.25,174.87,87.67,667.87,1834.26,2692.01
0.26,175.22,87.85,658.49,1881.19,2780.73
0.27,176.56,88.18,670.58,1902.2,2822.03
0.28,178.07,88.3,690.27,1907.74,2804.01
0.29,179.11,88.31,704.97,1914.86,2805.44
0.3,179.42,88.11,701.96,1917.66,2799.03
0.31,178.9,87.99,691.97,1911.57,2786.93
0.32,177.76,88.13,688.76,1907.34,2775.23
0.33,176.23,88.31,681.02,1893.56,2764.05
0.34,173.97,88.41,664.49,1877.12,2733.92
0.35,171.16,88.6,662.88,1846.52,2753.96
0.36,168.57,88.8,674.7,1807.92,2648.06
0.37,166.47,89.15,649.93,1780.47,2489.39
0.38,164.3,89.1,634.55,1753.36,2371.67
0.39,161.17,88.72,630.68,1733.49,2401.43
0.4,157.48,88.44,635.59,1683.21,2321.24
0.41,153.97,87.98,699.04,1707.59,2090.73
0.42,150.95,88.15,684.04,1736.5,2407.33
0.43,0,87.99,647.28,1699.97,2109.86
0.44,0,87.32,617.63,1637.89,1871.89
0.45,0,86.65,576.93,1681.78,1836.47
0.46,0,86.24,557.29,1705.35,1826.88
0.47,0,85.78,552.52,1632.13,1908.45
0.48,0,84.48,585.49,1677.64,2006.31
0.49,0,82.77,573.94,1671.26,2112.82
0.5,0,80.44,598.02,1747,2237.67
0.51,85.15,78.53,587.06,1758.11,2549.86
0.52,85.11,77.64,534.07,1744.93,3012.62
0.53,84.97,75.83,536.24,1737.16,2657.05
0.54,84.96,73.42,513.55,1722.61,2746.6
0.55,85.6,72.55,475.03,1641.27,2798.39
0.56,81.83,72.47,530.77,1571.21,2736.67
0.57,77.76,72.46,491.71,1612.1,2850.89
0.58,0,72.33,417.85,1630.21,2762.31
0.59,0,71,407.64,1612.57,2698.16
0.6,0,71.8,307.85,1544.34,2574.38
0.61,0,72.16,345.88,1696.5,3183.4
0.62,0,69.79,467.96,1742.68,3393.82
0.63,0,68.19,551.4,1880.03,3210.48
0.64,0,68.22,1090.84,2695.23,3995.31
0.65,0,68.65,1820.51,3617.26,4574.15
0.66,0,71.26,1781.52,3473.08,4354.19
0.67,0,73,1791.11,3414.73,4275.07
0.68,0,71.06,1805.65,3283.27,4140.15
0.69,0,66.95,1103.66,2463.74,3674.29
0.7,0,63.85,391.59,1731.6,3262.46
0.71,0,65.72,241.74,1691.39,3415.61
0.72,0,67.99,1760.1,3795.9,4058.42
0.73,0,67.33,1208.64,2663.99,4274.54
0.74,0,65.98,744.19,1549.93,3260.46
0.75,0,70.2,665.86,950.99,2986.04
0.76,0,75.49,510.71,655.51,2498.86
0.77,0,76.16,505.34,817.57,2512.02
0.78,0,73.6,540.21,1569.12,3313.74
0.79,0,72.87,637.01,2589.19,3608.66
0.8,0,72.72,625.47,1666.25,3088.98
0.81,0,71.69,624.29,1223.7,2927.66
0.82,0,70.11,621.55,1234.79,2566.72
0.83,0,70.03,622.16,1536.59,2368.53
0.84,0,71.56,655.6,1600.54,2396.13
