time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,65.08,2082.27,3254.44,4098.31
0.04,0,65.26,1837.86,2983.56,4028.23
0.05,0,64.37,1784.2,3204.53,4117.25
0.06,0,62.42,1741.79,3035.27,4089.44
0.07,0,61.63,483.73,1962.41,3194.03
0.08,0,62.17,2150.67,2957.68,4107.64
0.09,0,60.55,83.86,1907.71,2758.47
0.1,0,59.63,108.63,1870.51,3058.68
0.11,0,61,1134.41,2296.3,3577.71
0.12,0,63.6,1868.2,2639.86,4275.48
0.13,0,65.14,1547.86,2699.9,4158.6
0.14,0,63.64,1390.28,2447.78,3738.08
0.15,0,61.18,664.59,2098.88,2858.39
0.16,0,58.53,292.25,2135.98,3430.47
0.17,0,58.99,783.03,2045.66,3195.2
0.18,0,57.97,464.4,1837.77,2847.7
0.19,0,56.78,910.21,2276.06,3402.41
0.2,0,58.53,1896.18,3156.79,4758.59
0.21,0,58.09,1519.1,2419.85,3744.11
0.22,0,60.79,611.16,2272.26,3444.38
0.23,0,62.12,1104.54,2716.01,3505.37
0.24,0,60.17,1072.51,2303.24,3708.28
0.25,0,58.76,687.58,2251.73,3042.59
0.26,0,58.19,1567.45,2769.36,3986.87
0.27,0,60.02,615.59,2375.44,3338.91
0.28,0,63.01,759.2,2153.04,3126.95
0.29,0,64.29,940.92,2283.16,3296.85
0.3,0,64.17,580.16,2190.57,3253.46
0.31,0,64.31,491.11,2245.41,3703.09
0.32,187.49,70.69,173.39,2260.48,2820.56
0.33,183.62,76.59,227.3,1698.27,2390.45
0.34,181.24,78.52,242.61,1501.89,2407.58
0.35,182.65,79.33,231.69,1638.17,2403.47
0.36,188.6,80.66,229.7,1736.31,2309.7
0.37,194.06,82.89,339.69,1517.18,2438.31
0.38,197.56,84.44,516.4,1538.34,2700.5
0.39,200.7,85.37,583.97,1567.12,2825.89
0.4,203.88,86.1,608.58,1545.5,2862.22
0.41,207.48,85.9,652.84,1523.49,2914.67
0.42,213,84.98,677.59,1525.5,2950.3
0.43,220.34,85.01,689.23,1569.67,2937.61
0.44,226.16,86.64,670.21,1529.97,2972.6
0.45,230.75,87.41,661.62,1404.52,3025.82
0.46,234.9,87.66,661.11,1241.3,3041.65
0.47,239.26,87.79,648.76,1179.63,3011.51
0.48,243.65,88.15,648.94,1313.76,2949.66
0.49,247.93,88.85,583.12,1150.83,2974.1
0.5,252.6,89.33,555.45,1104.65,3011.61
0.51,257.1,88.52,587.99,1103.2,3058.21
0.52,259.31,87.64,632.75,1078.37,3091.96
0.53,259.23,87.53,651.38,1099.22,3093.02
0.54,257.52,87.28,687.37,1175.47,3106.68
0.55,254.34,87.56,665.87,1259.01,3081.4
0.56,250.74,88.09,613.75,1239.17,3004.63
0.57,247.2,88.73,560.32,1106.24,2882.71
0.58,244.69,90.08,537.36,1143.88,2548.06
0.59,243.37,91.01,553.15,1829.83,3094.22
0.6,241.86,90.61,585.86,970.53,1990.49
0.61,239.78,89.87,579.99,974.53,2451.44
0.62,237.5,89.5,593.79,1055.78,2880.4
0.63,234.83,88.75,624.77,1102.62,2815.14
0.64,231.44,88.06,683.76,1270.53,2766.13
0.65,227.87,87.91,651.74,1362,2653.46
0.66,224.59,87.34,673.32,1482.8,2656.73
0.67,220.35,86.25,681.51,1534.88,2649.32
0.68,213.26,85.8,738.09,1537.18,2697.13
0.69,204.07,86.62,748.22,1566.7,2660.63
0.7,197.13,87.47,755.84,1607.38,2798.59
0.71,0,87.75,756.38,1645.86,2731.07
0.72,0,88.27,766.43,1638.19,2694.26
0.73,0,88.48,792.42,1594.38,2597.47
0.74,0,87.99,814.8,1592.36,2628.52
0.75,0,87.84,811.2,1572.89,2628.21
0.76,0,88.16,804.99,1559.85,2604.22
0.77,0,88.29,815.03,1529.58,2626.46
0.78,0,87.89,802.78,1509.44,2609.68
0.79,0,86.44,793.15,1428.34,2541.14
0.8,0,84.68,766.34,1361.36,2542.19
0.81,0,82.4,747.26,1303.92,2578.26
0.82,71.45,80.43,756.43,1333.89,2408.28
0.83,71.59,79.05,757.24,1363.46,2439.68
0.84,66.98,78.11,754.77,1312.41,2482.23
