time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1228.46,1961.18,3219.27
0.04,0,61.02,1585.41,2016.32,2883.57
0.05,0,64.51,1587.95,1889.27,3044.78
0.06,0,65.52,1909.43,2981.75,4377.11
0.07,0,61.59,1761.41,1954.71,3297.79
0.08,0,57.15,1623.54,2451.38,3812.24
0.09,0,60.54,1526.2,3029.23,3439.41
0.1,0,63.82,1899.63,3095.66,4473.03
0.11,0,64.01,1806.02,3113.2,3410.41
0.12,0,68.02,1837.3,3069.93,4258.01
0.13,185.71,77.58,372.25,1944.82,2901.64
0.14,184.28,83.32,414.92,1945.16,2834.56
0.15,182.68,85.13,414.26,2047.75,2852.36
0.16,181.91,85.38,400.26,2142.22,2886.63
0.17,182.06,84.79,399.23,2217.8,2894.99
0.18,183.13,82.63,459.44,2345.38,2914.11
0.19,184.24,80.72,466.01,2488.01,2955.92
0.2,184.85,80.07,453.64,2593.86,3046
0.21,185.74,80.86,503.6,2354.56,2723.57
0.22,186.46,80.78,558.56,2308.92,2779.42
0.23,185.06,78.16,537.39,2291,2870.37
0.24,182.95,75.19,394.77,2339,2897.9
0.25,183.3,73.88,354.56,2313.86,2865.95
0.26,183.92,72.71,368.98,2308.12,2663.63
0.27,184.26,71.61,389.14,1910.42,3130.34
0.28,185.38,70.82,195.6,1866.13,3170.9
0.29,186.99,71.42,392.35,2298.31,3250.92
0.3,192.12,76.52,306.86,2462.82,3172.51
0.31,192.58,80.78,351.71,2573.78,3195.72
0.32,192.13,83.11,372.38,2666.49,3193.55
0.33,191.12,83.89,371.35,2705.91,3199.92
0.34,189.72,83.83,353.82,2740.93,3186.87
0.35,188.09,83.91,422.52,2664.15,3044.64
0.36,186.97,84.43,487.47,2170.93,2878.19
0.37,185.87,84.46,534.09,2116.83,2820.91
0.38,183.61,83.71,616.03,2162.44,2780.25
0.39,180.44,82.36,673.88,2200.46,2757.79
0.4,175.66,80.58,750.01,2561.76,2955.31
0.41,174.36,80.41,662.2,2529.39,3052.72
0.42,173.7,82.01,618.66,2353.42,2994.96
0.43,172.39,83.58,630.5,2210.08,2956.09
0.44,169.8,84.49,638.33,2022.56,2907.32
0.45,166.55,84.87,654.27,1922.99,2819.41
0.46,164.34,85.44,660.25,1845.5,2756.51
0.47,162.9,86.01,635.27,1780.95,2771.76
0.48,161.74,85.92,696.08,1740.41,2821.83
0.49,160.56,85.74,731.6,1657.08,2736.49
0.5,159.11,85.61,780.4,1586.36,2799.82
0.51,157.75,85.25,772.4,1462.3,2824.75
0.52,156.56,85.17,769.14,1393.43,2792.57
0.53,155.65,85.32,766.78,1297.45,2801.93
0.54,155.03,85.16,756.55,1252.68,2913.39
0.55,154.13,84.37,744.49,1226.05,2938.77
0.56,152.48,82.23,677.03,1187.15,2918.15
0.57,149.51,78.67,650.43,1296.56,2882.61
0.58,0,75.24,837.21,1406.7,2844.99
0.59,0,74.19,597.23,1272.99,2750.56
0.6,0,73.89,636.84,1241.66,2687.01
0.61,0,74.01,383.99,1243.26,2676.43
0.62,0,75.38,385.41,1273.26,2918.64
0.63,0,76.68,374.74,1363.77,3175.2
0.64,0,79.03,351.69,1091.74,3146.67
0.65,115.96,81.93,488.25,1174.65,2891.56
0.66,115.54,85.38,605.71,1294.46,2932.22
0.67,115.42,87.98,675.87,1420.95,2894.37
0.68,115.04,89.14,709.24,1452.79,2868.42
0.69,114.47,89.11,733.63,1489.09,2859.99
0.7,114.17,88.96,765.17,1508.63,2859.82
0.71,114.16,88.99,777.48,1523.68,2874.59
0.72,113.94,88.98,780,1534.3,2881.73
0.73,0,88.66,785.89,1562.53,2840.03
0.74,384.62,88.11,786.41,1572.12,2750.19
0.75,382.74,87.54,767.13,1559.72,2706.09
0.76,384.1,85.9,769.29,1565.46,2683.86
0.77,387.59,83.25,784.76,1545.89,2653.74
0.78,386.56,80.35,789.09,1508.04,2592.09
0.79,382.24,78.19,777.79,1517.88,2534.38
0.8,378.88,78.31,763.5,1522.5,2649.77
0.81,376.62,77.55,761.71,1499.92,2642.03
0.82,376.58,77.33,759.22,1482.86,2624.74
