time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,64.9,1538.58,2767.46,3870.76
0.04,0,65,2187.77,3216.03,4474.99
0.05,0,61.9,112.22,2042.3,2972.66
0.06,0,57.97,158.59,1978.1,2715.12
0.07,0,58.75,713.61,2241.23,3446.37
0.08,0,59.31,830.52,2395.93,3435.92
0.09,0,58.01,1269.38,2768.51,3258.04
0.1,0,57.03,175.54,1990.32,3078.07
0.11,0,59.11,1234.33,2618.87,3504.86
0.12,0,62.16,781.51,2402.83,3496.02
0.13,0,63.34,129.7,2120.91,3257.63
0.14,0,61.08,1188.73,2580.15,3798
0.15,0,57.96,757.13,2230.19,3389.33
0.16,0,62.73,1105.11,2545.48,3486.45
0.17,0,67.65,2041.27,3000.77,4244.07
0.18,0,69.14,1244.23,2603.31,3667.22
0.19,0,66.07,1903.78,3038.24,4360.13
0.2,0,59.63,1465.09,2844.87,4100.38
0.21,0,61.98,380.92,1526.99,2819.81
0.22,130.93,70.65,351.17,1943.91,2908.2
0.23,131.48,74.84,378.26,755.76,2897.43
0.24,132.31,76.3,370.1,589.49,2925.56
0.25,133.16,76.66,398.28,2266.82,3689.73
0.26,134.51,76.68,392.55,2007.41,3793.97
0.27,137.96,77.66,456.83,2598.1,3011.53
0.28,142.23,80.37,513.76,1257.72,2777.98
0.29,144.56,83.51,509.28,852.81,2721.92
0.3,146.12,85.34,539.92,907.19,2811.19
0.31,148.06,86.25,564.64,936.64,2795.91
0.32,149.99,86.39,567.89,945.7,2741.33
0.33,152.07,85.92,543.81,914.14,2718.94
0.34,154.36,85.74,476.92,905.22,2658.71
0.35,156.23,85.8,449.05,919.93,2632.72
0.36,157.59,84.97,438.6,895.34,2585.73
0.37,159.31,83.76,427.51,846.46,2585.18
0.38,161.94,83.32,427.05,782.91,2604.28
0.39,165.62,83.57,402.51,783.18,2673.26
0.4,169.54,84.74,398.28,718.18,2774.75
0.41,173.29,85.36,383.47,728.99,2802.05
0.42,177.19,84.7,392,754.4,2786.26
0.43,180.47,84.21,414.84,853.65,2711.72
0.44,181.84,85.13,407.94,913.77,2590.38
0.45,181.46,85.63,429.51,938.34,2609.22
0.46,179.33,85.42,475.19,1039.74,2504.02
0.47,175,85.57,505.66,1106.75,2534.88
0.48,170.51,86.59,517.99,1197.26,2354.3
0.49,167.71,86.4,509.17,1328.64,2376.76
0.5,0,82.43,522.26,1411.72,2428.54
0.51,0,75.6,551.92,1309.92,2476.08
0.52,0,72.92,482.47,1407.83,2596.38
0.53,0,72.82,459.69,1480.83,2589.68
0.54,0,71.52,479.22,1705.8,2591.91
0.55,0,70.09,515.67,1583.6,2512.95
0.56,0,68.39,507.65,1524.69,2505.47
0.57,170.97,66.45,552.76,1224.81,2642.44
0.58,170.44,67.14,506.36,1739.1,2690.07
0.59,170.86,67.02,521.77,1967.54,2728.24
0.6,173.07,64.76,534.83,2153.76,2679.89
0.61,175.3,64.39,455.13,2209.6,2966.16
0.62,174.86,66.29,465.12,2370.3,2987.32
0.63,168.45,71.71,445.27,2521.96,3203.37
0.64,160.6,77.13,315.88,2332.78,3041.29
0.65,157.28,79.31,293.02,2092.08,2844.5
0.66,157.2,80.15,301.25,2072.21,2727.7
0.67,158.06,80.87,300.12,2096.78,2755.42
0.68,159.04,81.08,305.57,2073.52,2721.4
0.69,160.14,81.01,302.82,2087.38,2744.01
0.7,161.62,81.09,308.62,2123.2,2707
0.71,162.47,81.09,309.86,2072.37,2649.79
0.72,162.24,81.08,312.46,2087.53,2655.91
0.73,161.13,81.15,315.44,2101.11,2596.75
0.74,158.3,80.79,309.09,2113.86,2513.23
0.75,152.8,80.31,298.47,2129.16,2479.5
0.76,146.3,80.51,296.65,2136.71,2482.5
0.77,139.26,80.45,303.68,2032.83,2317.09
0.78,130.74,79.93,308.98,1991.72,2318.98
0.79,123.07,79.69,324.04,1936.65,2157.24
0.8,117.56,79.22,300.76,1916.11,2239.06
0.81,113.32,78.61,286.89,1862.19,2467.94
0.82,110,78.2,287.08,1813.68,2450.71
0.83,108.13,78.06,302.79,1863.75,2492.84
0.84,107.3,77.02,302.95,1751.16,2439.25
