time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,2186.84,3266.44,4686.39
0.04,0,65.05,120.4,2012.67,3043.53
0.05,0,62.24,1819.15,2771.63,3729.87
0.06,0,61.53,1894.6,2732.01,3555.78
0.07,0,61.25,374.75,2111.93,3075.17
0.08,0,61.44,112.17,1873.32,2992.92
0.09,0,62.15,1513.14,2914.49,3841.49
0.1,0,60.69,1896.21,3078.04,4660.73
0.11,0,61.84,2307.81,3440.33,4450.69
0.12,0,61.67,1749.25,2800.17,4071.37
0.13,0,59.29,226.57,2011.29,3058.53
0.14,0,58.64,1558.9,2717.39,3817.7
0.15,0,59.77,70.9,1855.41,2978.14
0.16,0,58.66,166,2021.65,3154.55
0.17,0,56.36,188.17,1789.7,2921.96
0.18,0,58.82,88.69,1984.04,2871.82
0.19,0,63.5,1829.62,3125.47,4016.42
0.2,0,65.54,1671.77,2808.04,3932.69
0.21,0,64.94,384.52,1935.19,2819.93
0.22,0,72.03,527.72,1935.14,2838
0.23,136.14,79.86,461.39,2022.03,2750.15
0.24,137.1,83.52,499.12,1879.88,2594.19
0.25,137.44,85.33,545.92,1941.48,2605.29
0.26,136.94,85.96,587.88,1999.85,2682.85
0.27,135.27,86.17,619.55,1880.46,2402.28
0.28,134.89,87.07,670.63,1858.28,2373.73
0.29,135.45,87.81,720.55,1843.91,2382.65
0.3,136.02,87.97,750.38,1686.01,2336
0.31,137.08,87.68,773.43,1621.33,2387.31
0.32,139.16,86.96,774.73,1470.98,2341.68
0.33,142.46,86.34,755.76,1372.27,2296.57
0.34,146.17,86.04,715.71,1292.75,2290.74
0.35,150.98,85.67,699.95,1229.45,2309.06
0.36,155.56,85.47,695.24,1105.99,2262.57
0.37,159.12,84.89,721.65,1101.01,2080.19
0.38,162.98,84.18,710.51,1131.02,2089.09
0.39,166.28,83.59,681.38,999.76,2384.23
0.4,168.46,82.68,643.32,1000.43,2635.94
0.41,169.63,81.21,663.02,1002.79,2539.17
0.42,169.67,80.56,573.78,830.78,2612.99
0.43,170.16,81.01,374.91,1005,2509.07
0.44,170.63,80.96,726.82,819.62,2529.46
0.45,169.93,80.15,331.1,1172.9,2535.47
0.46,167.54,78,337.56,1135.95,2494.32
0.47,163.88,74.68,458.99,1131.46,2506.21
0.48,164.42,72.56,852.79,2246.57,2847.11
0.49,168.12,75.6,624.83,1948.84,2721.08
0.5,168.16,80.44,467.81,1536.5,2712.42
0.51,167.62,82.4,469.37,1439.17,2690.29
0.52,166.77,82.03,467.55,1403.13,2702.27
0.53,165.05,80,450.2,1371.45,2640.49
0.54,162.19,76.69,432.9,1433.03,2703.95
0.55,157.99,73.57,376.09,1377.01,2724.16
0.56,155.79,72.92,373.94,1420.41,2731.46
0.57,159.92,75.99,403.36,1398.37,2823.64
0.58,162.9,81.32,459.16,1283.55,2837.24
0.59,163.56,85.17,487.39,1166.29,2860.12
0.6,162.62,86.93,490.41,1022.51,2803.69
0.61,160.35,87.17,477.6,992.26,2830.24
0.62,156.91,86.26,464.85,903.58,2815.95
0.63,152.12,84.31,444.28,854.76,2749.66
0.64,146.85,82.04,428.48,775.79,2684.81
0.65,142.97,79.61,429.01,769.52,2689.6
0.66,140.29,77.88,439.16,887.65,2846.29
0.67,136.01,77.7,426.92,836.07,2926.17
0.68,135.44,79.43,398.73,724.23,2852.5
0.69,136.1,82.05,409.11,682.18,2852.1
0.7,134.19,83.76,436.8,711.47,2837.82
0.71,132.17,84.87,500.6,759.88,2878.86
0.72,130.78,86.08,550.98,806.96,2788.24
0.73,129.4,86.51,606.78,876.7,2839.01
0.74,128.38,86.4,627.67,906.6,2808.1
0.75,127.43,86.28,645.73,891.31,2613.22
0.76,126.46,86.31,675.28,901.41,2599.7
0.77,125.85,86.35,696.18,1006.66,2522.98
0.78,125.2,86,709.35,1076.51,2491.96
0.79,124.47,85.5,706.73,1117.46,2353.64
0.8,123.84,84.93,710.79,1191.89,2298.97
0.81,122.99,84.35,724.28,1277.09,2259.56
0.82,121.94,84.49,707.48,1341.72,2234.92
0.83,120.96,84.93,704.95,1428.3,2216.53
