time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,815.6,2326.1,2994.18
0.04,0,63.45,1378.04,2652.53,2714.23
0.05,0,63.94,1814.5,2602.57,3060.06
0.06,0,64.43,1864.46,2714.13,4209.12
0.07,0,64.8,1935.62,2460.51,3713.9
0.08,0,62.79,1690.47,2446.41,3232.05
0.09,0,61.67,1715.57,2629.38,3960.74
0.1,0,63.27,1987.86,2690.91,3197.8
0.11,0,62.95,2023.37,2649.42,2816.6
0.12,0,67.3,2096.08,2374.79,2779.02
0.13,149.3,78.41,403.12,2073.23,2570.06
0.14,149.57,84.2,440.99,1756.85,2313.17
0.15,148.94,85.88,473.27,1806.32,2358.55
0.16,148.13,85.66,489.18,1797.95,2365.28
0.17,148.49,85.53,504.51,1863.84,2390.67
0.18,149.95,85.84,496.17,1828.93,2337.9
0.19,150.83,85.66,496.89,1793.63,2305.37
0.2,151.31,84.36,510.59,1818.54,2273.97
0.21,153.13,83.21,521.85,1789.46,2173.03
0.22,155.15,82.46,569.75,1776.23,2070.91
0.23,156.86,82.62,586.46,1769.58,2119.33
0.24,158.94,83.54,585.61,1704.87,1906.89
0.25,160.87,83.76,584.18,1505.2,1865.99
0.26,162.49,83.34,592.56,1481.84,1819.09
0.27,163.9,82.88,599.85,1461.02,1824.9
0.28,165.45,82.53,583.91,1501.17,1767.42
0.29,166.84,82.08,544.55,1518.22,1807.26
0.3,167.82,81.38,525.53,1494.3,1899.42
0.31,168.65,80.7,528.69,1592.12,1892.39
0.32,169.23,80.22,508.23,1606.86,2014.91
0.33,169.5,79.37,525.2,1720.91,2296.47
0.34,168.87,79.06,492.09,1610.27,2399.96
0.35,166.72,78.5,453.96,1529.87,2453.61
0.36,163.72,78.08,368.42,1392.18,2312.35
0.37,162.25,78.53,352.81,1394.75,2403.22
0.38,160.07,77.84,327.13,1444.98,2410.51
0.39,155.96,76.5,321.43,1353.5,2433.14
0.4,152.45,75.38,323.09,1527.18,2516.24
0.41,151.61,72.78,332.41,1647.56,2706.34
0.42,0,68.9,426.9,1602.81,2568.61
0.43,0,66.53,445.87,1621.64,2701.18
0.44,0,65.54,473.47,1672.86,3002.04
0.45,0,64.25,483.57,1624.76,3204.87
0.46,0,64.15,466.25,1891.52,3197.11
0.47,0,65.06,1300.81,2849.03,4130.16
0.48,0,65.25,571.49,2211.17,3530.57
0.49,480.31,63.54,1671.12,2748.37,3858.78
0.5,480.18,62.48,891.38,2289.04,2928.49
0.51,485.18,62.98,520.34,1820.56,2927.15
0.52,0,60.44,496.01,1693.83,3050.01
0.53,0,59.07,411.89,1554.79,2838.12
0.54,0,59.56,815.65,2444.42,2853.96
0.55,0,64.02,598.35,1110.75,2327.17
0.56,0,71.96,467.78,1172.95,2556.28
0.57,143.96,79.26,423.27,1072.22,2692.99
0.58,144.13,82.45,450.74,994.06,2142.78
0.59,141.88,83.14,474.37,1092.83,2143.66
0.6,136.37,82.8,516.59,1140.43,2122.24
0.61,131.91,83.49,538.97,1195.6,2000.01
0.62,128.48,84.65,548.68,1279.7,1939.53
0.63,125.61,84.82,567.2,1388.17,1881.06
0.64,122.99,84.62,561.32,1431.61,1877.04
0.65,120.67,84.66,566.08,1465.29,1842.95
0.66,118.33,84.27,561.26,1479.4,1848.37
0.67,115.86,83.36,566.26,1472.09,1882.85
0.68,112.86,82.06,561.1,1513.73,1830.63
0.69,110.12,80.32,560.31,1611.43,1895.13
0.7,108.32,79.21,558.24,1616.86,2126.08
0.71,107.04,78.98,565.13,1609.6,2179.01
0.72,105.88,78.47,585.45,1653.83,2048.83
0.73,105.41,76.62,568.4,1630.4,2010.42
0.74,105.38,74.59,576.15,1651.72,1997.92
0.75,105.54,72.81,578.84,1615.84,2171.51
0.76,106.7,71.88,562.35,1522.58,2005.77
0.77,108.21,71.44,559.96,1579.15,1719.76
0.78,0,71.04,571.44,1537.21,1614.77
0.79,0,70.32,582.82,1459.89,2503.49
0.8,0,68.45,543.53,1641.48,2955.79
0.81,0,66.35,540.5,1693.68,2125.17
0.82,0,64.79,517.22,1566.07,1982.79
0.83,0,64.62,470.09,1572.55,2041.66
0.84,0,63.62,424.45,1385.56,1741.07
0.85,0,61.52,468.74,1594.73,2607.77
0.86,0,62.56,431.64,1586.64,2686.14
0.87,0,65.85,359.73,1601.51,2761.54
0.88,0,67.64,403.98,1635.73,2940.84
0.89,0,67.49,270.52,1625.83,2591.89
0.9,0,66.63,347.65,1673.27,2470.9
0.91,0,65.15,312.56,1569.74,2416.43
0.92,0,63.25,246.43,1623.57,2463.8
0.93,0,64.19,324.46,1592.31,2484.89
0.94,0,65.93,1176.89,2234.55,3534.92
0.95,0,65.5,1601.44,2564.82,3933.03
0.96,0,63.72,1602.89,2587.79,3921.85
0.97,0,61.19,215.62,1637.57,2639.95
0.98,0,63.99,1602.96,2619.88,3956.11
0.99,0,63.66,539.28,1917.33,2922.48
1,0,61.39,133.95,1754.73,2594.81
1.01,0,62.63,1273.03,2382.83,3610.82
1.02,0,64.41,1791.01,2635.99,3860.02
1.03,0,63.45,1666.1,2686.07,4025.69
1.04,0,60.78,1592.44,2656.92,3939.28
1.05,0,59.17,628.53,1990.63,3109.71
1.06,0,58.13,124.05,1887.47,2743.99
1.07,0,60.05,1685.54,2667.09,4051.61
1.08,0,0,0,0,0
1.09,0,0,0,0,0
