time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1376.18,2699.01,3874.88
0.04,0,61.85,2118,3265.38,4564.38
0.05,0,60.38,1866.01,3162.46,4079.34
0.06,0,55.33,238.28,1895.02,3310.85
0.07,0,54,207.73,2012.6,3386.15
0.08,0,58.55,1259.6,2523.62,3470.23
0.09,0,58.55,93.99,1722.29,2996.37
0.1,0,58.09,1727.65,2905.6,3849.13
0.11,0,60.99,94.36,1684.32,2818.16
0.12,0,63.35,877.26,2405.98,3345.86
0.13,150.49,66.25,330.73,2004.38,2812.73
0.14,143.66,71.45,189.15,2088.28,2865.27
0.15,135.23,74.23,248.48,2272.43,2437.82
0.16,131.24,75.6,260.36,2227.8,2354.45
0.17,129.01,76.76,271.17,1078.04,2324.95
0.18,127.35,77.54,260.27,1072.29,2290.55
0.19,128.43,78.15,246.43,1438.61,2333.87
0.2,130.61,79.5,334.6,1459.27,2444.86
0.21,130.83,81.96,528.61,1461.24,2521.94
0.22,130.72,84.42,643.96,1491.53,2569.52
0.23,131.43,85.71,679.71,1407.98,2611.2
0.24,132.63,86.11,702.6,1314.24,2687.61
0.25,133.62,85.87,709.61,1197.84,2782.07
0.26,133.95,85.32,690.39,1070.03,2795.28
0.27,134.23,83.87,637.61,1066.32,2839.21
0.28,135.49,81.71,551.91,1077.44,2953.65
0.29,136.81,80.32,529.89,1069.81,2954.39
0.3,136.83,79.92,460.2,1159.09,2874.58
0.31,136.13,80.41,417.08,1186.16,2858.22
0.32,135.61,81.11,415.03,1145.22,2986.45
0.33,135.95,81.66,420.37,1164.95,2971.91
0.34,137.69,81.96,433.46,1040.45,2873.55
0.35,139.98,81.36,499.26,863.31,2835.6
0.36,140.65,80.68,556.54,877.4,2799.48
0.37,139.27,80.57,596.68,879.89,2740.81
0.38,137.44,81.13,599.17,988.03,2768.93
0.39,136.12,81.72,589.87,894.5,2738.63
0.4,135.34,81.8,560.17,889.75,2704.36
0.41,134.81,81.63,503.78,893.59,2682.32
0.42,134.23,81.6,480.03,886.22,2653.46
0.43,133.44,81.42,470.72,850.58,2643.13
0.44,132.29,81.29,460.84,844.15,2622.92
0.45,131.37,81.44,490.67,873.26,2589.14
0.46,130.44,80.96,524.01,891.41,2571.32
0.47,128.82,81.26,595.95,1060.12,2520.27
0.48,126.92,81.91,637.38,1217.28,2444.26
0.49,124.77,81.72,664.27,1380.48,2447.77
0.5,122.67,81.58,675.39,1432.02,2406.83
0.51,120.98,81.31,669.79,1481.51,2406.87
0.52,119.21,80.77,705.95,1485.42,2399.13
0.53,117.55,80.5,735.56,1492.09,2370.04
0.54,116.37,81.42,760.89,1503.89,2369.91
0.55,115.42,82.58,772.39,1477.8,2328.24
0.56,114.48,83.24,771.72,1455.29,2307.74
0.57,113.55,83.11,771.5,1416.39,2355.35
0.58,112.48,82.52,770.2,1414.07,2419.8
0.59,111.13,81.64,749.87,1358.46,2489.99
0.6,109.7,79.85,722.45,1258.52,2475.74
0.61,108.58,78.05,707.12,1169.17,2539.84
0.62,108.29,76.53,664.11,1240.95,2350.12
0.63,109.15,75.45,682.12,1123.48,2299.52
0.64,110.63,74.5,671.61,1133.99,2742.35
0.65,0,73.21,619.52,1023.34,2682.46
0.66,0,71.79,676.94,1233.7,2882.1
0.67,0,68.72,670.66,1109.14,2465.17
0.68,0,65.04,704.88,1311.05,2490.04
0.69,0,64.64,735.44,1509.36,2874.63
0.7,0,65.44,660.4,1514.12,2761.91
0.71,385.64,64.93,732.35,1578.07,2929.05
0.72,391.92,65.41,717.95,1551.43,2938.89
0.73,0,66.55,674.95,1500.68,2931.12
0.74,0,64.79,545.57,1109.4,2482.77
0.75,0,62.67,560.27,1366.25,2724.32
0.76,0,59.55,624.43,1303.79,2720.34
0.77,0,56.52,570.76,1282.7,2967.14
0.78,0,59.85,710.64,1667.98,3091.34
0.79,0,64.01,776.41,1816.79,3132.66
0.8,0,64.1,769.11,1924.3,3197.75
0.81,460.49,61.63,597.11,2014.57,2787.99
0.82,455.83,62.51,518.74,2074.51,2814.13
0.83,454.23,62.59,493.24,1998.68,2929.68
0.84,0,59.9,516.45,1823.36,2964.8
0.85,0,58.79,437.34,1797.32,2805.64
0.86,0,60.93,423.1,1854.89,2843.19
0.87,0,60.1,545.4,1774.03,2785.64
0.88,0,56.35,496.27,1703.91,2686.6
0.89,0,59.47,755.06,1898.32,2991.58
0.9,0,63.28,772.64,1948.99,3276.39
0.91,0,63.27,708.02,2033.85,3099.5
0.92,0,61.37,1357.02,2597,3801.69
0.93,0,61.79,387.2,1942.84,3159.58
0.94,0,62.85,147.11,1985.5,3173.43
0.95,0,63.87,593.43,2149.14,3197.89
0.96,0,62.58,436.04,2022.49,3276.2
0.97,0,0,1838.43,3060.29,4252.17
0.98,0,0,0,0,0
0.99,0,0,0,0,0
