longest_time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0.01,13.842,490.579875,938.70225,1440.311625
0.02,34.362225,886.32118125,1587.5787375,2342.75664375
0.03,46.11184875,1077.3422746875,1958.513180625,2911.1914040625
0.04,53.4842668125,1340.68237607813,2261.59237434375,3321.60764723438
0.05,57.530096746875,1476.01993184297,2450.25155588906,3455.88533097891
0.06,59.5820532107813,1403.34158751363,2427.83973073898,3405.4210570384
0.07,60.7376292659297,1307.0588731325,2345.04322690644,3339.75095637112
0.08,60.7983210962613,1157.41750522287,2267.92527479854,3323.11177600412
0.09,60.9667016029437,1216.91987787258,2315.9356511392,3394.66322680226
0.1,61.0761858816191,1231.35818282992,2348.48610812656,3411.44227474125
0.11,60.6976522348905,1199.49450055646,2412.75235946961,3518.92600110768
0.12,60.8944587291898,1401.24997530605,2420.26517270828,3537.57355060923
0.13,61.6698273010544,1436.74598641833,2442.19696998956,3433.74795283508
0.14,62.5406550155799,1431.12729253008,2506.86895849426,3383.43437405929
0.15,62.625860258569,1594.19838589154,2466.44030217184,3398.63790573261
0.16,62.0528481422129,1715.26486224035,2481.64116619451,3432.96597315294
0.17,62.7411914782171,1645.82767423219,2506.57289140698,3402.27441023411
0.18,64.7296553130194,1544.45047082771,2516.00921527384,3315.37855062876
0.19,66.1788104221607,1496.92238395524,2413.71331840061,3259.90882784582
0.2,66.8858457321884,1341.56218617538,2336.03395012034,3236.5914803152
0.21,67.3478401527036,1177.87370239646,2297.44579756619,3203.99506417336
0.22,68.606562083987,929.886036318053,2198.5556886614,3118.95291029535
0.23,71.3834841461928,768.524569974929,2151.51012876377,3026.74997566244
0.24,73.9682912804061,677.373888486211,2137.08532082007,2975.91573661434
0.25,75.7296852042233,611.077013667416,2166.22267645104,2961.80340513789
0.26,77.2350768623228,586.810982517079,2186.47934704807,2959.89612282584
0.27,79.0766672742776,515.969290384393,2233.02876587644,2948.95386755421
0.28,80.9119170008527,467.131109711416,2302.93119623204,2944.13262715482
0.29,82.280179350469,436.091860341279,2394.24803292762,2971.17531993515
0.3,83.0214736427579,416.271898187704,2425.62516811019,2943.97267596433
0.31,83.1861855035169,397.255169003237,2219.87384246061,2880.08159678038
0.32,82.7221520269343,387.19646795178,2141.14686335333,2846.73362822921
0.33,82.2531836148138,552.693432373479,2193.10414984433,2921.68512052607
0.34,81.4845009881476,652.632387805414,2289.55303241438,3035.12106628934
0.35,80.1606005434812,547.010688292978,2225.12629282791,3019.05221145914
0.36,78.8260802989147,652.641128561138,2364.87771105535,3026.09934130252
0.37,77.7703441644031,677.381620708626,2390.78636608044,3119.43863771639
0.38,77.0198142904217,723.927766389744,2251.55687634424,3063.97337574401
0.39,76.1930228597319,636.508396514359,2201.49353198933,3041.11860665921
0.4,75.5560375728526,517.440243082898,2300.58306759413,3000.30198366256
0.41,75.9808206650689,602.414758695594,2458.29431217677,3032.03396601441
0.42,77.0537013657879,624.434492282577,2583.54874669723,3052.01105630793
0.43,77.9194107511833,530.159720755417,2540.04781068347,3018.07608096936
0.44,78.5834259131508,512.022596415479,2515.03217087591,3000.98009453315
0.45,79.616884252233,444.399928028514,2317.41594398175,2972.03492699323
0.46,80.6724113387282,402.198960415683,2160.21926918996,2947.95208484628
0.47,81.2889512363005,383.686428228625,2175.67034805448,2910.31989666545
0.48,81.4896731799653,387.081035525744,2088.95519142996,2932.430693166
0.49,81.4346952489809,404.146819539159,2093.34485528648,2934.2720062413
0.5,81.5394573869395,428.234500746538,2163.14554540756,2945.79222843272
0.51,81.8884515628167,452.039725410596,2175.79817497416,2968.32385063799
0.52,82.2165233595492,458.846098975828,2084.58399623579,2943.4832428509
0.53,82.3654628477521,478.446479436705,2072.55594792968,2910.89728356799
0.54,82.5553795662636,509.627438690188,1979.25027136133,2898.2771309624
0.55,83.067083761445,532.652841279603,1925.94764924873,2878.48517202932
0.56,83.6927710687948,558.731312703782,1825.5210820868,2859.40621961613
0.57,84.2551490878371,588.72322198708,1872.59734514774,2852.61629578887
0.58,84.6454569983104,613.467272092894,1873.31966483126,2894.14171268388
0.59,84.9130013490707,649.222124651092,1830.81281565719,2939.21631697613
0.6,85.2862757419889,670.919043558101,1767.42117361146,2989.90484933687
0.61,85.4803266580939,682.000723956955,1698.7123954863,3039.05841713528
0.62,85.2585546619516,687.799773176326,1626.79794251747,3083.6046294244
0.63,84.6832050640734,690.732750246979,1553.19124338461,3124.10592118342
0.64,83.8447627852404,699.877762635839,1491.45405886153,3142.26638165088
0.65,82.9426195318822,695.022144449711,1438.90460737384,3182.69600990799
0.66,81.9851907425352,689.712304447341,1394.72828405561,3218.63030544939
0.67,80.9703549083944,685.555517446038,1321.58380623059,3233.93466799717
0.68,79.9048201996169,675.055659595321,1324.48909342682,3124.65344239844
0.69,78.7146511097893,669.899487777427,1332.22162638475,3166.94176831914
0.7,77.6629331103841,645.054093277585,1288.92976951161,3174.32884757553
0.71,76.6086132107113,620.953626302672,1290.50824823139,3226.82074116654
0.72,75.6597372658912,594.125244466469,1304.27003652726,3262.4007826416
0.73,75.2121054962402,562.339384456558,1244.04877008999,3255.74268045288
0.74,75.0581580229321,546.674036451107,1210.2340735495,3228.70434924908
0.75,75.2952369126127,530.392345048109,1212.95361545222,3246.804767087
0.76,75.666380301937,517.04428977646,1202.83148849872,3282.79137189785
0.77,76.0145091660654,508.343859377053,1185.0580686743,3302.25887954382
0.78,76.4636050413359,503.938872657379,1149.43581277086,3296.7896337491
0.79,77.1583577727348,502.481379961559,1138.84132202397,3254.120798562
0.8,78.0950967750041,506.384508978857,1152.13035211319,3254.9180642091
0.81,78.8184282262523,518.947604938372,1171.45544366225,3260.44493531501
0.82,79.3703855244388,547.134432716104,1211.55136901424,3260.57658942325
0.83,80.0564620384413,565.617312993857,1244.11275295783,3240.17287418279
0.84,80.7634291211427,590.634022146622,1278.32951412681,3238.19270580053
0.85,81.3592610166285,621.204087180642,1323.33198276974,3108.87611319029
0.86,81.8062185591457,640.704122949353,1359.31984052336,3132.85386225466
0.87,82.0689202075301,653.381017622144,1387.40328728785,3136.43637424006
0.88,82.3112811141416,673.520309692179,1416.09043300832,3119.53713083204
0.89,82.6425796127779,695.123545330699,1446.40561315457,3115.69092195762
0.9,82.9282937870278,715.447324931884,1471.51421223502,3097.55438207669
0.91,83.1686865828653,735.314903712536,1492.79169172926,3076.78603514218
0.92,83.3076526205759,749.503447041895,1503.46718045109,3019.8020693282
0.93,83.2457089413168,755.048145873042,1507.7333242481,3004.60351313051
