longest_time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0.01,26.931375,392.479875,994.640625,1572.50925
0.02,41.90225625,834.25280625,1639.27771875,2540.7880875
0.03,50.3961159375,1226.9384184375,2162.3306203125,3169.724698125
0.04,55.217363765625,1293.82713014063,2335.02234117188,3349.67870896875
0.05,58.7443000710938,1297.98529657734,2413.65203764453,3291.43916493281
0.06,61.6999900391016,1342.38103811754,2386.75574570449,3305.58979071305
0.07,63.3154945215059,1361.16357096465,2408.64228513747,3164.43838489218
0.08,63.6257719868282,1348.74083903056,2403.03425682561,3152.1631116907
0.09,63.8279245927555,1163.21558646681,2286.37321625409,2979.08496142988
0.1,65.2193585260155,962.322947556743,2154.35076893975,2768.26110378644
0.11,67.7823971893085,818.137121156209,2026.58304791686,2622.15573208254
0.12,70.7074434541197,731.416666635915,1911.35580135427,2540.7099026454
0.13,73.4198438997658,682.557166649753,1848.92806574485,2517.26944645497
0.14,75.3807891448712,653.344441657364,1811.22118615967,2510.90782055023
0.15,76.2399340296792,621.67144291155,1780.30565238782,2512.21267630263
0.16,75.6875887163235,582.989918601353,1787.0812338133,2532.77872196645
0.17,73.7817987939779,544.462080230744,1769.98855359731,2578.59604708155
0.18,71.1766143366879,522.002769126909,1757.55007947852,2598.65320089485
0.19,68.6423878851783,520.9462730198,1736.07154371319,2614.87426049217
0.2,66.9346883368481,519.09620016089,1789.70297404225,2643.05359327069
0.21,66.2080785852664,520.65603508849,1827.08313572324,2736.68122629888
0.22,66.0840682218966,532.428694298669,1948.30722464778,2911.72167446438
0.23,66.1362375220431,535.388031864268,2100.85397355628,3036.23254595541
0.24,66.5620556371237,544.338292525348,2234.78343545595,3155.71427527548
0.25,66.735505600418,558.813310888941,2340.60613950078,3267.63185140151
0.26,66.4450280802299,659.682695988918,2388.99075172543,3385.84601827083
0.27,66.0118904441265,784.857982793905,2518.47228844898,3533.92368504896
0.28,65.3034147442696,895.743390536648,2589.16738364694,3620.67527677693
0.29,64.6426281093483,674.320489795156,2409.36656100582,3522.99252722731
0.3,64.1385704601416,1016.83326938734,2606.9631085532,3714.60813997502
0.31,63.7983387530779,1297.47317316303,2730.46308470426,3837.55010198626
0.32,63.6202113141928,1482.25974523967,2786.83207158734,3876.83168109244
