longest_time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0.01,13.92975,319.0275,968.104125,1450.040625
0.02,34.9414875,789.95025,1709.53689375,2488.60546875
0.03,46.742068125,1270.2936375,2217.4802915625,3147.8203828125
0.04,52.71151246875,1180.775750625,2249.34803535938,3321.63271054688
0.05,56.0700818578125,1227.35828784375,2358.63816944766,3354.65474080078
0.06,58.2255450217969,1032.34255831406,2234.15324319621,3300.70548244043
0.07,59.9082997619883,1259.62290707273,2430.97053375792,3565.93414034224
0.08,61.0430648690936,1299.14059889,2525.33866856685,3666.98315218823
0.09,61.6098106780015,1217.9434543895,2499.47551771177,3531.12673370353
0.1,62.2128958729008,1294.51614991423,2467.52078474147,3542.70670353694
0.11,63.6853427300954,1185.43563245282,2407.61980660781,3415.53031194532
0.12,65.6145635015525,925.014722849054,2179.8647686343,3178.51517156992
0.13,67.3157599258539,839.711722566979,2032.07137274886,3036.52546936346
0.14,69.2312929592196,833.221947411839,1974.33913001187,2972.7163831499
0.15,71.4323361275708,877.120821076511,1963.78702150653,2962.45913573245
0.16,73.5035348701639,897.194951592081,1952.42923682859,2962.44939965285
0.17,74.4840691785902,864.520473375645,1897.17745525573,2868.00929480907
0.18,73.9006130482246,807.956385356605,1842.50810039065,2784.48398714499
0.19,72.7584621765235,669.326511946133,1681.30208021486,2688.79419292974
0.2,72.0537791970879,594.680956570373,1589.78239411817,2627.67668111136
0.21,71.7258285583984,558.320526113705,1542.66744176499,2597.37967461125
0.22,71.5004557071191,546.813789362538,1548.88984297075,2625.92782103619
0.23,70.7543756389155,655.629959149396,1620.54453863391,2675.6920515699
0.24,69.6229066014035,556.005602532168,1640.11637124865,2653.67150336345
0.25,68.9668486307719,670.322206392692,1822.56937918676,2767.5635768499
0.26,68.9221417469246,640.166713515981,1842.35390855272,2772.54459226744
0.27,69.2744279608085,556.036192433789,1841.53089970399,2724.27665074709
0.28,69.8000603784447,678.801280838584,1948.6912448372,2789.0849079109
0.29,70.3681582081446,733.087579461221,1979.96905966046,2837.771574351
0.3,71.2802370144795,614.499043703672,2098.19010781325,2825.12586589305
0.31,72.0845053579637,510.00497403702,2127.58630929729,2817.70385124118
0.32,73.2412279468801,628.947860720361,2199.51934511351,2917.29161818265
0.33,75.081175370784,506.398073396198,2196.70488981243,2839.21926500046
0.34,77.2833964539312,416.958065367909,2184.07118939684,2778.21197075025
0.35,79.5768680496622,357.18318595235,2180.08252916826,2750.89720891264
0.36,81.1409024273142,329.017377273793,2171.19726604254,2715.09983990195
0.37,81.6726213350228,312.369682500586,2162.0297463234,2701.54141194607
0.38,81.1235667342626,303.566700375322,2155.65223547787,2829.46790157034
0.39,79.7877117038444,298.577685206427,2157.81572951283,2927.16497086369
