longest_time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0.01,13.53375,645.2415,1179.948375,1723.003875
0.02,35.0184375,1064.6082,1916.43710625,2742.46925625
0.03,46.950890625,1312.058385,2246.5257834375,3214.7940909375
0.04,52.49223984375,926.84448675,2158.50430589063,3199.60137501563
0.05,55.3611069140625,1209.5515927125,2399.89249323984,3496.27113125859
0.06,57.2517338027344,1113.29475099188,2358.64324628191,3445.79524719223
0.07,58.3275785915039,915.254363045531,2263.07753545505,3383.02351095573
0.08,59.1060432253271,1101.84264967504,2452.47914450028,3496.46243102565
0.09,60.6974487739299,980.637332321273,2377.43302947515,3430.05821206411
0.1,61.8179718256615,1183.9024077767,2506.03154121133,3592.18051663526
0.11,62.5568845041138,1255.16444927719,2523.89247266623,3650.18303414939
0.12,63.8992864772626,1089.28119710245,2461.48423496643,3584.10479378217
0.13,66.1979825624944,752.013533406349,2335.06045423154,3286.56488658019
0.14,68.2778904093719,503.971943373492,2296.76187482734,3029.37531261911
0.15,69.7559647251546,453.46531885542,1899.88128115504,2833.73429694051
0.16,71.693905598835,349.547800370481,1681.93782963527,2651.90086331728
0.17,73.6158980793593,300.535915203765,1522.8829312994,2514.3455998245
0.18,75.1432439436476,288.413628362071,1422.01748721467,2461.98670490348
0.19,76.5311591690062,312.873995599139,1367.85661796807,2415.81593769691
0.2,77.9908875429534,364.333072579526,1437.49676488244,2432.8660157333
0.21,79.3528631486244,409.07518991874,1450.70009568534,2460.77230865332
0.22,80.6239497317434,468.122979455307,1432.53917762694,2496.07939475932
0.23,81.9170473524589,530.130513700419,1383.93842269482,2545.37829211763
0.24,83.1705010438524,590.10178253523,1326.48425748215,2609.2014356647
0.25,84.0815255741188,628.287980394377,1264.72659161518,2666.84803961558
0.26,84.5780890657653,643.171514216907,1203.92412538835,2742.54567178857
0.27,84.7274489861709,641.735332819299,1143.33426896359,2802.75649448371
0.28,84.541846942394,624.106433050615,1089.08597292998,2832.12507196604
0.29,84.1720158183167,591.994913177838,1046.78441011149,2854.21891458132
0.3,83.6716087000742,561.443327247811,1012.95592556132,2884.38290301973
0.31,82.9880097850408,538.670704986296,985.076884058725,2881.20797166085
0.32,82.2239053817725,517.029887742463,970.458911232299,2857.06188441347
0.33,81.7766479599749,502.887563258355,955.927776177764,2847.44341142741
0.34,81.9277813779862,502.490409792095,929.96940189777,2844.85887628507
0.35,82.3191547578924,515.072225385652,921.012421043774,2858.20300695679
0.36,82.7650351168408,538.576973962109,924.044331574076,2863.78165382624
0.37,83.1880193142625,565.56483567916,916.578007365742,2840.52603460443
0.38,83.4352856228444,578.641909623538,925.305529051158,2813.43894403244
0.39,83.3957820925644,573.821550292946,930.716540978137,2778.48341921784
0.4,83.1108051509104,562.82735266112,922.838597537975,2740.33200556981
0.41,82.8730678330007,545.027668963616,912.645603645886,2705.3188530634
0.42,82.6500623081504,527.489967929989,891.585332005238,2681.74836918487
0.43,82.2157842694827,513.979857361494,878.177432602881,2659.96797805168
0.44,81.6664313482155,507.196171548822,860.769212931584,2634.70701292842
0.45,81.3822872415185,502.808144351852,887.139567112372,2610.65023211063
0.46,81.6445079828352,516.094104393519,928.611761911804,2571.54512766085
0.47,82.1397293905594,541.599382416435,986.830844051492,2531.77632021347
0.48,82.5786011648077,572.177160329039,1073.06171422832,2483.73822611741
0.49,82.7311056406442,599.114313180972,1167.61044282558,2449.06989936457
0.5,82.6057331023543,636.542247249535,1260.82211855407,2419.34856965052
0.51,82.5120282062949,677.863610987244,1338.84666520474,2395.28883830778
0.52,82.7091155134622,712.713361042984,1399.23141586261,2378.57186106928
0.53,83.0267635324042,737.938848573641,1439.48552872443,2368.61139858811
0.54,83.2014699428223,751.771241715503,1457.43804079844,2348.95701922346
0.55,83.0984334685523,758.618557943527,1462.07842243914,2340.3824855729
0.56,82.7087634077038,762.55895686894,1464.20200734153,2343.3333670651
0.57,82.0241948742371,761.040676277917,1454.38097903784,2357.8747268858
0.58,80.9479321808304,756.682121952854,1427.14766347081,2374.77572478719
0.59,79.9048626994567,754.88454207407,1385.20646490895,2404.87702363296
0.6,79.1331744847012,749.409373140738,1343.24443069992,2402.78698799813
0.61,78.3262459665857,746.059405227406,1295.64818688496,2407.47284339897
0.62,77.2929352816221,733.920922875073,1251.37912778673,2463.21193886943
0.63,76.1654894048922,715.62125758129,1183.4362702827,2525.66656637819
0.64,74.9367691726907,709.48831666971,1205.81757365548,2521.117486508
0.65,73.2135980449799,698.08719916834,1240.02654051052,2571.1653675794
0.66,71.1397289247389,684.645834542587,1261.90934728078,2566.80920216867
0.67,69.2386009086064,690.633833998423,1254.53189100443,2537.52356119277
0.68,67.5371054997335,706.973858699133,1298.65129005244,2570.68808365602
0.69,66.1614080248535,701.771247284523,1282.04795952884,2540.15419601081
0.7,65.2258994136694,713.333436006488,1360.16100274086,2585.26480780595
0.71,64.9329946775182,706.300639803568,1378.51605150747,2529.94189429327
0.72,64.608772072635,722.464351891963,1417.62507832911,2649.6567918613
0.73,63.6519496399493,705.802268540579,1389.73629308101,2702.34086052372
0.74,62.3415723019721,725.204122697319,1442.94371119456,2763.84647328804
0.75,61.3531147660847,722.759892483525,1512.69766615701,2764.41056030842
0.76,61.4270881213466,716.211315865939,1539.60984138635,2829.27105816963
0.77,62.4037734667406,725.296223726266,1689.66691276249,2908.7169569933
0.78,63.4517004067073,776.901673049447,1880.91942701937,2981.71057634631
0.79,63.341810223689,729.335920177196,1908.61718486065,2886.20456699047
0.8,62.239620623029,724.376506097458,1900.09095167336,2862.96676184476
