time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1420.23,2182.31,3198.38
0.04,0,63.69,1700.62,2723.03,2915.93
0.05,0,64.44,1413.77,2245.68,3437.56
0.06,0,64.64,1526.55,2418.89,3387.44
0.07,0,66.11,1633.66,2407.85,3496.86
0.08,0,65.55,1630.51,2372.7,3288.66
0.09,0,63.92,1615.58,2421.44,3369.43
0.1,0,62.94,1658.21,2408.47,3513.46
0.11,0,62.74,1709.19,2465.9,3379.64
0.12,0,62.65,1662.21,2451.96,3342.52
0.13,0,63.9,1656.05,2379.17,3353.47
0.14,0,64.76,1193.29,2168.18,3204.54
0.15,0,67.48,362.36,1742,2399.54
0.16,113.89,72.9,536.56,1700.86,2297.64
0.17,116.01,74.95,552.53,1721.65,2316.37
0.18,116.64,76.13,574.12,1732.32,2320.58
0.19,116.05,77.18,585.09,1771.68,2327.11
0.2,115.56,77.73,589.33,1772.48,2305.28
0.21,115.24,78.14,576.83,1734.08,2274.16
0.22,115.44,78.35,574.3,1701.67,2230.34
0.23,115.15,78.54,564.31,1682.91,2230.77
0.24,115,78.81,558.37,1711.39,2144.81
0.25,115.41,78.94,552.48,1665.58,2105.2
0.26,115.84,78.85,543.25,1652.25,2025.42
0.27,116.2,78.46,523.71,1625.5,1980.93
0.28,117.08,78.13,512.7,1570.48,1949.52
0.29,117.56,78.16,498.63,1548.35,1946.14
0.3,117.76,78.1,492.68,1590.45,1882.8
0.31,118.22,77.32,509,1607.04,1873.41
0.32,117.73,76.61,556.82,1653.2,1830.69
0.33,117.49,76.58,560.7,1670.32,1905.18
0.34,117.13,76.52,528.75,1697.56,1913.48
0.35,117.02,76.08,491.59,1679.62,2089.55
0.36,116.65,75.54,451.78,1703.94,2288.52
0.37,116.76,75.23,414.54,1757.16,2492.42
0.38,116.63,74.85,377.58,1718.11,2576.53
0.39,115.69,74.22,331.45,1662.79,2584.13
0.4,116.55,73.69,287.67,1658.3,2922.22
0.41,116.38,73.8,276.12,1645.92,2609.7
0.42,116.35,73.78,299.09,1667.81,2626.56
0.43,115.05,73.26,282.66,1680.5,2506.8
0.44,113.04,72.51,247.74,1609.88,2509.23
0.45,112.02,71.49,231.4,1590.56,2537.8
0.46,110.71,70.38,296.58,1604.91,2769.61
0.47,0,68.62,304.45,1659.54,3005.23
0.48,0,66.44,371.55,1827.99,3403.3
0.49,0,65.61,171.3,1830.38,3443.01
0.5,0,66.06,1782.75,3412.01,4357.97
0.51,0,66.67,1947.95,3747.83,4482.59
0.52,0,66.53,1880.28,3584.68,4544.55
0.53,0,66.02,1630.12,3468.02,4158.78
0.54,0,64.17,1491,3295.2,4199.17
0.55,0,61.02,461.76,1786.5,3306.97
0.56,0,59.76,1515.61,3299.53,4073.08
0.57,0,59.54,1528.11,3202.17,4202.2
0.58,0,57.31,1591.52,3299.57,4310.26
0.59,0,58.32,214.01,1606.21,3287.04
0.6,0,61.24,934.1,1288.66,2638.97
0.61,0,63,873.07,1091.06,2646.2
0.62,0,63.68,945.23,2076.71,4018.26
0.63,0,67.07,483.63,1129.14,2989.08
0.64,0,71.45,742.9,1756.74,3064.79
0.65,0,71.98,1003.46,1992.75,3105.46
0.66,0,72.49,1163.53,2048.44,3131.83
0.67,0,73.89,588.94,1438.92,2249.43
0.68,0,73.91,605.25,1525.8,2208.17
0.69,0,73.28,605.53,1615.14,2162.35
0.7,0,73.32,600.99,1656.39,2179.39
0.71,0,73.34,613.31,1617.46,2123.59
0.72,0,72.5,611.59,1617.93,2176.17
0.73,0,70.45,620.35,1710.29,2169.96
0.74,0,68.89,611.86,1740.68,2151.53
0.75,0,68.54,626.48,1719.15,2058.89
0.76,0,66.3,597.28,1874.48,2228.71
0.77,0,66.33,714.42,1801.02,2150.13
0.78,0,66.37,616.57,1743.7,2241.23
0.79,0,63.98,603.23,1786.26,2203.54
0.8,0,62.87,561.88,1692.8,2294.79
0.81,0,63.94,615.02,1691.6,2074.04
0.82,0,63.08,596.48,1800.74,2035.66
0.83,0,61.96,523.12,1658.48,2487.67
0.84,0,62.8,599.12,1659.16,2081.36
0.85,0,64.22,544.44,1638.81,1936.25
0.86,0,62.89,601.72,1726.22,1888.71
0.87,0,62.57,589.11,1708.87,1740.29
0.88,0,63.03,182.14,1625.23,1737.73
0.89,0,63.94,333.63,1641.2,1755.85
0.9,0,66.27,1575.18,1642.32,3353.29
0.91,0,68.07,1512.48,1745.9,3387.16
0.92,0,66.41,851.59,1625.42,3345.69
0.93,0,62.37,129.24,1621.91,1919.9
0.94,0,60.96,1095.64,1709.45,2952.41
0.95,0,58.65,823.73,1757.59,3026.8
0.96,0,60.17,907.15,1708.02,3152.17
0.97,0,63.52,1042.14,1869.39,2014.74
0.98,0,64.74,754.15,1819.55,3511.56
0.99,0,64.96,747.89,1631.46,3173.67
1,0,63.45,822.85,1819.81,3284.27
1.01,0,61.76,771.69,1824.13,3260.85
1.02,0,61.82,836.94,1895.9,3368.13
1.03,0,63.92,854.7,2073.91,3387.34
1.04,0,65.25,853.47,2098.95,3162.83
1.05,0,63.97,950.01,2123.99,2794.71
1.06,0,61.51,949.78,2155.5,3170.71
1.07,0,59.98,793.42,2103.85,3143.12
1.08,0,59.9,905.95,2221.15,3418.07
1.09,0,62.41,838.23,2330.58,3161.19
1.1,0,63.95,818.28,2282.3,3308.65
1.11,0,64.62,749.54,2532.33,2861.47
1.12,0,0,0,0,0
1.13,0,0,0,0,0
