time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,160.12,1738.54,3058.85
0.04,0,59.72,636.48,1824.57,3056.72
0.05,0,59.73,655.75,1831.75,3071.56
0.06,0,61.4,1774.14,2594.27,3883.23
0.07,0,61.37,1840.93,2855.54,4290.86
0.08,0,61.24,523.42,2000.72,3242.85
0.09,0,63.43,1325.1,2646.44,3857.35
0.1,0,65.6,578.37,2138.53,3444.24
0.11,0,65.19,1745.32,3082.82,4255.29
0.12,0,63.45,1607.82,2847.21,4076.52
0.13,0,61.7,1717.82,2881.79,4402.8
0.14,0,60.94,533.35,2016.35,3079.73
0.15,0,59.9,1796.84,3121.33,4088.11
0.16,0,57.67,166.35,1643.55,2803.51
0.17,0,58.97,175.12,1574.13,2770.32
0.18,0,59.46,510.94,1930.45,3313.12
0.19,0,62.81,161.89,1570.8,2691.72
0.2,0,67.72,562.02,2256.28,3386.42
0.21,0,68.6,534.69,2149.27,3238.53
0.22,0,66.38,2106.05,2532.59,4068.88
0.23,0,65.06,1527.63,3297.35,4009.38
0.24,0,67.09,1972.09,3157.55,4247.5
0.25,0,66.91,1486.88,2927.41,3884.37
0.26,0,62.39,529.39,1866.98,3042.28
0.27,0,60.18,930.2,2446.9,3651.18
0.28,0,61.82,743.63,2240.45,3346.15
0.29,0,65.26,1722.34,2758.23,3772.82
0.3,0,68.23,1775.43,2467.99,3642.83
0.31,0,66.73,1702.77,2915.72,3985.37
0.32,0,66.98,1033.58,2425.67,3280.78
0.33,0,74.45,655.32,1174.49,2421.73
0.34,123.82,77.13,590.13,1326.15,2470.97
0.35,120.48,75.35,448.9,1361.03,2456.8
0.36,113.16,71.18,308.66,1174.37,2503.1
0.37,0,66.41,457.02,1226.44,2522.41
0.38,0,64.49,468.74,1236.57,2484.6
0.39,0,63.7,506.44,1292.72,2463.97
0.4,0,61.6,449.25,1224.01,2494.23
0.41,0,64.42,599.42,1815.15,2939.42
0.42,468.24,69.92,360.02,1820.99,3125.26
0.43,486.76,71.51,1508.91,2791.41,3304.95
0.44,429.78,68.35,1976.52,2060.17,3055.05
0.45,0,69.23,2137.76,2417.13,3024.45
0.46,152.63,76.28,253.38,2271.76,2901.27
0.47,152.93,79.87,287.19,2317.58,2943.19
0.48,156.61,81.54,313.69,2336.45,3134.59
0.49,160.86,83.07,320.9,2352.05,3124.98
0.5,166.01,83.56,324.99,2379.91,3160.99
0.51,166.91,82.61,331.15,2391.93,3138.64
0.52,165.57,81.41,332.17,2421.67,3072.54
0.53,163.49,80.32,329.43,2425.78,3055.93
0.54,161.72,78.73,319.88,2446.12,3148.74
0.55,156.56,75.99,311.88,2344.44,3137.3
0.56,160.24,74.6,251.59,2345.62,3053.4
0.57,0,75.74,329.8,2291.3,3184.42
0.58,0,75.55,348.48,2264.63,3269.21
0.59,0,74.89,329.57,2211.34,3382.02
0.6,0,74.76,332.04,2180.1,3221.79
0.61,0,73.82,318.33,2121.6,3459.17
0.62,0,72.77,1540.74,2943.94,4156.69
0.63,0,72.65,623.01,2243.2,3536.5
0.64,170.03,75.58,338.09,1852.93,3038.02
0.65,156.98,78.93,371.15,1798.78,2856.67
0.66,152.41,78.89,368.86,1810.08,2893.73
0.67,0,75.65,300.98,1841.13,2859.7
0.68,0,71.26,1838.93,2801.7,3958.22
0.69,0,68.2,691.17,2274.46,3386.09
0.7,0,67.32,1953.4,2731.25,3843.62
0.71,354.17,66.79,1752.93,2815.73,3370.52
0.72,350.5,65.92,1952.52,2251.38,3492.25
0.73,367.65,64.98,688.24,2035.49,2966.2
0.74,379.84,64.64,275.79,1816.17,2853.9
0.75,0,66.78,1529.87,2566.83,3117.42
0.76,0,69.15,882.56,2492.12,3160.34
0.77,0,69.59,1589.56,2937.2,3229.29
0.78,0,70.25,1875.64,3081.18,3382.2
0.79,0,70.29,2018.97,2964.14,3273.57
0.8,0,74.65,279.92,2341.2,3157.96
0.81,167.02,81.19,363.39,2221.82,3083.83
0.82,162.37,84.6,448.45,2297.96,3132.22
0.83,160.53,86.85,473.01,2250.32,3088.66
0.84,158.14,88.33,475.05,2244.32,3024.4
