time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,58.63,172.43,2255.84,3298.94
0.04,0,59.17,272.02,2111.55,3253.34
0.05,0,62.23,1533.15,2655.17,3794.8
0.06,0,62.36,2129.18,3072.92,4250.11
0.07,0,58.52,971.96,2268.28,3315.11
0.08,0,64.95,325,1785.17,2875.9
0.09,0,74.78,444.5,1941.46,2876.27
0.1,126.65,79.68,610.06,2472.22,3102.25
0.11,126.67,82.36,482.45,1532.55,3055.53
0.12,130.07,84.11,526.08,642.82,2947.91
0.13,130.58,84.49,288.58,610.36,3006.1
0.14,130.6,84.2,367.6,639.88,3043.86
0.15,131.31,83.74,369.74,769.54,3124.3
0.16,133.46,83.58,419.42,749.2,3113.52
0.17,137.18,84.2,439.18,794.08,3135.75
0.18,143.31,85.38,538.19,650.8,3150.02
0.19,150.53,87.51,523.65,1022.18,3104.78
0.2,155.65,89.39,527.78,1634.88,3083.99
0.21,157.02,89.65,572.32,1503.06,3103.58
0.22,158.81,89.73,610.36,1517.64,3085.54
0.23,162.68,90.13,623.13,1423.24,3018.97
0.24,166.47,90.67,610.63,1734.97,2945.44
0.25,169.33,90.78,596.04,1726.78,2838.96
0.26,172.19,90.17,664.3,1568.82,2689.34
0.27,174.56,90.01,712.09,1439.68,2724.88
0.28,177.28,90.26,740.62,1200.37,2734.49
0.29,179.4,90.49,692.83,1498.64,2661.9
0.3,182.35,90.06,656.67,1584.36,2690.42
0.31,186.38,89.26,654.15,1256.61,2651.6
0.32,188.75,89.07,608.17,1450.25,2585.74
0.33,188.29,89.48,638.95,1415.42,2535.99
0.34,189.35,89.51,720.71,2016.41,3211.45
0.35,188.3,89.74,495.13,932.42,2645.49
0.36,186.77,89.59,597.36,1322.82,2400.82
0.37,185.73,88.94,502.49,999.39,2768.25
0.38,184.44,88.76,499.26,882.91,2764.45
0.39,183.99,88.61,624.27,1755.02,3137.28
0.4,185.21,88.97,623.24,1366.48,2630.21
0.41,189.62,89.92,685.52,1592.32,2902.95
0.42,192.83,90.01,704.79,1577,2714.66
0.43,191.24,88.57,636.28,1086.34,2603.12
0.44,186.21,87.01,588.13,952.08,2697.66
0.45,179.03,86.85,549.51,1074.19,2571.28
0.46,180.43,85.17,555.04,1120.45,2670.19
0.47,188.91,81.83,646.98,1179.52,2618.87
0.48,185.29,78.23,627.69,1161.09,2571.12
0.49,183.39,77.48,583.48,1430.1,2633.74
0.5,184.4,77.55,589.45,1502.27,2648.91
0.51,0,77,591.42,1623.65,2697.16
0.52,0,76.68,575.92,1769.66,2741.02
0.53,0,78.55,643.36,1839.05,2780.19
0.54,0,82.69,636.14,1881.44,2785.13
0.55,141.88,85.88,610.2,1949.8,2818.53
0.56,141.29,87.7,591.82,2020.89,2874.09
0.57,142.75,89.16,574.99,2097.24,2936.55
0.58,142.63,89.67,563.76,2147.29,2977.56
0.59,141.48,89.06,560.82,2171.38,2976.03
0.6,140.14,88.05,551.42,2203.66,2981.54
0.61,138.16,86.88,543.75,2236.24,2992.97
0.62,136.49,86.3,530.19,2275.46,3019.34
0.63,135.29,86.16,508.19,2294.62,3004.92
0.64,134.19,85.82,464.25,2290.39,2983.01
0.65,133.37,86.01,436.72,2293.52,2967.34
0.66,132.79,86.72,448.83,2323.27,2968.55
0.67,132.86,87.39,436.22,2378.29,2985.09
0.68,133.57,87.6,410.49,2392.54,2987.99
0.69,135.66,86.8,401.87,2440.53,3015.92
0.7,136.11,85.35,389.78,2443.36,3001.48
0.71,134.92,84.32,372.24,2467.09,2974.04
0.72,133.33,83.25,368.59,2517.96,2902.82
0.73,131.55,80.81,362.86,2422.54,2903.44
0.74,127.99,77.43,330.79,2052.95,2760.67
0.75,129.9,74.53,345.71,1919.92,2698.76
0.76,131.63,71.74,407.04,2062.43,2716.58
0.77,135.03,69.26,420.81,2063.78,2701.75
0.78,134.92,67.13,403.79,2133.89,2996.4
0.79,132.8,65.89,413.87,2025.49,2865.57
0.8,132.05,66.56,404.02,2071.29,2869.3
0.81,134.29,65.68,436.5,2201.95,2776.41
0.82,135.06,62.39,441.71,2350.69,2974.81
