time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,56.81,710.25,2149.58,3082.13
0.04,0,57.54,2063.02,3004.39,4277.94
0.05,0,59.18,88.94,1844.2,2603.8
0.06,0,59.64,106.9,1567.9,2663.55
0.07,0,59.37,151.27,1928.12,2876.42
0.08,0,60.29,1940.16,3078.2,4306.52
0.09,0,60.51,2225.51,3062.75,4399.99
0.1,0,58.21,174.88,1853.64,2583.5
0.11,0,57.46,105.28,1519.19,2507.45
0.12,0,59.66,1876.83,2998.36,4051.91
0.13,0,59.27,117.67,1855.49,2866.97
0.14,0,59.75,412.32,1905.69,2920.56
0.15,0,62.95,2010.2,3218.11,4194.6
0.16,0,63.73,72.58,1792.23,2819.1
0.17,0,61.03,486.31,2166.7,3408.77
0.18,0,62.18,1098.23,2374.89,3603.79
0.19,0,64.83,396.39,2032.32,3436.42
0.2,0,66.35,306.64,2162.49,3632.1
0.21,117.05,69.11,271.04,2137.92,3634.18
0.22,119.33,71.23,213.53,753.9,2239.85
0.23,118.38,72.31,213.06,745.19,2170.93
0.24,114.99,72.5,257.6,2138.2,3544.86
0.25,111.28,71.81,220.74,2338.08,3771.53
0.26,108.93,69.58,189.7,717.56,2311.23
0.27,107.23,65.63,200.93,2099.6,3064.65
0.28,0,65.26,773.9,2188.56,3193.9
0.29,0,68.89,938.16,2163.92,3261.71
0.3,0,75.53,342.43,2098.87,3101.71
0.31,142.76,82.57,370.29,2164.63,2956.2
0.32,147.05,86.19,432.12,2183.98,2882.17
0.33,149.06,87.31,479.8,2116.14,2798.28
0.34,150.92,87.09,544.13,2036.85,2834.82
0.35,159.13,87.06,599.56,1938.1,2762.05
0.36,165.77,87.89,626.35,1889.32,2749.64
0.37,173.78,88.75,657.94,1890.66,2794.03
0.38,180.1,88.91,695.53,1892.1,2862.84
0.39,191.26,88.61,690.31,1914.51,2847.95
0.4,195.77,87.64,635.32,1917.41,2869.58
0.41,195.46,85.31,639.56,1908.22,2908.22
0.42,0,81.54,635.67,1891.06,2663.82
0.43,0,78.08,558.85,1859.12,2753.25
0.44,0,74.93,611.08,1914.1,2750.41
0.45,0,73.16,625.89,1957.69,2817.62
0.46,0,71.91,636.68,1973.11,2596.39
0.47,0,70.87,601.94,2004.32,2558
0.48,0,69.92,621.76,1987.99,2828.5
0.49,0,70.1,600.34,1994.55,2846.23
0.5,0,70.39,627.17,1901.49,2904.88
0.51,0,68.01,584.91,1954.21,2993.19
0.52,0,64.42,650.34,1832.14,2923.21
0.53,0,63.77,579.84,1805.54,2770.53
0.54,0,65.09,550.8,1753.77,2763.61
0.55,0,64.72,568.54,1777.4,2795.64
0.56,0,63.77,579.09,1799.35,2513.74
0.57,0,62.79,520.54,1847.44,2675.01
0.58,0,62.57,559.35,1881.37,2675.46
0.59,0,60.36,631.84,1949.78,2888.73
0.6,0,58.61,455.2,1868.47,2743.51
0.61,0,60.31,526.26,1749.61,2723.98
0.62,0,61.36,532.85,2174.11,2904.37
0.63,0,60.96,519.38,2127.98,2984.12
0.64,0,65.56,972.28,1562.54,3109.33
0.65,0,70.23,1031.21,1504.56,2733.69
0.66,0,71.23,733.49,1531.72,2920
0.67,0,69.73,801.63,1552.04,3083.92
0.68,0,67.33,932.46,1484.89,2739.21
0.69,0,64.26,968.3,1483.11,3092.1
0.7,0,65.93,1003.98,1283.44,2803.9
0.71,156.16,74.16,530.62,1207.29,2675.69
0.72,152.24,79.1,518.85,850.05,2710
0.73,153.91,82.38,563.69,783.93,2797.24
0.74,154.42,84.7,604.95,692.8,2883.53
0.75,150.1,85.2,361.39,671.81,2896.93
0.76,146.51,84.82,357.13,1144.5,3025.2
0.77,144.39,84.48,431.36,676.41,2963.51
0.78,143.06,83.84,496,694.7,2946.19
0.79,141.66,82,508.13,688.33,2996.84
0.8,140.76,80.04,491.08,697.34,2996.41
0.81,140.96,79.63,617.54,2497.46,3302.55
0.82,141.12,79.6,666.22,3011.51,3404.43
0.83,141.3,79.88,373.56,689.19,3079.03
0.84,140.52,79.81,386.71,709.83,3074.06
0.85,139.29,79.35,581.54,2545.79,3338.13
