time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,299.4,1801.61,2789.56
0.04,0,59.52,143.91,1991.65,3161.84
0.05,0,62.33,171.59,1716.3,2554.99
0.06,0,65.75,93.27,2290.8,3752.4
0.07,0,66.93,1728.99,2287.04,3783.07
0.08,0,65.94,2032.1,2343.86,3987.02
0.09,133.26,71.23,154.3,1944.08,2351.78
0.1,128.55,76.84,213.9,2192.36,2309.42
0.11,115.43,79.21,248.69,2010.84,2329.14
0.12,116.16,80.52,241.64,1391.59,2345.51
0.13,117.34,81.41,231.69,1357.63,2328.83
0.14,117.87,81.79,239.6,1999.2,2345.46
0.15,120.71,81.87,247.58,1915.64,2342.58
0.16,124.05,82.34,245.89,2079.37,2339.88
0.17,127.85,82.67,257.72,1801.55,2345.27
0.18,139.83,83.37,382.58,1564.39,2435.83
0.19,142.45,84.81,543.68,1569.76,2793.91
0.2,145.37,86.2,618.21,1632.3,2903.99
0.21,150.87,87.06,654.19,1652.21,2972.42
0.22,156.34,87.19,667.38,1608.65,2930.87
0.23,161.2,87.33,691.94,1539.87,2958.78
0.24,164.81,87.49,678.18,1485.8,2954.16
0.25,167.89,87.61,672.06,1460.77,2927.53
0.26,172.61,87.55,682.53,1324.42,2957.14
0.27,173.93,87.62,698.1,1292.42,2896.99
0.28,175.37,86.63,652.6,1234.45,2883.24
0.29,178.66,84.87,612.13,1211,2994.81
0.3,181.39,82.85,618.42,1159.36,3024.5
0.31,185.33,82.18,622.54,1304.96,3050.65
0.32,188.01,84.64,602.01,1189.41,3011.57
0.33,190.3,87.01,574.88,1148.41,3054.04
0.34,192.72,87.56,575.44,1178.92,3069.61
0.35,194.87,87.59,585.43,1183.51,2995.07
0.36,195.13,87.65,584.9,1201.22,2894.96
0.37,196.2,87.01,577.65,1162.94,2849.51
0.38,197,86.22,571.75,1101.67,2930.08
0.39,196.57,85.85,557.82,1042.75,2958.54
0.4,195.59,85.78,532.94,1001.63,2995.1
0.41,195.21,85.71,521.45,934.51,2935.4
0.42,194.67,85.7,512.81,851.26,2844.66
0.43,194.5,85.84,522.1,814.63,2791.34
0.44,194.53,85.92,488.47,795.3,2762.84
0.45,194.53,85.78,475.12,789.72,2778.03
0.46,194.47,85.45,454.64,786.06,2844.2
0.47,195.97,85.13,447.56,800.09,2790.36
0.48,198.34,84.98,449.1,817.81,2813.46
0.49,199.8,84.48,439.73,828.55,2820.21
0.5,198.25,82.11,437.02,833.49,2810.82
0.51,196.89,78.26,453.16,848.27,2772.16
0.52,194.69,76,570.28,861.07,2671.81
0.53,195.42,76.6,605.17,1236.3,2596.96
0.54,197.55,76.26,597.72,1243.11,2555.05
0.55,199.85,72.48,630.58,1124.59,2720.79
0.56,197.64,68.28,471.16,854.86,2518.75
0.57,195.49,67.51,558.54,1014.61,2778.56
0.58,193.91,67.42,485.22,1168.67,2457.2
0.59,195.49,67.09,583.13,1721.09,1770.44
0.6,197.21,66.48,698.53,1722.85,3480.43
0.61,197.32,65.4,468.93,970.91,2504.52
0.62,196.07,65.54,455.37,948.08,2523.66
0.63,195.91,64.96,495.27,1009.75,2602.28
0.64,197.18,64.79,579.53,1148.25,2538.72
0.65,0,70.18,763.43,1766.05,2668.8
0.66,133.45,76.75,867.19,1731.71,2571.83
0.67,134.97,81.13,862.16,1754.11,2690.53
0.68,138.89,83.72,882.3,1772.79,2560.38
0.69,140.75,84.79,880.45,1771.92,2570.38
0.7,142.21,84.92,860.75,1772.81,2697.36
0.71,142.31,84.88,836.32,1757.91,2684.31
0.72,141.83,84.91,820.6,1747.98,2684.99
0.73,140.41,85.01,830.61,1719.89,2677.13
0.74,138.08,85.14,854.34,1691.97,2641.9
0.75,134.34,85.31,873,1665.45,2682.17
0.76,132.18,85.27,878.14,1595.31,2601.37
0.77,0,84.45,847.02,1558.86,2589.42
0.78,0,83.87,824.14,1497.87,2563.53
0.79,113.05,83.7,788.67,1458.63,2643.21
0.8,109.57,83.49,794.03,1312.92,2596.87
0.81,107.45,83.38,766.87,1285.41,2653.35
0.82,104.5,82.56,734.93,1287.45,2705.12
