time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,123.19,2321.05,2713.91
0.04,0,59.64,230.41,1853.33,3195.19
0.05,0,60.17,1977.59,2904.14,4287.79
0.06,0,60.36,204.22,1954.76,3048.31
0.07,0,56.27,530.98,2009.81,3096.44
0.08,0,53.92,594.54,2168.77,3318.2
0.09,0,58.53,516.36,2256.35,3434.64
0.1,0,60.83,2132.24,3114.99,4038.79
0.11,0,60.72,716.18,2214.65,3834.67
0.12,0,59.03,419.84,2553.47,2832.91
0.13,0,59.75,1604.67,2216.08,3841.71
0.14,0,58.81,828.92,2272.02,3396.28
0.15,0,58.97,1906.79,2766.32,3903.63
0.16,0,60.66,1584.13,2637.4,3937.21
0.17,0,58.85,520.09,2066.51,2968.98
0.18,0,59.29,1919.21,3493.56,4049.12
0.19,0,61.49,227.36,2034.52,3239.23
0.2,0,65.79,306.98,1781.57,2970.83
0.21,0,68.54,465.56,1794.63,2930.76
0.22,0,65.87,512.68,1554.19,2685.62
0.23,456.78,62.63,856.8,1590.67,2739.61
0.24,464.38,65.05,799.98,1623.25,2754.46
0.25,0,70.65,593.12,1428.86,2854.87
0.26,153.24,78.8,502,1193.68,3056.87
0.27,140.46,83.04,447.41,970.05,2968.09
0.28,134.78,84.34,511.01,910.44,2994.26
0.29,129.7,85.13,594.77,795.29,3013.08
0.3,125.16,86.26,532.52,850.91,3030.09
0.31,122.15,86.37,531.86,794.46,2978.93
0.32,121.17,85.97,526.41,875.36,2981.96
0.33,121.38,86.04,494.06,1065.46,2967.02
0.34,122.59,86.38,498.32,1181.18,2964.57
0.35,122.68,86.46,495.91,1265.12,2970.65
0.36,121.94,86.32,498.92,1373.04,2947.38
0.37,121.93,86.21,491.53,1498.38,2916.05
0.38,122.77,86.09,486,1607.3,2943.01
0.39,123.35,85.63,481.13,1748.66,2897.4
0.4,123.63,84.85,467.89,1854.74,2790.59
0.41,123.74,84.11,443.31,2009.72,2767.64
0.42,123.86,83.52,428.25,1829.06,2529.4
0.43,125.24,83,407.26,1842.35,2486.18
0.44,126.45,82.55,382.35,1996.6,2386
0.45,126.75,82.14,374.02,2171.62,2386.83
0.46,126.19,82,398.96,2198.64,2396.79
0.47,125.37,82.08,395.11,2275.48,2385.47
0.48,124,82.12,379.83,2278.95,2380.43
0.49,122.87,82.1,365.12,2274.77,2348.33
0.5,121.7,82.08,373.58,2305.48,3326.32
0.51,121.54,82.23,378.85,2235.16,3300.8
0.52,118.81,82.55,404.2,2114.93,3190.74
0.53,118.05,83.12,439.55,1999.15,3041.81
0.54,117.56,83.82,473.67,1892.28,2918.29
0.55,117.18,84.26,474.62,1828.45,2895.73
0.56,117.63,84.46,526.55,1805.65,3389.31
0.57,118.02,84.73,538.21,1740.43,3350.54
0.58,118.07,84.9,492.71,1661.28,3234.97
0.59,118.23,84.79,478.66,1573.52,3128.42
0.6,117.91,84.11,477.99,1427.82,3072.71
0.61,114.58,82.61,460.57,1296.04,3039.38
0.62,110.8,81.69,399.26,1312.64,3031.46
0.63,111.76,81.68,371.41,1248.88,3064.92
0.64,114.8,81.84,385.16,1330.49,3051.7
0.65,119.87,83.17,471.35,1178.47,3095.72
0.66,124.24,86.18,513.74,1187.4,3099.5
0.67,123.8,88.49,528.48,1297.31,3099.74
0.68,121.66,89.38,568.17,1367.86,3077.77
0.69,121.49,89.68,604.95,1510.69,3026.42
0.7,121.48,89.94,628.07,1583.05,2991.32
0.71,121.63,90.09,648.23,1642.95,2912.97
0.72,121.33,90.01,659.16,1628.02,2902.2
0.73,120.81,89.82,667.61,1652.22,2891.64
0.74,119.78,89.43,675.19,1688.06,2923.64
0.75,117.52,88.99,688.26,1741.61,2965.25
0.76,114.31,88.68,668.72,1762.8,3015.85
0.77,111.81,88.22,654.89,1789.01,2966.49
0.78,109.57,87.44,659.34,1811.41,2924.14
0.79,105.23,86.47,638.2,1840.96,2923.29
0.8,102.75,85.27,632.65,1871.41,2875.29
0.81,100.05,84.66,600.63,1892.36,2858.21
0.82,97.93,84.46,580.83,1945.58,2840.99
0.83,97.07,83.35,546.99,1991.78,2924.74
