time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,56.49,1154.37,2378.55,3663.35
0.04,0,57.51,2155.52,2984.54,4007.48
0.05,0,61.15,1936.17,3022.26,3774.95
0.06,0,61.15,2010.58,3336.57,3522.92
0.07,0,58.97,1728.3,2833.46,3897
0.08,0,61.46,2058.87,2867.5,3850.22
0.09,0,60.66,1668.4,2845.15,3768.2
0.1,0,59.42,1027.45,2460.62,3768.69
0.11,0,62.77,963.26,2218.36,3345.54
0.12,0,64.33,1986.64,3098.06,4307.68
0.13,0,66.17,427.09,1676.82,2628.85
0.14,0,75.38,568.8,1820.06,2595.68
0.15,0,82.63,451.7,1872.61,2507.92
0.16,139.89,84.93,506.81,1820.78,2475.14
0.17,135.02,85.69,569.37,1815.66,2407.02
0.18,131.11,86.78,633.57,1789.89,2392.28
0.19,130.09,87.69,672.46,1796.64,2409.6
0.2,130.13,88.11,740.53,1785.73,2424.56
0.21,130.26,88.28,760.03,1823.65,2469.09
0.22,130.78,88.03,765.16,1576.74,2425.24
0.23,131.97,87.31,763.44,1418.38,2419.54
0.24,133.8,85.84,766.11,1299.12,2426.96
0.25,136.25,84.37,724.32,1105.08,2281.31
0.26,137.29,84.09,700.24,1074.9,2321.53
0.27,138.4,83.67,680.93,1093.07,2314.54
0.28,139.85,82.15,674.82,1157.78,2370.78
0.29,141.76,80.69,640.33,1083.44,2452.02
0.3,142.95,79.87,609.72,1150.68,2501.59
0.31,144.49,79.5,455.45,1201.88,2526.66
0.32,146.64,79.66,388.21,1115.1,2464.11
0.33,147.51,79.29,459.96,1274.97,2440.44
0.34,148.71,78.86,341.46,1262.43,2459.39
0.35,148.37,78.2,451.08,868.06,2400.37
0.36,147.3,76.83,309.38,1201.63,2478.55
0.37,145.52,74.99,504.93,1272.65,2537.96
0.38,142.6,73.5,324.49,1069.19,2394.24
0.39,148.01,73.85,262.6,1468.68,2499.3
0.4,153.08,77.62,419.63,2047.86,2689.71
0.41,153.63,81.08,431.18,1671.49,2599.94
0.42,153.3,82.09,438.24,1596.44,2649.05
0.43,152.13,80.93,438.13,1537.89,2596.7
0.44,148.8,77.94,414.38,1488.08,2599.34
0.45,145.47,75.38,399.83,1477.1,2727.47
0.46,146,75.52,422.32,1413.14,2741.43
0.47,148.24,77.32,423.82,1392,2795.96
0.48,153.5,80.85,435.94,1359.73,2759.65
0.49,157.08,84,466.44,1236.4,2715.64
0.5,156.74,85.09,473.45,1025.74,2646.55
0.51,153.38,84.61,460.45,968.45,2708.01
0.52,149.5,84.08,437.95,948.53,2670.88
0.53,145.46,83.37,420.78,900.27,2705.07
0.54,142.84,81.92,420.5,902.62,2904.53
0.55,141.66,79.69,419.37,809.06,2785.14
0.56,138.4,77.18,376.78,839.97,2705.71
0.57,135.93,76.51,401.43,771.98,2820.15
0.58,133.56,77.11,391.13,868.45,2799.65
0.59,131.05,79.14,403.75,739.25,2788.47
0.6,129.2,81.21,386.24,704.36,2843
0.61,127.68,82.91,397.05,647.48,2809.41
0.62,124.54,84.11,461.58,683.77,2811.36
0.63,122.34,85.55,565.27,740.36,2830.72
0.64,119.87,86.01,578.38,815.37,2823.49
0.65,118.52,86.06,645.2,889.27,2850.4
0.66,116.99,86.61,667.55,938.42,2814.94
0.67,115.57,86.87,688.5,920.99,2823.68
0.68,114.22,86.86,725.89,1002.29,2634.11
0.69,113,86.51,735.09,1088.28,2577.66
0.7,111.69,85.48,760.01,1144.86,2504.79
0.71,110.54,84.48,762.71,1184.46,2436.87
0.72,108.98,83.36,763.57,1272.86,2352.52
0.73,107.12,81.81,774.28,1428.83,2249.08
0.74,104.99,81.34,719.41,1467.05,2249.21
0.75,103.17,80.73,693.98,1498.73,2175.01
0.76,102.69,80.27,682.32,1640.13,2198.3
0.77,102.3,78.6,637.93,1766.27,2353.38
0.78,102.18,76.3,600.05,1584.34,2390.51
0.79,102.81,74.49,590.86,1611.05,2311.93
0.8,102.72,73.88,579.21,1995.33,2103.37
0.81,102.51,74.02,561.39,1814.78,2269.78
0.82,102.32,73.85,563.67,1872.56,2306.96
0.83,101.7,73.16,541.25,1873.13,2059.66
