time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,531.63,2065.12,3110.19
0.04,0,61.87,1445.81,2884.64,4045.52
0.05,0,65.68,1861.78,3133.48,4181.58
0.06,0,65.26,517.89,2161.59,3198.01
0.07,0,61.48,149.39,1881.6,2811.4
0.08,0,60.6,1748.35,3037.73,4145.86
0.09,0,60.53,1861,3007.49,4053.69
0.1,0,57.03,647.24,2282,3490.63
0.11,0,55.26,179.87,2111.9,3326.98
0.12,0,57.42,1824.83,2922.72,3395.06
0.13,185.47,65.86,208.13,2244.07,2949.07
0.14,169.36,73.28,231.35,2150.88,2835.46
0.15,154.61,76.51,284.29,2059.54,2816.59
0.16,150.34,78.26,293.61,2076.55,2835.51
0.17,149.07,79.58,286.74,2072.46,2838.54
0.18,148.63,80.37,296.04,2057.63,2783.2
0.19,148.87,80.71,297.91,2061.46,2747.98
0.2,149.85,80.65,300.66,2077.55,2802.25
0.21,150.61,80.81,302.32,2079.75,2813.17
0.22,152.4,80.89,298.84,2109.34,2823.98
0.23,154.74,80.13,293.49,2183.89,2842.69
0.24,153.83,78.29,293.34,2244.9,2776.76
0.25,149.11,75.65,267.91,2273.17,2801.93
0.26,148.8,72.92,248.63,2329.68,2795.04
0.27,148.93,70.57,310.73,2270.02,2750.87
0.28,147.58,69.66,275.9,2217.26,2858.08
0.29,148.38,70.61,794.21,2040.18,2724.25
0.3,155.55,73.73,368.17,2092.07,2304.26
0.31,158.05,77.73,348.03,2005.17,2765.43
0.32,157.05,80.84,365.39,1924.61,2522.5
0.33,156.59,81.7,395.67,1740.63,1903.51
0.34,156.35,82.09,432.83,1852.19,1888.62
0.35,156.02,83.25,447.62,1618.11,1876.91
0.36,155.44,84.35,448.17,1339.75,1811.99
0.37,154.25,84.93,446.74,1472.25,1708.31
0.38,151.87,84.76,438.25,1569.84,1618.04
0.39,148.3,83.36,424.91,1434.51,1739.26
0.4,144.74,80.46,411.07,1347.9,1814.44
0.41,146.73,77.46,347.59,608.91,1820.92
0.42,148.54,75.69,410.29,1408.07,1565.08
0.43,135.68,74.12,365.34,1650.97,2801.07
0.44,124.82,73.19,432.05,1646.14,3033.02
0.45,117.84,73.35,435.81,766.01,2113.85
0.46,115.96,73.65,437.2,1699.45,3048.97
0.47,119.53,74.04,397.5,1617.44,2945.27
0.48,129.35,76.41,361.61,1927.86,2781.47
0.49,131.78,79.04,343.29,1981.07,2327.2
0.5,128.24,80.23,340.16,1965.67,2416.83
0.51,126.17,80.24,330.82,1999.09,2566.59
0.52,126.05,80.25,286.31,2011.89,2653.45
0.53,126.67,80.5,296.98,2046.53,2753.68
0.54,126.82,80.15,286.24,2105.37,2786.5
0.55,126.39,79.57,275.42,2101.08,2722.78
0.56,125.86,79.65,273.02,2089.6,2765.61
0.57,125.52,80.05,267.04,2052.17,2706.77
0.58,125.3,80.52,279.2,2070.44,2725.04
0.59,123.87,80.81,285.78,2082.01,2703.9
0.6,122.81,80.87,299.56,2036.13,2552.17
0.61,121.95,79.98,317.66,1960.61,2638.45
0.62,119.39,77.09,323.47,1932.47,2858.49
0.63,117.43,73.18,292.84,1994.55,2903.46
0.64,118.32,70.71,323.26,2020.28,2785.13
0.65,121.56,69.78,305.8,2003.46,2872.61
0.66,122.64,70.55,244.42,2074.55,2825.61
0.67,122.57,70.38,254.03,2010.51,2803.93
0.68,0,68.46,253.68,2137.76,2884.89
0.69,0,67.78,187.83,2043.91,2733.69
0.7,0,68.18,303.13,1872.24,2717.02
0.71,0,67.72,332.96,1614.38,2682.34
0.72,0,70.14,434.83,1421.03,2404.8
0.73,472.6,73.2,481.72,1438.66,2057
0.74,473.15,73.57,503.06,1466.13,2079.32
0.75,478.78,73.83,507.76,1426.82,2055.6
0.76,487.44,73.84,495.79,1403.9,2083.38
0.77,496.04,71.96,506.06,1416.43,1984.81
0.78,0,68.27,515.78,1519.12,1965.56
0.79,0,68.89,513.16,1417.29,2401.71
0.8,0,69.51,486.61,1432.47,2932.39
0.81,0,68.92,332.85,1493.4,1860.16
0.82,0,67.02,396.51,1553.78,2617.22
0.83,0,63.33,466.33,1512.39,3032.41
