time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,182.1,1903.69,3013.64
0.04,0,58.37,843.24,2187.88,3420.69
0.05,0,60.8,807.81,2066.77,3288.04
0.06,0,61.7,1862.26,3064,4184.57
0.07,0,60.81,1921.01,2778.45,3952.89
0.08,0,59.19,2154.62,3222.35,4240.63
0.09,0,61.07,2172.44,2754.98,4312.99
0.1,0,63.53,2185.5,2762.25,4123.87
0.11,0,62.81,496.98,2329.33,3395.1
0.12,0,57.66,189.65,1803.32,2810.49
0.13,0,52.45,1052.06,2221.54,3312.7
0.14,0,51.96,1486.77,2717.99,4048.64
0.15,0,52.59,2140.44,2849.89,4230.5
0.16,0,55.16,1765.91,2700.02,3621.09
0.17,0,59.83,449.04,2290.79,2810.34
0.18,0,65.85,477.96,2278.45,2860.64
0.19,0,75.18,346.42,2394.57,2821
0.2,142.54,82.6,395.55,1976.74,2675.91
0.21,149.22,85.7,449.63,1941.37,2511.29
0.22,150.4,85.64,495.58,1913.68,2455.24
0.23,149.79,84.57,546.64,1801.09,2390.44
0.24,152.48,83.74,591.04,1744.56,2346.91
0.25,159.65,82.14,600.04,1685.29,2297.3
0.26,172.87,80.46,530.65,1678.09,2343.33
0.27,0,78.56,514.74,1674.42,2353.45
0.28,0,75.08,470.93,1739.76,2324.21
0.29,0,70.19,501.57,1780.78,2267.86
0.3,0,68.81,519.98,1856.7,2685.71
0.31,0,68.61,565.62,1898.62,3152.94
0.32,0,67.16,551.5,1826.18,2730.99
0.33,482.13,66.84,497.26,1835.4,2713.6
0.34,478.46,67.77,488.77,1871.25,2559.08
0.35,481.48,66.84,488.57,2154.69,2550.78
0.36,0,65.66,511.02,1811.34,2548.1
0.37,0,65.16,537.56,2001.38,2146.42
0.38,0,63.38,579.97,1911.55,2719.63
0.39,0,63.63,528.56,1908.15,2382.11
0.4,0,65.81,448.57,1655.43,2017.23
0.41,0,66.26,490.45,2011.46,2958.14
0.42,0,69.08,661.47,1318.36,2339.56
0.43,0,71.44,887.72,1222.7,2550.27
0.44,0,70.88,1010.42,2079.75,2875.83
0.45,0,68.87,1081.05,2675.46,2874.04
0.46,0,67.21,994.59,2456.18,2996.82
0.47,0,64.76,858.83,2290.12,2830.95
0.48,0,63.63,745.96,1161.25,2775.25
0.49,0,66.35,726.54,1006.18,2806.39
0.5,0,75.14,542.11,854.79,2815.37
0.51,150.47,81.6,484.39,773.11,2736.43
0.52,149.54,83.64,481.14,757.16,2769.88
0.53,148.4,83.78,477.71,695.47,2848.21
0.54,147.53,84.08,458.52,679.21,2877.86
0.55,145.82,83.93,451.61,653.03,2850.01
0.56,143.68,82.92,441.05,682.38,2899.79
0.57,140.62,80.87,421.81,665.13,2884.85
0.58,139.03,79.69,406.28,670.88,2898.4
0.59,140.8,80.23,408.36,682.23,2803.7
0.6,142.36,80.5,425.99,684.03,2921.99
0.61,142.37,79.9,409.27,700.89,2897.54
0.62,140.47,78.41,382.19,699.64,2844.56
0.63,136.38,77,409.65,664.28,2868.72
0.64,137.47,75.32,415.74,568.44,2912.76
0.65,136.52,72.53,411.6,652.36,2878.79
0.66,139.12,70.69,445.94,560.67,3005.56
0.67,141.64,69.45,453.01,472.5,2889.44
0.68,0,68.25,529.23,2418.44,3533.83
0.69,0,67.26,607.4,2212.6,3365.39
0.7,0,65.3,576.71,1968.06,3230.16
0.71,0,62.58,469.39,1938.06,3076.07
0.72,0,60.33,453.21,2191.81,3093.12
0.73,0,60.68,492.41,2122.79,2748.94
0.74,0,61.41,461.33,2276.66,2692.57
0.75,0,60.35,439.24,2219.06,2734.64
0.76,0,58.43,203.78,2063.19,2533.73
0.77,0,58.11,422.14,1936.73,2648.02
0.78,0,58.27,428.15,2059.36,2717.81
0.79,0,59.44,1774.65,2608.52,3866.64
0.8,0,60.37,648.02,2364.9,3212.34
0.81,0,59.01,432.83,2188.33,2846.67
0.82,0,59.36,480.08,2102,2776.35
0.83,0,67.58,404.09,2050.13,2661.9
0.84,160.69,75.33,324.67,2052.01,2638.77
0.85,148.53,77.75,336.87,2096.58,2679.14
0.86,140.66,77.25,346.2,2034.89,2752.81
