time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,60.83,1075.51,2434.35,3669.47
0.04,0,60.15,862.08,2163.27,3189.45
0.05,0,61.66,688.01,2228.91,3220.92
0.06,0,61.81,1659.76,2768.32,3823.57
0.07,0,61.06,811.36,2428.35,3530.43
0.08,0,59.83,2001.63,2958.12,4110.05
0.09,0,59.3,248.97,2091.51,3065.55
0.1,0,60.8,779.64,2297.17,3234.94
0.11,0,60.23,1146.83,2162.06,3189.98
0.12,0,56.73,1005.31,2419.27,3429.73
0.13,0,55.32,1021.88,2409.17,3405.71
0.14,0,60.59,990.27,2340.02,3749.04
0.15,0,71.91,352.69,1839.25,2036.31
0.16,153.15,78.52,449.22,1765.31,2162.39
0.17,152.87,80.56,523.27,1874.83,2349.58
0.18,155.89,80.74,532.37,1947.68,2348.21
0.19,159.42,80.3,488.23,1990.55,2330.18
0.2,159.71,78.58,469.77,2084.67,2179.15
0.21,157.11,76.61,432.44,1999.61,2165.7
0.22,152.9,74.78,426.97,2113.25,2421.08
0.23,149.5,71.67,596.02,1710.12,2745.01
0.24,0,69.11,505.69,1607.02,2507.09
0.25,0,68.42,502.01,1797.42,2118.86
0.26,488.91,66.73,530.06,1967.47,2301.58
0.27,480.83,65.98,498.88,1981.53,2721.53
0.28,473.33,67.84,526.33,2006.05,2819.05
0.29,0,68.2,574.98,2204.84,2766.87
0.3,0,67.39,646.59,2187.34,2714.18
0.31,200.39,71.87,438.17,2353.04,2684.55
0.32,187.19,77.39,357.77,2197.97,2636.08
0.33,174.84,78.62,402.84,2187.69,2686.45
0.34,171.22,77.29,440.56,2230.9,2803.73
0.35,167.62,76.1,495.93,2266.77,2820.12
0.36,164.1,76.75,478.54,2319.33,2559.57
0.37,160.59,77.91,494.87,2228.29,2607.02
0.38,155.26,78.48,530.18,2188.76,2571.1
0.39,150.7,79.77,578.88,2129.68,2447.88
0.4,146.35,81.26,595.51,2077.31,2419.53
0.41,142.43,81.86,624.76,2000.31,2387.96
0.42,138.72,82.34,660.79,1901.38,2323.49
0.43,135.19,82.68,691.41,1779.94,2282.9
0.44,132.66,82.65,721.98,1618.65,2245.93
0.45,130.93,82.78,754.36,1502.15,2285.8
0.46,129.36,83.34,758.63,1396.37,2287.35
0.47,127.75,83.25,753.43,1329.42,2331.34
0.48,126.04,82.08,731.65,1239.11,2391.01
0.49,124.1,79.92,715.16,1179.58,2413.27
0.5,124.72,78.07,700.97,1175.36,2430.55
0.51,127.2,76.94,729.13,1313.99,2393.14
0.52,0,75.48,714.06,1528.74,2399.03
0.53,0,72.73,589.35,1613.71,2336.42
0.54,0,70.05,737.87,1962,2500.64
0.55,0,70.01,655.67,1764.11,2473.17
0.56,0,71.17,649.9,1042.78,2175.4
0.57,0,71.66,550.55,808.49,2187.21
0.58,0,71.34,663.29,1719.6,2835.8
0.59,128.93,70.72,566.2,1391.15,2418.64
0.6,126.43,70.76,393.81,1179.77,2224.52
0.61,122.93,72.04,372.45,1222.2,2340
0.62,121.23,73.95,353.18,1396.15,2222.73
0.63,121.09,75.44,372.31,1331.78,2504.66
0.64,120.58,76.36,449.45,1176.5,2537.54
0.65,118.85,77.93,598.83,1238.82,2760.37
0.66,117.18,79.27,667.43,1338.43,2652.07
0.67,116.23,79.64,687.29,1364.22,2688.7
0.68,115.5,80.23,725.05,1419.11,2575.85
0.69,115.28,80.23,745.75,1467.43,2778.05
0.7,115.23,79.21,746.04,1475.89,2771.29
0.71,115.36,78.9,762.68,1456.74,2602.76
0.72,115.14,79.38,759.99,1487.64,2692.74
0.73,114.15,79.43,770.73,1486.67,2452.72
0.74,113.16,79.15,772.06,1502.85,2444.1
0.75,112.84,77.45,757.69,1540.29,2548.61
0.76,110.95,77.14,734.34,1495.07,2541.75
0.77,108.6,78.21,726.5,1473.5,2581.71
0.78,107.93,77.6,732.38,1410.93,2692.98
0.79,107.32,76.66,732.38,1392.41,2647.97
0.8,106.25,74.99,715.05,1373.2,2597.84
0.81,104.84,74.02,710.43,1304.92,2635.66
0.82,103.97,74.45,687.11,1266.44,2701.55
0.83,103.45,74.77,685.13,1220.96,2629.87
