time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,66.13,2157.36,3381.52,4402.46
0.04,0,66.05,1577.14,2424.45,3782.99
0.05,0,64.58,1472.53,2540.65,3662.2
0.06,0,61.15,646.08,2273.6,3503.4
0.07,0,58.7,147.48,1578.66,2334.19
0.08,0,60.32,953.2,2129.83,3156.47
0.09,0,62.7,2021.63,2772.82,4025.74
0.1,0,62.29,2406.5,2862.83,3905.09
0.11,0,63.77,2155.3,2467.6,3819.4
0.12,0,67.69,1313.26,2314.96,3503.84
0.13,111.77,72.68,417.39,1857.57,2444.17
0.14,111.75,75.47,482.8,1813.65,2420.42
0.15,111.43,76.99,538.14,1782.77,2401.38
0.16,111.12,77.67,579.4,1732.43,2413.69
0.17,110.96,77.41,630.26,1718.12,2458.34
0.18,109.14,77.12,641.32,1638.22,2467.33
0.19,108.64,76.88,629.39,1514.3,2509.62
0.2,108.77,76.8,621.27,1444.49,2522.48
0.21,109,76.75,593.31,1408.47,2529.87
0.22,109.28,76.64,506.19,1386.96,2534.69
0.23,109.58,76.58,524.7,1356.61,2549.47
0.24,109.73,76.38,527.13,1326,2530.82
0.25,109.85,76.19,474.24,1337.7,2485
0.26,110.03,76.19,421.51,1432.83,2454.49
0.27,110.14,75.41,292.57,1475.11,2446.56
0.28,110.08,74.01,259.34,1556.4,2381.76
0.29,111.17,73.94,279.18,1580.07,2377.16
0.3,112.1,74.53,262.39,1598.65,2374.26
0.31,111.18,74.47,246.38,1550.2,2430.43
0.32,109.79,73.52,229.61,1494.33,2444.04
0.33,0,71.5,236.16,1471.07,2470.97
0.34,0,68.31,1088.9,2085.68,2906.06
0.35,0,66.47,1515.18,2500.19,3237.8
0.36,0,65.85,1828.61,2606.11,3243.65
0.37,0,65.05,1620.61,2502.96,3318.66
0.38,110.04,67.37,1630.6,2418.42,3403.31
0.39,110.02,70.25,386.29,1632.43,2455.37
0.4,109.88,71.88,427.73,1633.01,2431.53
0.41,109.49,72.68,428.74,1566.02,2439.4
0.42,108.63,72.13,411.71,1498.94,2430.22
0.43,106.84,69.67,365.4,1503.06,2425.46
0.44,99.24,66.42,235.38,1608.27,2497.53
0.45,96.5,65.3,264.16,1543.61,2527.86
0.46,97.68,66.69,214.74,1506.51,2640.93
0.47,100.11,67.76,177,1686.65,3037.52
0.48,107.43,67.71,1612.7,2848.44,3983.5
0.49,109.25,70.83,448.21,1347.13,2380.42
0.5,108.65,74.05,484,1354.14,2424.9
0.51,105.3,74.59,456.12,1267.63,2438.34
0.52,101.68,73.3,446.55,1156.15,2447.97
0.53,100.06,72.37,471.33,1077.16,2435.22
0.54,98.35,72.34,502.42,860.1,2423.64
0.55,96.89,72.15,499.44,1753.52,2845.5
0.56,95.37,72.02,386.44,1406.58,2711.03
0.57,94.1,72.06,452.17,575.7,2490.65
0.58,93.42,72.32,507.85,1755.56,2862.28
0.59,92.75,71.88,406.4,1354.01,2825.62
0.6,92.11,71.07,481,1773.57,2934.57
0.61,91.85,71.74,347.26,594.13,2533.88
0.62,91.87,73.02,606.66,683.42,2567.7
0.63,91.84,74.16,602.69,853.02,2585.98
0.64,91.24,75.08,627.99,973.24,2603.59
0.65,90.4,75.68,663.98,1027.21,2630.76
0.66,89.69,76.11,705.1,1085.81,2623.87
0.67,89.04,76.51,724.77,1173.17,2622.48
0.68,88.9,77.01,716.11,1242.23,2611.97
0.69,89.32,77.41,723.38,1265.75,2562.28
0.7,89.6,77.59,738.81,1315.9,2513.7
0.71,89.4,77.63,743.33,1381.97,2487.45
0.72,89,77.33,736.16,1438.22,2457.5
0.73,88.25,76.46,726.19,1515.25,2409.65
0.74,86.98,74.95,731.92,1561.38,2401.91
0.75,85.71,73.99,701.19,1588.96,2401.44
0.76,84.99,74.29,670.23,1661.16,2375.55
0.77,84.55,74.18,662.15,1697.51,2350.74
0.78,84.25,72.7,637.27,1677.92,2350.72
0.79,83.81,72.1,613.99,1691.55,2344.39
0.8,82.21,71.39,602.33,1694.31,2344.49
0.81,81.56,71.02,614.56,1669.53,2314.92
0.82,81.56,70.87,634.67,1673.72,2281.5
