time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,64.44,1275.77,2333.45,3793.79
0.04,0,62.24,1012.82,2147.6,3327.89
0.05,0,57.67,1225.68,2027.85,3145.73
0.06,0,56.87,988.61,1928.51,3148.82
0.07,0,60.55,2157.2,2423.32,3870.99
0.08,0,63.26,1608.34,2558.51,3465.58
0.09,0,63.19,2157.08,2817.13,3499.81
0.1,0,61.3,135.57,2339.41,3178.67
0.11,0,62.65,257.27,2397.39,3100
0.12,116.29,65.76,285.83,2387.25,3070.31
0.13,116.45,68.2,321.01,2379.77,3081.76
0.14,116.91,70.7,287.8,2424.66,3107.6
0.15,117.57,72.43,261.84,2428.31,3118.06
0.16,120.08,73.39,252.42,2411.89,3101.39
0.17,121.85,74.43,248.98,2397.79,3103.71
0.18,121.55,75.21,238.42,2412.33,3090.99
0.19,121.26,75.17,210.55,2397.97,3056.49
0.2,120.81,73.96,223.69,2383.41,2953.89
0.21,120.07,72.35,243.67,2356.13,2854.16
0.22,118.14,70.77,261.1,2448.7,3103.71
0.23,117.05,70.02,237.65,2630.36,3071.99
0.24,116.89,69.59,247.39,2555.47,3337.79
0.25,115.92,67.93,231.16,2341.49,3124.6
0.26,115.73,65.73,1031.66,1747.97,3113.38
0.27,118.17,66.09,925,2419.06,3270.9
0.28,120.98,69.68,270.32,1833.78,3114.21
0.29,122.22,73.23,294.17,1806.59,2441.15
0.3,122.7,75.2,285.26,1775.2,2224.46
0.31,122.71,76.05,284.09,1750.7,2081.92
0.32,122.37,76.31,277.76,1747.42,2605.23
0.33,121.73,76.19,350.62,1257.4,2348.15
0.34,120.75,75.56,229.16,1747.2,1901.2
0.35,119.3,74.76,967.82,1745.67,2752.24
0.36,117.98,74.93,302.11,1577.13,1989.4
0.37,117.03,75.32,331.47,1571.62,1797.9
0.38,115.66,75.03,328.06,1459.96,1835.62
0.39,113.07,73.66,336.91,1378.88,1863.25
0.4,0,71.52,338.69,1361.06,1613.2
0.41,0,69.57,267.72,1595.8,1679.05
0.42,0,68.78,293.58,1600.69,1688.48
0.43,96.84,68.66,256.3,1666.55,2616.55
0.44,97.24,67.87,257.93,1682.23,3265.57
0.45,96.87,65.89,262.1,1585.89,2201.51
0.46,0,65.44,256.92,1590.14,2191.46
0.47,0,67.52,1385.86,2420.83,3508.44
0.48,106.72,69.05,250.93,1815.79,2395.85
0.49,106.6,69.78,290.43,2107.32,2758.21
0.5,105.49,70.77,270.12,2183.18,2958.6
0.51,104.43,71.19,291.46,2176.87,3061.8
0.52,104.03,70.2,272.72,2177.34,3072.27
0.53,103.63,69.52,290.91,2205.44,3093.07
0.54,103.07,69.88,289.83,2197.21,3093.04
0.55,102.36,70.28,276.97,2259.12,3053.76
0.56,101.78,70.82,284.17,2260.74,3003.23
0.57,101.21,71.02,280.89,2251.17,2929.83
0.58,100.67,71.33,281.3,2184.01,2835.19
0.59,100.36,71.75,280.53,2137.51,2723.31
0.6,98.59,71.12,246.16,2071.25,2731.36
0.61,97.01,69.4,234,1964.34,2912.92
0.62,0,67.31,246.16,1996.67,2730.32
0.63,0,64.72,261.58,1992.01,2669.17
0.64,0,62.66,312.04,2039.03,2670.55
0.65,0,62.32,249.47,1830.1,2808.23
0.66,0,63.14,1512.82,2705.12,3616.21
0.67,0,66.09,1579.03,2046.02,3265.07
0.68,0,68,408.68,1783.94,2169.54
0.69,447.8,69.62,456.23,1702.52,2180.19
0.7,445.55,70.82,460.59,1724.16,2127.61
0.71,446.49,69.35,453.11,1698.54,2139
0.72,467.44,66.27,484.88,1651.98,2192.98
0.73,481.39,66.13,471.46,1727.97,2053.27
0.74,476.17,64.92,441.82,1732.32,2188.9
0.75,482.81,63.46,452.58,1846.38,1938.15
0.76,0,62.63,431.89,1665.1,2068.49
0.77,0,65.41,480.58,1617.76,1959.61
0.78,0,66.8,465.89,1602.78,1839.45
0.79,0,66.26,358.97,1570.63,1855.45
0.8,0,65.13,374.59,1654.87,1811.52
0.81,0,63.52,440.45,1659.8,1792.09
0.82,0,62.43,337.19,1565.4,1844.93
0.83,0,61.26,405.09,1669.9,1837.22
0.84,0,60.91,379.72,1661.41,2000.21
0.85,0,59.12,397.48,1470.24,2001.91
0.86,0,58.63,378.98,1464.01,1785.29
0.87,0,62.29,848.63,1621.38,2559.47
0.88,0,64.96,1633.13,1779.72,3486.73
0.89,0,65.09,1771.15,2113.14,3563.36
0.9,0,62.16,879.57,2004.99,3304.35
0.91,0,59.7,1006.5,2201.98,3263.45
0.92,0,60.56,1024.25,2345.97,3615.37
0.93,0,60.8,630.38,1802.67,3296.51
0.94,0,59.52,825.47,1739.48,2688.74
0.95,0,0,0,0,0
0.96,0,0,0,0,0
