time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1862.99,2638.1,3910.13
0.04,0,63.73,1960.52,2782.82,3959.03
0.05,0,63.83,1512.23,2692.46,3783.81
0.06,0,63.8,239.35,1792.3,2686.31
0.07,0,61.42,1266.29,2578.94,3832.61
0.08,0,63.16,1658.43,2746.04,4035.4
0.09,0,64.73,864.23,2198.18,3300.59
0.1,0,63.07,1074.92,2243.28,3520.17
0.11,0,59.81,1167.87,2296.55,3824.28
0.12,0,60.76,1313.69,2325.81,3610.48
0.13,0,65.88,105.72,1363,2315.32
0.14,0,69.45,166.11,1347.33,2273.33
0.15,0,70.69,196.19,1328.16,2271.83
0.16,0,70.68,206.11,1321.72,2275.38
0.17,112.67,70.88,230.53,1306.08,2259.78
0.18,113.58,70.74,206.87,1301.22,2261.67
0.19,113.8,71,356.01,1339.84,2442.63
0.2,113.36,72.5,515.16,1393.95,2521.23
0.21,113.1,73.29,575.46,1411.43,2530.94
0.22,113.1,73.08,627.17,1431.08,2584.22
0.23,113.07,73.53,643.15,1409.04,2644.46
0.24,113.08,74.2,643.5,1366.23,2677.13
0.25,113.28,74.55,621.99,1338.69,2699.95
0.26,113.44,74.24,618.73,1295.87,2707.31
0.27,113.27,73.67,621.49,1217.17,2736.76
0.28,112.91,73.65,597.02,1164.64,2742.42
0.29,112.57,74.07,566.25,1132.23,2737.85
0.3,112.22,74.44,552.16,1116.59,2743.1
0.31,111.76,74.47,532.5,1133.1,2722.12
0.32,110.89,74.92,531.43,1141.38,2751.25
0.33,109.68,75.48,547.7,1132.83,2817.77
0.34,108.54,75.57,558.91,1124,2775.5
0.35,107.6,75.2,580.37,1141.92,2735.19
0.36,106.24,74.21,605.15,1165.9,2702.1
0.37,105.17,73.73,635.06,1157.92,2706.98
0.38,104.11,74.43,658.04,1145.67,2674.77
0.39,103.06,74.81,662.24,1137.18,2638.69
0.4,102.04,74.81,632.11,1126.54,2597.27
0.41,100.93,74.42,599.78,1114.5,2567.32
0.42,99.4,74.04,583.87,1109.61,2537.03
0.43,98.33,73.7,580.64,1093.15,2530.28
0.44,96.47,73.28,550.87,1091.07,2513.51
0.45,94.08,73.63,617.58,1029.57,2484.21
0.46,92.98,75,567.41,1134.57,2493.47
0.47,92.56,75.08,597.57,1194.28,2459.23
0.48,91.16,74.94,623.2,1227.38,2469.25
0.49,90.12,75.22,693.91,1289.9,2493.74
0.5,0,75.77,697.7,1349.68,2503.3
0.51,348,75.89,696.52,1390.36,2495.07
0.52,349.66,74.36,701.07,1396.96,2499.92
0.53,351.81,71.19,709.74,1384.68,2553.19
0.54,352.69,71.37,722.02,1396.37,2500.5
0.55,0,71.44,720.33,1403.3,2540.27
0.56,0,72.43,731.31,1403.74,2514.07
0.57,0,70.9,693.44,1382.88,2507.26
0.58,0,71.14,735.6,1371.99,2511.47
0.59,0,70.19,706.25,1365.91,2513.41
0.6,0,66.18,662.57,1328.31,2540.61
0.61,0,65.93,636.17,1301.6,2597.39
0.62,0,69.43,747.11,1264.84,2587.49
0.63,0,69.69,712.98,1259.71,2561.14
0.64,0,65.73,645.09,1233.75,2551
0.65,0,60.68,662.85,1254.15,2643.53
0.66,0,58.98,657.22,1184.63,2622.48
0.67,0,59.95,630.74,1297.56,2612.55
0.68,0,61.15,596.69,1217.67,2570.22
0.69,0,65.21,346.52,1097.69,2494.88
0.7,0,68.58,1165.27,2467.6,3266.56
0.71,0,68.77,1149.67,2552.93,3379.87
0.72,0,65.65,226.53,1268.76,2509.54
0.73,0,63.28,201.57,1395.65,2596.28
0.74,56.2,61.71,193.62,1266.89,2648.5
0.75,61.8,60.91,1144.6,2473.68,3523.6
0.76,63.95,61.77,220.11,1377.64,2766.86
0.77,0,64.49,1078.71,2564.4,3525.38
0.78,0,64.71,1232.8,2572.6,3601.88
0.79,0,62.17,871.48,2467.21,3555.25
0.8,0,62.01,1258.88,2583.25,3847.24
0.81,0,65.12,1212.58,2572.07,3912.07
0.82,0,65.82,1371.69,2665.06,3811.41
0.83,0,65.18,1460.77,2682.89,3831.69
0.84,0,61.7,1056.3,2724.72,3687.67
0.85,0,61.47,1168.71,2556.26,3605.66
0.86,0,62.12,1171.37,2400.28,3614.36
0.87,0,60.19,1816.08,2316.4,3674.89
0.88,0,61.75,1207.11,2494.73,3716.29
0.89,50.1,61.18,628.88,2171.47,3506.18
0.9,0,0,1665.57,2697.95,3878.22
0.91,0,0,0,0,0
0.92,0,0,0,0,0
