time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,62.36,1229.99,2344.83,3788.87
0.04,0,62.11,608.15,1918.96,2958.17
0.05,0,60.08,1286.74,2390.9,3488.9
0.06,0,61.31,1871.63,3009.47,4347.73
0.07,0,61.16,624.62,1974.3,3145.34
0.08,0,58.44,1626.42,2725.59,3954.04
0.09,0,59.91,1830.43,2777.75,3958.27
0.1,0,63.92,1661.51,2536.25,3820.19
0.11,0,65.59,1614.98,2557.18,3977.83
0.12,0,63.85,95.21,1840.86,3029.75
0.13,0,64.14,1058.43,2293.59,3506.94
0.14,0,67.22,1742.51,2672.74,4349.5
0.15,0,68.78,1738.99,2897.53,4284.8
0.16,0,67.86,1213.56,2507.52,3786.54
0.17,0,64,1664.08,2310.08,3494.6
0.18,124.58,64.64,327.99,2020.51,2275.05
0.19,123.76,67.62,348.27,2034.5,2434.67
0.2,123.03,69.12,302.06,2138.61,2476.45
0.21,122.81,70.12,236.08,2176.58,2449.67
0.22,122.07,70.78,223.18,1687.11,2217.13
0.23,119.71,71.16,233.6,809.21,2210.58
0.24,116.62,70.59,261.54,1770.86,2953.61
0.25,0,68.31,337.53,2166.72,3246.67
0.26,0,66.28,161.77,2191.73,3072.2
0.27,0,65.16,475.28,2182.28,3214.72
0.28,0,62.89,432.42,2140,3248.32
0.29,0,61.52,263.8,2200.21,3210.29
0.3,0,62.53,1397.49,2156.35,2852.28
0.31,0,62.44,1225.69,2007.62,2525.1
0.32,0,60.77,1923.45,2494.86,3377.14
0.33,0,64.56,2321.41,2977.58,3695.76
0.34,129.06,72.51,346.95,2189.73,2593.45
0.35,125.49,75.47,382.91,2175.71,2571.81
0.36,123.1,75.43,343.64,2140.76,2568.69
0.37,123.5,75.35,347.9,2153.99,2579.57
0.38,121.72,75.31,394.97,2171.21,2588.39
0.39,120.28,74.61,360.86,2220.61,2601.41
0.4,119.76,73.84,345.41,2241.57,2630.31
0.41,118.51,73.14,358.45,2241.57,2568.35
0.42,117.56,72.29,323.35,1954.65,2307.51
0.43,115.58,71.46,488.19,1589.04,2573.35
0.44,112.83,71.44,291.37,1545.25,2268.59
0.45,110.01,71.85,1194.55,2192.4,3146.53
0.46,0,72.22,284.96,1655.75,2460.49
0.47,0,72.46,287.06,2229.84,2975.24
0.48,0,73.57,317.89,2235.85,2432.2
0.49,0,74.16,492.24,2110.4,2348.58
0.5,0,74.35,522.13,1914.89,2387.31
0.51,0,74.12,585.6,1894.31,2403.01
0.52,0,73.95,659.83,1855.96,2417.78
0.53,0,74.4,679.16,1805.39,2421.15
0.54,0,74.82,683.11,1793.24,2450.75
0.55,0,75.2,687.66,1752.37,2462.03
0.56,100,75.4,679.55,1678.8,2486.87
0.57,100.22,75.43,668.68,1527.04,2451.52
0.58,100.26,75.31,657.92,1432.59,2475.42
0.59,99.59,75.24,629.63,1366.34,2514.77
0.6,98.73,75.42,620.96,1312.61,2512.82
0.61,97.8,75.43,613.03,1268.52,2556.42
0.62,97,74.48,599.18,1172.51,2591.83
0.63,95.13,73.07,587.61,1092.27,2615.27
0.64,0,71.86,530.97,1034.04,2627.57
0.65,0,68.21,532.51,1144,2573.38
0.66,0,64.58,526.14,1338.66,2582.64
0.67,0,65.34,508.15,2133.38,3070.59
0.68,0,66.92,485.38,1230.35,2739.46
0.69,0,66.99,523.62,1070.94,2617.03
0.7,0,65.91,680.15,1918.7,3183.08
0.71,0,67.33,661.54,1527.75,3038.87
0.72,0,67.7,559.86,824.53,2809.1
0.73,0,66.88,926.42,2708.75,3594.33
0.74,0,69.46,677.27,1035.5,2662.73
0.75,0,72.64,623.7,1159.65,2655.85
0.76,0,73.58,653.78,1210.85,2640.31
0.77,90.07,73.23,678,1276.45,2630.62
0.78,90.1,73.5,715.46,1322.12,2633.47
0.79,89.95,74.74,719.43,1357.28,2626.72
0.8,88.76,75.42,711.55,1393.84,2611.11
0.81,0,75.13,710.35,1407.57,2601.56
0.82,0,74.04,746.62,1408.81,2589.01
0.83,0,73.47,739.69,1430.88,2563.49
0.84,355.2,73.21,738.73,1416.5,2550.82
0.85,354.41,73.53,729.98,1408.57,2542.86
