time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,68.2,376.17,2156.5,3099.67
0.04,0,67.29,535.18,2236.84,3139.03
0.05,0,65.55,1807.41,2671.07,4269.9
0.06,0,64.41,974.55,2255.14,3273.95
0.07,0,63.06,486.34,2201.86,3129.18
0.08,0,60.19,1320.7,2623.4,3784.23
0.09,0,60.49,299.54,1894.37,3101.54
0.1,0,64,1719.92,2963.8,3986.59
0.11,0,64.65,2194.85,3480.78,4111.98
0.12,0,62.69,2216.84,3463.31,4176.8
0.13,0,63.33,1049.44,2519.03,3315.3
0.14,51.1,64.31,1375.1,2674.18,3739.91
0.15,52.73,64.46,375.28,2382.85,3519.68
0.16,57,62.7,434.89,2110.62,3038
0.17,0,59.21,133.98,2136.14,3029.25
0.18,0,56.13,187.32,2105.65,3214.29
0.19,0,56.12,1113.71,2766.64,3588.09
0.2,0,56.43,404.37,2225.84,3247.21
0.21,0,60.41,543.92,2206.27,3352.18
0.22,0,66.99,166.15,2761.33,3555.06
0.23,181.03,73.28,299.74,2751.29,3165.44
0.24,179.72,77.4,324.34,2723.26,3613.24
0.25,185.65,80.07,342.14,2672.64,3327.15
0.26,189.4,82.39,314.82,2653.61,3425.15
0.27,200.83,84.46,302.5,2699.07,3497.69
0.28,205.11,85.3,276.12,2651.32,3517.85
0.29,207.11,85,285.54,2694.56,3514.31
0.3,210.05,83.62,299.51,2695.18,3406.79
0.31,212.64,82.47,299.57,2730.12,3252.48
0.32,213.88,83.03,298.28,2795.02,3233.44
0.33,213.49,83.02,286.04,2781.51,3138.93
0.34,210.36,80.9,276.5,2654.46,3117.68
0.35,196.47,80.66,333.79,2689.98,3239.6
0.36,192.11,83.1,250.74,2703.38,3488.97
0.37,189.39,82.31,233.76,2637.11,3482.5
0.38,179.06,77.97,428.64,2610.34,3429.13
0.39,167.02,76.26,373.5,2579.71,3243.51
0.4,158.1,77.67,273.15,1828.63,2652.85
0.41,145.46,78.22,257.86,1814.7,2351.04
0.42,141.66,81.82,311.79,1740.67,2294.49
0.43,135.48,84.56,307.93,1712.68,2198.32
0.44,133.68,85.72,319.21,1681.05,2122.87
0.45,132.84,86.58,376.6,1686.58,2015.32
0.46,129.44,87.38,403.93,1696.46,1940.07
0.47,124.5,87.47,406.71,1669.92,1839.13
0.48,121.15,86.82,420.38,1603.89,1804.06
0.49,119.74,86.34,416.23,1600.9,1780.27
0.5,118.94,85.44,408.58,1558.48,1773.25
0.51,118.2,84.3,413.25,1501.26,1717.54
0.52,117.77,84.37,412.92,1493.02,1700.97
0.53,117.73,84.96,378.36,1449.02,1685.79
0.54,117.89,84.8,376.26,1428.44,1667.1
0.55,118.04,84.36,391.09,1449.2,1627.41
0.56,117.78,83.83,371.8,1431.41,1465.9
0.57,112.42,82.28,347.13,1375.14,1536.29
0.58,111.04,80.8,298.42,1483.31,1603.38
0.59,114.36,80.03,303.26,1490.78,1633.11
0.6,115.52,79.11,269.67,1428.96,1785.86
0.61,112.68,77.19,267.2,1434.1,1776.99
0.62,112.28,74.88,319.79,1410.91,1688.62
0.63,114.15,72.87,344.43,1430.81,1695.86
0.64,115.89,71.64,335.33,1521.36,1651.87
0.65,0,70.62,305.87,1478.09,1771.83
0.66,0,70.6,386.56,1588.82,3053.47
0.67,0,75.92,1043.45,2495.91,3505.36
0.68,0,80.13,319.3,2096.33,2596.02
0.69,149.01,83.22,313.54,2249.05,2669.31
0.7,150.3,84.4,306.83,2380.32,2924.64
0.71,153.41,83.93,311.37,2409.91,3073.39
0.72,156.3,84.04,314.36,2470.22,3178.98
0.73,157.11,84.57,317.7,2504.66,3225.03
0.74,156.6,84.12,316.32,2519.23,3214.9
0.75,154.77,82.69,312.62,2514,3205.2
0.76,152.79,81.71,310,2494.04,3173.65
0.77,150.78,81.19,301.11,2465.07,3136.23
0.78,146.95,80.52,293.51,2473.02,3011.7
0.79,143,80.63,300.18,2353.57,2882
0.8,138.95,79.49,309.03,2178.92,2600.25
0.81,0,76.82,298.39,2015.24,2840.38
0.82,0,75.7,289.25,2193.22,2728.21
0.83,0,74.55,284.51,2156.08,2562.66
