time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,58.42,879.25,2197.07,3285.53
0.04,0,57.51,704.61,1936.31,2903.87
0.05,0,58.94,408.81,1979.36,2825.43
0.06,0,61.75,1848.56,2644.72,4149.95
0.07,0,62.94,779.41,1939.6,2923.49
0.08,0,61.45,215.72,1875.94,2877.14
0.09,0,58.48,188.28,1836.59,2833.21
0.1,0,57.11,167.65,2082.57,2371.16
0.11,0,57.71,406.5,2267.6,3199.83
0.12,0,59.86,184.48,1905.43,2832.83
0.13,0,63.92,176.16,1780.48,2674.54
0.14,0,67.38,275.94,868.91,2295.15
0.15,0,67.77,260.23,726.19,2253.19
0.16,0,66.34,252.3,988.25,2463.11
0.17,0,64.57,237.43,1935.68,3096.88
0.18,0,63.57,1581.52,2624.55,3226.46
0.19,0,65.45,722.04,1927.84,3178.71
0.2,0,68.89,574.13,2072.08,3159.94
0.21,129.91,76.51,358.54,2134.06,3148.88
0.22,129.13,81.46,414.6,2177.77,3026.03
0.23,127.41,83.52,472.23,2136.46,2858.56
0.24,126.53,85.34,509.47,2014.65,2681.73
0.25,126.68,86.07,542.58,1936.22,2721.93
0.26,127.16,86.36,591.52,1866.5,2711.67
0.27,127.62,87.46,637.72,1818.97,2634.08
0.28,128.46,88.24,673.7,1782.43,2699.36
0.29,129.95,88.63,696.64,1759.27,2692.04
0.3,131.34,88.96,691.83,1723.85,2734.95
0.31,132.29,89.02,682.26,1726.6,2721.28
0.32,133.19,88.65,682.22,1729.17,2704.51
0.33,0,88.13,689.58,1759.19,2688.03
0.34,0,87.8,686.23,1762.84,2715.34
0.35,0,87.21,656.74,1791.81,2782.55
0.36,0,85.8,626.83,1805.34,2904
0.37,164.98,83.03,581.81,1807.21,2885.98
0.38,166.39,79,544.45,1819.72,2801.17
0.39,0,74.86,602.25,1754.22,2725.36
0.4,0,72.05,628.13,1711.56,2582.29
0.41,0,70.49,607.61,1764.39,2619.28
0.42,0,70.17,629.69,1690.27,2610.33
0.43,0,69.16,634.72,1755.69,2595.68
0.44,0,68.17,612.66,1742.59,2614.32
0.45,0,66.4,573.8,1706.9,2587.13
0.46,0,67.99,629.94,1904.14,3116.18
0.47,0,72.62,552.78,2021.96,3189.66
0.48,0,74.02,554.17,2209.53,3395.02
0.49,0,72.98,631.93,2469.49,3332.38
0.5,0,71.65,697.58,2445.98,3344.52
0.51,0,70.25,494.29,2139.99,3119.01
0.52,0,68.65,639.9,2000.54,3058.66
0.53,0,66.7,423.22,1844.01,2996.86
0.54,0,65.63,452.26,1871.32,3005.11
0.55,0,65.22,456.87,1851.36,2944.46
0.56,0,64.27,451.68,1822.22,2960.04
0.57,0,61.69,538.12,1816.99,2957.63
0.58,0,59.07,499.54,1830.23,2924.16
0.59,0,56.71,539.4,1844.2,3002.68
0.6,0,58.87,390.99,1830.06,2972.96
0.61,0,60.53,416.01,2008.59,3267.7
0.62,0,60.3,403.63,1912.59,3256
0.63,0,59.62,453.48,1857.77,3034.42
0.64,0,58.83,421.47,1872.03,3191.1
0.65,0,57.94,1526.83,2833.67,3690.61
0.66,0,60.61,223.98,1790.11,2918.35
0.67,0,64.1,236.17,1857.78,2840.95
0.68,0,64.38,168.86,1847.56,2855.31
0.69,0,62.53,238.63,1812.99,2985.33
0.7,0,61.94,1748.46,2627.41,4083.96
0.71,0,65.31,1474.49,1680.55,3285.86
0.72,0,67.65,989.34,1517.92,3098.22
0.73,0,67.34,653.64,1525.61,3002.47
0.74,0,67.18,679.72,1597.57,2782.94
0.75,0,64.61,863.85,1629.18,2768.24
0.76,0,62.46,925.23,1610.44,2728.32
0.77,0,61.96,892.46,1639.06,2702.89
0.78,0,61.1,1075.42,1529.75,2636.85
0.79,0,67.86,686.95,1142.92,2543.46
0.8,0,77.67,557.82,953.84,2747.16
0.81,142.27,82.31,644.92,807.57,2913.65
0.82,140.19,83.1,598.02,706.39,2968.49
0.83,136.42,82.19,450.08,705.09,3029.45
0.84,134.31,81.9,282.49,762.91,3035.67
0.85,133.65,82.52,405.53,771.9,3038.75
0.86,132.94,82.87,388.45,768.7,3076.94
