time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,63.77,653.49,1908.57,3078.44
0.04,0,63.16,1426.58,2472.39,3693.91
0.05,0,62.06,582.31,2410.77,3684.11
0.06,0,59.97,648.71,1993.4,3045.95
0.07,0,62.45,1561.21,2458.63,3779.65
0.08,0,63.9,1610.94,2724.12,3999.05
0.09,0,62.97,1918.09,2853.84,4200.57
0.1,0,67.67,320.75,1754.3,2795.19
0.11,0,70.96,458.33,1761.56,2781.53
0.12,0,68.45,1408.25,2403.38,3743.38
0.13,0,64.59,1294.54,2449.02,3733.26
0.14,240.48,68.16,986.62,2037.16,3196.75
0.15,234.39,79.32,233.95,1207.67,2702.27
0.16,232.09,86.73,440.51,1096.43,2821.81
0.17,232.97,90.09,493.4,1329.68,2983.34
0.18,234.43,91.59,504.77,1602.46,2936.44
0.19,234.47,92.22,507.24,1646.36,2855.25
0.2,233.22,92.15,507.55,1717.77,3068
0.21,232.69,91.89,511.59,1753.57,3100.13
0.22,233.89,91.91,492.01,1566.5,3061.26
0.23,236.7,91.85,484.62,1517.33,3060.19
0.24,239.74,91.46,497.71,1576.01,3092.02
0.25,241.35,90.95,532.39,1497.68,3119.47
0.26,241.57,90.63,562.62,1467.4,3100.28
0.27,241.38,90.52,513.62,1582.83,3075.02
0.28,241.42,90.03,498.95,1588.75,3047.13
0.29,241.62,89.04,493.06,1706.52,3021.17
0.3,241.55,87.77,485.01,1844.99,2916.11
0.31,240.78,86.53,480.57,2088.74,2849.56
0.32,238.97,85.74,457.49,1317.02,2585.63
0.33,235.56,86.11,444.27,1942.14,2712.61
0.34,233.3,86.99,452.75,2308.69,2695.42
0.35,232.37,87.07,481.83,2339.27,2564.02
0.36,230.93,86.07,574.49,2363.51,2453.77
0.37,229.07,85,592.93,2358.18,2388.06
0.38,228.43,84.93,437.77,2337.47,2558.74
0.39,228.41,85.19,423.19,2141.63,2353.94
0.4,228.64,85.32,421.62,2208.18,2374.9
0.41,228.94,85.67,442.25,2018.63,2333.99
0.42,229.17,86.26,458.85,1874.48,2312.31
0.43,229.71,86.62,469.58,1858.9,2432.78
0.44,230.8,86.73,486.53,1861.35,2815.59
0.45,232.46,86.93,490.15,1749.25,3123.72
0.46,234.69,87.35,491.87,1601.17,3134.39
0.47,236.46,87.58,501.1,1495.61,3101.14
0.48,236.99,86.33,500.63,1345.15,3108.57
0.49,237.36,83.49,496.26,1193.96,2810.97
0.5,245.54,83.2,509.15,1122.52,2908.54
0.51,252.6,86.66,548.08,1226.86,2947.1
0.52,255.93,89.77,564.32,1566.58,3013.4
0.53,257.76,90.46,592.19,1601.94,3133.1
0.54,258.61,89.59,655.74,1428.25,3076.28
0.55,257.95,89.21,700.07,1459.32,3041.69
0.56,255.96,89.63,726.41,1573.25,3124.35
0.57,253.66,90.21,734.03,1644.77,3003.36
0.58,250.91,90.6,740.92,1713.36,2936.19
0.59,246.59,90.71,734.04,1781.14,2975.29
0.6,241.14,90.78,716.81,1758.52,2974.9
0.61,235.2,90.39,702.21,1751.02,2961.15
0.62,0,89.18,711.77,1703.72,2938.06
0.63,0,89,733.86,1753.67,2977.02
0.64,0,89.92,715.04,1801.32,3033.61
0.65,0,90.41,692.75,1834.3,3023.7
0.66,0,90.2,689.21,1854.39,2897.79
0.67,0,89.54,670.36,1884.71,2901.41
0.68,0,88.24,639.67,1904.74,2830.59
0.69,0,87.66,592.61,1978.19,2792.95
0.7,0,86.46,541.26,2056.24,2715.1
0.71,0,84.95,510.58,2060.16,2768.71
0.72,0,82.98,516.54,1955.72,2663.86
0.73,0,79.66,570.86,2056.7,2790.76
0.74,0,77.25,524.13,2073.96,2407.28
0.75,0,74.92,609.16,1939.52,2644.65
0.76,0,74.22,612.3,1970.6,2870.9
0.77,0,74.06,514.11,1865.07,2767.98
0.78,0,71.85,563.33,1855.51,2810.22
0.79,0,70.21,589.55,1882.34,2789.05
0.8,0,69.28,573.78,1926.95,2835.06
0.81,0,67,641.79,1960.64,2820.76
0.82,0,65.26,617.94,1969.94,2758.14
0.83,0,65.97,637.28,2002.31,2771.01
