time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,2329.98,3014.54,4321.44
0.04,0,61.02,1434.78,2575.75,4101.09
0.05,0,57.82,155.56,1573.92,2694.24
0.06,0,59.78,1734.09,3045.1,4344.95
0.07,0,63.71,640.77,2157.06,3482.63
0.08,0,64.33,1427.03,2653.93,3892.48
0.09,0,60.87,129.49,1847.64,3034.84
0.1,0,58.18,1582.24,3007.39,4284.95
0.11,0,58.14,545.9,2022.94,3053.7
0.12,0,59.18,73.18,1729.45,2876.05
0.13,0,61.24,1409.3,2683.78,4020.82
0.14,0,61.8,147.76,1936.63,2950.14
0.15,0,59.71,91.63,1911.01,3027.1
0.16,0,56.86,1770.54,2993.52,4204.29
0.17,160.62,64.65,792.17,1795.12,2864.22
0.18,156.94,75.45,451.19,1855.54,2889.72
0.19,155.7,81.82,444,1931.19,2901.48
0.2,155.15,84.33,447.19,2014.81,2911.41
0.21,154.54,84.43,433.48,2089.56,2901.44
0.22,154.14,83.95,401.88,2161.59,2887.17
0.23,154.01,83.48,389.11,2259.78,2901.01
0.24,154.17,82.21,421.09,2342.16,2930.05
0.25,154.44,80.02,426.44,2402.94,2944.15
0.26,154.55,78.06,403.87,2366.46,2939.65
0.27,154.34,77.09,419.74,2282.11,3003.39
0.28,153.71,75.03,423.43,2246.61,2973.69
0.29,153.14,71.42,391.74,2231.54,2932.76
0.3,153.81,68.65,361.02,2253.34,2666.47
0.31,154.06,67.57,358.26,2276.03,2715.55
0.32,153.82,66.61,406.85,2212.74,2915.03
0.33,154.08,66.23,421.08,2223.85,3049.35
0.34,0,67.34,480.21,2017.67,3097.4
0.35,0,67.25,529.43,1934.09,3101.87
0.36,191.51,69.89,463.53,2013.02,3201.63
0.37,185.14,75.86,327.09,2282.64,3016.61
0.38,183.05,79.14,364.39,2609.25,3124.47
0.39,182.83,80.46,390.43,2698.63,3093.77
0.4,182.04,80.64,442.04,2640.31,3061.31
0.41,181.13,80.09,474.83,2657.03,3037.73
0.42,180.57,78.97,529.8,2696.2,3047.5
0.43,180.35,77.26,717.13,2700.92,3021.65
0.44,180.48,76,832.31,2670.81,2834.43
0.45,181.42,76.62,788.93,2097.26,2858.56
0.46,182.94,77.58,762.43,2037.69,2810.16
0.47,184.26,77.99,713.35,2041.45,2809.81
0.48,185.2,78.41,584.62,2043.73,2748.28
0.49,185.81,79.01,536.98,2048.48,2837.72
0.5,186.42,79.26,606.04,2201.46,2840.14
0.51,183.05,79.13,489.69,2557.81,2925.49
0.52,180.81,77.83,485.19,2379.41,2897.84
0.53,181.09,75.82,522.22,2275.29,2887.89
0.54,182.45,74.12,477.61,1997.52,2844.78
0.55,180.54,71.72,486.98,1936.91,2795.23
0.56,179.87,69.15,585.86,1847.94,2746.53
0.57,180.61,65.44,569.37,1831.12,2692.17
0.58,182.51,61.52,564.1,2197,2800.11
0.59,184.33,61.9,611.76,2018.91,2706.72
0.6,0,65.54,521.66,1910.92,2756.99
0.61,0,72.65,758.09,1708.87,2673.33
0.62,0,76.81,786.85,1658.45,2657.81
0.63,123.71,79.5,764.32,1596.73,2668.84
0.64,123.72,81.13,784.31,1576.87,2527.63
0.65,123.62,81.2,737.84,1534.39,2414.02
0.66,123.36,81.44,725.56,1529.03,2631.17
0.67,122.72,81.85,720.31,1487.21,2615.69
0.68,122.13,81.79,718.65,1436.67,2560.85
0.69,121.72,81.94,718.15,1395.44,2542.83
0.7,121.45,82.32,726.25,1359.23,2617.9
0.71,121.61,82.84,712.18,1299.4,2646.95
0.72,121.96,83.33,698.85,1251.81,2691.5
0.73,122.1,83.6,688.06,1227.05,2737.8
0.74,122.17,83.69,679.93,1213.33,2780.62
0.75,122.37,83.71,677.29,1187.94,2781.78
0.76,122.77,83.69,676.92,1143.17,2832.42
0.77,123.39,83.54,671.04,1021.71,2845.67
0.78,124.17,83.01,645.17,1029.05,2834.52
0.79,125.28,82.03,613.41,1069.58,2851.48
0.8,126.67,81.22,561.68,1016.82,2821.29
0.81,127.98,80.95,571.04,955.41,2855.36
0.82,128.99,80.3,571.46,901.02,2873.2
