time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,178.25,1924.28,2906.76
0.04,0,58.63,1583.95,2861.52,4097.19
0.05,0,58.65,1966.46,3030.93,4349
0.06,0,58.85,500.43,2010.32,3189.63
0.07,0,60.28,1695.88,2623.61,3314.71
0.08,0,60.56,79.14,1757.55,2797.27
0.09,0,61.56,1579.5,2580.21,3789.41
0.1,0,62.28,90.78,1972.73,2885.91
0.11,0,61.35,1703.32,2822.9,3839.67
0.12,0,60.65,1778.82,2881.92,4056.78
0.13,0,61.38,1275.77,2661.08,3742.33
0.14,0,62.28,836.52,2383.84,3332.24
0.15,0,62.07,1572.26,2674.74,3555.08
0.16,0,62.31,703.03,1703.17,2813.66
0.17,0,66.36,634.54,1579.03,2679.51
0.18,0,75.54,631.71,1447.06,2599.87
0.19,145.17,80.63,658.63,1466.37,2528.19
0.2,144.94,81.3,625.48,1470.86,2427.47
0.21,136.66,79.49,546.56,1460.4,2479.2
0.22,124.64,76.61,453.98,1446.68,2617.15
0.23,117.71,74.68,457.49,1433.2,2748.46
0.24,114.16,73.09,475.41,1449.23,2808.51
0.25,113.35,69.15,621.67,1474.72,2817.33
0.26,113.33,65.1,520.83,1419.78,2535.37
0.27,0,64.49,599.5,1467.75,2758.94
0.28,0,63.94,625.54,1460.78,2690.89
0.29,0,63.08,527.82,1514.75,2715.73
0.3,0,65.92,1909.4,2302.93,3526.05
0.31,0,67.31,1725.75,2033.31,3239.12
0.32,0,65.55,620.55,2133.59,2643.05
0.33,0,63.69,423.7,2115.41,2655.29
0.34,172.42,68.11,428.11,2178.03,2706.75
0.35,168.46,77.05,292.5,2218.6,2743.3
0.36,166.06,81.85,310.72,2155.98,2758.11
0.37,165.06,83.48,325.11,2165.91,2743.94
0.38,165.37,84.03,327.02,2186.41,2773.41
0.39,166.59,84.25,327.35,2203.92,2805.56
0.4,167.57,83.87,326.15,2201.84,2806.68
0.41,168.25,83.15,326.67,2199.57,2774.84
0.42,168.32,82.34,329.36,2204.48,2725.53
0.43,167.11,81.71,326.58,2208.33,2659.35
0.44,164.83,81.24,325.76,2208.28,2558.82
0.45,164.08,79.69,327.8,2230.21,2842.94
0.46,165.62,76.67,335.96,2110.94,2896.27
0.47,318.07,74.56,335.85,2130.38,3229.6
0.48,333.69,74.17,333.47,2189.75,3296.96
0.49,332.73,73.83,333.68,2125.42,3457.97
0.5,334.2,72.78,332.96,2119.16,3368.98
0.51,336.58,71.35,337.78,2052.29,3231.64
0.52,331.9,70.33,338.76,2055.67,3452.24
0.53,330.14,69.61,338.31,1971.96,3548.79
0.54,337.52,68.83,340.62,1986.96,3709.29
0.55,336.99,67.56,348.48,2025.61,3768.65
0.56,336.29,66.32,362.84,2015.51,3491.11
0.57,337.51,66.02,360.02,2004.9,3171.96
0.58,338.49,67.29,357.21,1746.08,2779.07
0.59,335.35,66.67,344.3,1839.64,2674.26
0.6,334.61,64.84,351.55,1727,2759.43
0.61,0,65.43,376.74,1688.2,2708.33
0.62,0,67.21,465.68,1668.08,2707.34
0.63,0,68.38,474.13,1630.83,2685.73
0.64,0,69.15,428.26,1587.9,2460.79
0.65,0,69.52,403.7,1495.09,2430.64
0.66,0,70.66,282.83,1550.79,2514.16
0.67,0,69.58,199.34,1788.15,2507.47
0.68,0,66.43,1559.9,2545.93,4032.07
0.69,0,64.38,1857.37,3137.2,3682.42
0.7,371.44,62.58,1811.68,2219.12,3536.9
0.71,368.71,60.62,1872.54,3093.86,4178.09
0.72,366.64,61.75,1721.72,2664.98,4110.87
0.73,430.83,62.24,1686.35,2579.77,3923.25
0.74,439.24,62.73,1666.89,2319.38,3455.4
0.75,442.39,64.79,1999.98,2534.21,4232.78
0.76,0,63.94,1954.65,2594.45,4167.15
0.77,0,63.55,542.54,2010.13,3103.1
0.78,0,64.1,1735.2,2919.04,4102.51
0.79,0,64.18,1819.27,3015.12,4592.01
0.8,0,63.24,533.63,2340.98,2950.33
0.81,0,64.46,602.02,2290.33,2572.68
0.82,0,65.62,633.5,2447.17,2796.84
0.83,0,64.23,464.82,2422.39,2792.43
