time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1422.77,2646.47,3623.76
0.04,0,59.51,1775.04,2637.81,3694.87
0.05,0,61.1,1243.07,2581.72,3583.39
0.06,0,63.45,1511.4,2811.58,3953.29
0.07,0,63.41,1977.08,2735.89,3760.33
0.08,0,61.6,871.65,2396.28,3524.96
0.09,0,58.19,592.61,2180.42,2728.75
0.1,0,59.71,1760.37,3016.15,3634.89
0.11,0,63.93,1780.98,2962.26,4262.1
0.12,0,66.06,1876.04,2856.64,3711.08
0.13,0,65.26,572.9,2428.89,3172.62
0.14,0,61.87,159.7,2329.11,2959.05
0.15,169.41,64.8,133.42,2319.54,3070.31
0.16,164.32,73.71,242.22,2181.25,2905.32
0.17,159.32,77.75,295.13,2185.82,2922.33
0.18,157.45,79.53,306.94,2183.18,2962.49
0.19,157.39,80.9,307.32,2152.63,2857.65
0.2,158.91,81.87,308.11,2159.04,2857.94
0.21,161.83,82.68,314.89,2171.43,2890.76
0.22,165.72,83.53,322.19,2132.02,2772.62
0.23,169.26,84.33,330.48,2130.05,2761.87
0.24,172.04,84.4,335.56,2132.59,2798.66
0.25,175.99,82.9,332.17,2288.95,2450.19
0.26,182.01,82.08,320.58,2284.34,2348.7
0.27,186,82.94,331.66,2256.31,2351.31
0.28,188.07,82.17,279.85,2238.67,2494.63
0.29,187.07,80.94,221.46,2158.71,2918.26
0.3,182.98,80.08,235.45,2056.22,3095.77
0.31,178.21,78.63,235.35,2008.24,3129.34
0.32,174.02,75.68,311.92,2099.47,3067.76
0.33,172.17,71.92,338.85,1976.65,2777.5
0.34,173.56,71.95,1378.21,2318.22,3712.18
0.35,175.73,75.37,619.54,1898.91,2926.31
0.36,178.49,78.98,322.62,1786.75,3075.48
0.37,180.84,82.55,359.88,1829.2,3029.59
0.38,180.55,85,381.75,1694.57,3197.94
0.39,177.35,84.99,400.78,1559.46,3161.75
0.4,173.04,83.38,440.33,1562.65,3147.23
0.41,170.47,83.02,453.5,1440.35,3158.52
0.42,169.09,84.23,421.79,1411.1,3168.73
0.43,167.12,84.67,407.91,1380.17,3216.92
0.44,164.93,83.02,395.18,1297.78,1572.07
0.45,164.55,80.06,346.06,1409.35,2787.44
0.46,164.49,77.6,333.77,1182.87,1882.19
0.47,162.8,75.92,343.86,903.15,1470.28
0.48,163.87,76.17,327.53,1464.61,3207.96
0.49,165.1,75.38,327.38,1386.43,2398.15
0.5,164.1,73.98,333.87,1236.18,2255.65
0.51,160.08,73.22,342.83,1534.91,2798.08
0.52,150.58,75.2,358.35,1821.26,2773.79
0.53,143.34,79.31,343.49,1879.38,2256.1
0.54,141.29,80.55,354.82,1940.28,2282.97
0.55,141.34,80.56,331.34,1979.23,2372.96
0.56,141.69,80.45,309.96,2016.87,2491.76
0.57,141.65,80.79,310.41,2071.58,2598.05
0.58,141.57,80.66,300.83,2071.37,2663.75
0.59,142.07,80.14,302.48,2071.5,2637.29
0.6,142.83,79.98,307.81,2105.66,2632.56
0.61,143.12,80,319.04,2147.32,2681.9
0.62,142.86,79.83,342.08,2102.13,2618.22
0.63,142.3,79.54,351.68,2068.69,2543.98
0.64,141.45,79.4,362.79,2001.08,2400.65
0.65,140.1,78.9,381.45,1930.24,2345.27
0.66,137.53,77.23,370.69,1936.23,2368.83
0.67,133.11,74.73,345.75,1923.32,2611.95
0.68,131.51,73.21,352.59,2060.42,2701.25
0.69,131.39,71.74,322.46,2060,2728.06
0.7,130.13,69.81,299.89,2060.13,2600.41
0.71,0,69.07,470.22,2410.78,3006.54
0.72,0,67.66,470.52,2243,2795.3
0.73,0,64.76,236.48,2133,2652.63
0.74,0,66.67,491.41,2118.65,2631.67
0.75,0,72.45,393.58,1611.82,2419.59
0.76,0,76.8,478.88,1506.27,2030.67
0.77,111.42,77.83,471.09,1520.56,1878.16
0.78,108.83,76.67,489.26,1255.99,1807.55
0.79,106.37,75.44,489.11,1627.63,1856.73
0.8,104.94,74.61,518.75,1582.31,1761.09
0.81,104.13,74.52,533.09,1565.32,1956.13
0.82,104.07,74.33,536.35,1471.9,2000.25
