time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,61.37,2043.89,3225.32,4091.62
0.04,0,59.39,555.9,1935.06,3169.59
0.05,0,59.62,1190.39,2415.39,3497.22
0.06,0,63.66,147.9,1597.89,2944.83
0.07,0,66.34,1601.27,2725.91,3966.72
0.08,0,66.13,2084.57,3349.21,4462.68
0.09,0,65.91,1295.73,2580.75,3790.71
0.1,0,65.92,1220.3,2564.48,3723.38
0.11,0,65.55,1860.49,3076.27,4133.11
0.12,0,62.87,171,1891.45,2942.66
0.13,0,60.67,1551.48,2383.47,3820.42
0.14,0,62.59,449.49,2507.24,2930.36
0.15,0,67.99,431.65,2721.27,3061.37
0.16,0,76.17,327.02,2292.42,2741.83
0.17,152.55,81.9,402.05,2014.75,2663.29
0.18,152.74,85.32,464.14,1991.05,2555.16
0.19,153.35,86.35,528.07,2012.46,2552.98
0.2,155,85.01,597.38,1874.29,2452.97
0.21,158.96,83.33,620.27,1746.28,2373.35
0.22,164.56,81.48,611.94,1696.66,2312.65
0.23,170.09,78.41,591.2,1666.57,2370.68
0.24,0,76,601.2,1700.95,2401.43
0.25,0,74.48,565.22,1685.1,2382.43
0.26,0,71.47,510.85,1733.01,2309.66
0.27,0,68.56,576.77,1725.05,2312.49
0.28,0,68.13,527.52,1867.75,2602.91
0.29,463.4,67.21,477.63,1802.44,2333.66
0.3,466.03,67.6,475.15,1817.32,2516.74
0.31,469.68,68.88,529.61,1899.09,2695.91
0.32,473.95,67.14,488.82,1841.03,2765.47
0.33,0,65.16,530.09,1865.51,2629.92
0.34,0,66.03,565.48,1793.61,2625.36
0.35,0,66.43,603.92,1785.67,2305.77
0.36,0,65.19,511.74,1868.05,2825.59
0.37,0,65.19,499.27,1914.02,2886.66
0.38,0,66.9,1388.86,2452.79,3613.62
0.39,0,67.35,364.06,1803.89,2856.44
0.4,0,66.92,991.94,2133.14,3587.59
0.41,0,65.58,524.21,1057.71,2378.33
0.42,0,66.45,731.99,1067.78,2440.71
0.43,0,68.51,654.61,1143.62,2467.8
0.44,0,67.07,492.88,1094.32,2561.23
0.45,0,66.19,928.33,2101.16,2724.78
0.46,0,66.88,796.36,2135.08,2719.29
0.47,0,71.74,575.4,927.22,2744.81
0.48,141.27,77.9,492.27,713.84,2691.58
0.49,140.64,80.14,455.5,780.95,2800.01
0.5,138.46,79.99,433.95,743.71,2856.99
0.51,135.13,79.51,429.87,721.53,2902.53
0.52,132.35,80.09,414.44,705.35,2833.19
0.53,130.73,80.7,415.82,684.52,2920.32
0.54,129.82,80.25,419.83,674.26,2921.73
0.55,129.5,79.8,405.53,676.05,2787.62
0.56,129.22,80.02,410.16,710.91,2843.98
0.57,128.08,79.53,394.76,730.34,2920.76
0.58,125.78,77.63,408.51,682.52,2921.34
0.59,120.91,74.63,478.8,2169.5,3726.81
0.6,119.11,72.38,614.44,3144.46,3672.9
0.61,0,71.46,345.94,675.01,3108
0.62,0,68.99,313.57,809.49,3016.74
0.63,0,65.35,523.44,2286.32,3498.32
0.64,0,64.74,437.14,2114.33,3667.68
0.65,0,64.77,459.48,1934.68,3219.21
0.66,408.87,64.17,396.43,1779.62,2849.51
0.67,406.68,64.47,386,1882.08,3047.8
0.68,395.87,62.89,412.48,1770.03,2830.66
0.69,391.41,61.64,424.77,1813.97,2721.33
0.7,407.11,63.43,341.46,2198.44,2743.96
0.71,440.31,63.34,360.06,1924.64,2727.38
0.72,0,63.49,360.47,1903.18,2761.59
0.73,0,64.8,1961.48,2661.37,3918.3
0.74,0,64.85,355.44,1914.89,2610.51
0.75,0,61.35,163.39,2273.62,3035.46
0.76,0,61.01,406.68,2150.74,2832.58
0.77,0,69.38,372.16,2000.35,2669.69
0.78,0,76.45,330.3,2078.97,2622.88
0.79,137.86,78.46,342.81,2074.11,2677.48
0.8,134.04,78.02,342.92,2068.6,2697.42
0.81,130.17,77.68,325.94,2081.01,2738.34
0.82,126.46,76.87,337.85,2099.75,2794.54
0.83,123.01,75.84,295.73,2111.1,2850.48
0.84,122.07,75.81,282.61,2150.98,2868.16
0.85,122.58,75.19,268.21,2145.8,2855.73
