longest_time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0.01,13.491,166.97475,886.753125,1334.865375
0.02,35.3628,804.2356125,1673.51034375,2513.86295625
0.03,47.784915,866.274586875,1926.8725640625,2918.0786259375
0.04,54.28970325,858.82277278125,2127.61191023438,3107.05449426563
0.05,57.0472117875,530.485775029688,1984.94642562891,3086.11734684609
0.06,58.742716483125,478.681426266328,2042.4625340959,3124.23691576535
0.07,60.5144940657188,837.541159446481,2338.04726875274,3434.50317867094
0.08,62.7388467361453,982.648762695564,2425.67024781401,3502.84774826902
0.09,63.7496157048799,1054.16219448256,2468.54051129771,3553.46701154796
0.1,63.664288637684,930.037706965408,2388.97128121374,3495.60173135138
0.11,63.3552337507262,1047.60911383097,2386.03220466756,3492.93920224326
0.12,64.0560035628994,1080.64513760704,2341.95033756716,3564.92156123379
0.13,65.0995519595947,898.94745068387,2185.51781066194,3470.62785867859
0.14,66.3316285777771,976.794097876128,2133.86217086406,3609.40882227322
0.15,68.1770207177774,914.679878831871,1910.21344397524,3520.12260225027
0.16,69.7556113947776,637.688058357529,1662.46326918638,3359.87193123765
0.17,70.9545862671277,669.389182096641,1658.94504805251,3369.04093718071
0.18,72.3700224469202,699.091800153153,1645.43827642888,3430.59151544939
0.19,74.0417623458061,621.134115084234,1462.58155203588,3342.96008349716
0.2,75.8319692901934,571.097888296329,1364.89147861974,3301.02454592344
0.21,77.6063331096064,553.656838562981,1285.24531324086,3274.61537525789
0.22,79.2223582102835,557.738636209639,1235.55729728247,3247.12358139184
0.23,80.5982970156559,560.583249915302,1202.55551350536,3212.23909476551
0.24,81.6216883586108,561.980162453416,1180.17453242795,3182.24362712103
0.25,82.2981785972359,561.944089349379,1159.31049283537,3153.11236991657
0.26,82.8277482284798,570.255999142158,1152.16652105945,3110.70780345411
0.27,83.3417615256639,583.378674528187,1147.3080865827,3074.61654189976
0.28,83.4557188391151,588.703895990503,1141.88757262049,3055.92284804487
0.29,82.9637703615133,588.162142794777,1124.17441494127,3044.67044142468
0.3,82.1610736988323,584.629803537127,1137.9109282177,3028.66261778357
0.31,81.4102155343578,584.44201694542,1150.46888551973,3006.34593978097
0.32,80.9736185438968,585.415359319981,1149.84163703585,2987.73576687953
0.33,80.8347401991432,582.81757262599,1153.15965036972,2964.24992178374
0.34,80.7549821095288,582.822039944294,1164.51780770335,2940.16820698106
0.35,80.6211151602408,581.916621969362,1187.13129423684,2921.85063883958
0.36,80.3888633381325,571.063017083149,1224.13758683026,2902.04922636177
0.37,80.0957498359729,560.194159395732,1247.94367275664,2884.70769949897
0.38,79.5722874097851,548.459662667653,1270.78402001615,2876.72123472444
0.39,78.4800080753818,532.296939467209,1310.09196100888,2870.50730409844
0.4,77.04675444146,522.897816706965,1343.18520355489,2856.50114225414
0.41,75.641964942803,520.588049188831,1394.01598695519,2869.82850323978
0.42,74.2989557185417,506.134927053857,1435.24904282535,2867.03467678188
0.43,72.7851756451979,515.364459879621,1446.12147355394,2860.33094723003
0.44,70.8793466048589,527.032077933792,1473.35256045467,2877.28539597652
0.45,69.2810156326724,540.149767863586,1501.09953325007,2873.00234278709
0.46,68.2995585979698,551.396497324972,1610.33386828754,2871.3587885329
0.47,67.5808822288834,531.605948528735,1637.70562755815,2857.29458369309
0.48,66.7491102258859,604.657396690804,1639.04522015698,2866.2531460312
0.49,65.9608856242372,553.621818179942,1670.80949608634,2875.97735531716
0.5,64.9198620933305,545.796624998968,1779.02459784749,2885.18329542444
0.51,63.9569241513318,530.736643749433,1812.33265381612,2881.63131248344
0.52,63.4711832832325,514.057779062188,1835.09245959886,2864.94247186589
0.53,63.2715258057779,512.462403484203,1879.46810277938,2850.89348452624
0.54,63.3012141931778,488.759821916312,1974.33345652866,2886.92679148943
0.55,64.0116678062478,428.405902053972,2108.57815109076,2940.95973531919
0.56,65.4295422934363,426.237621129684,2247.26223309992,2993.78422942555
