time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0,21.24,768.67875,1277.908875,1635.386625
0.01,31.3243734375,915.020532421875,1620.82277683594,2159.51296957031
0.02,40.73698265625,1026.65731535156,1923.86077920703,2627.22387652734
0.03,46.007045859375,957.332315214844,2018.9744486543,2800.76857307227
0.04,50.555380921875,873.837375011719,2064.11067556523,2913.03532261758
0.05,53.2392516210937,760.484346811524,2003.93729141748,2896.18068384229
0.06,55.4193278542969,766.557505556543,2021.91289061476,2983.13010597982
0.07,56.8996895513672,900.587293171436,2123.61954339599,3181.29816480965
0.08,58.0278144733594,989.827772046152,2195.76553813025,3308.27078914223
0.09,58.8770852817481,1054.27416929684,2251.54759715993,3395.83165509239
0.1,59.3690214322705,1128.80556522616,2323.42267253231,3493.73998013818
0.11,59.7061125643843,1205.78617512029,2399.20605187363,3594.16125953577
0.12,59.7653440723063,1251.89988726732,2398.02467825114,3624.00573068648
0.13,59.7705473199689,1287.28254927016,2388.47369296261,3641.94491829243
0.14,59.8756416837752,1256.13991751314,2340.08760247898,3595.04447616957
0.15,60.0153892722371,1245.21696739495,2314.8820254469,3577.47585576519
0.16,60.40042583278,1284.43882774109,2347.16412177466,3632.65015322262
0.17,60.9026321671674,1253.0724319646,2310.20468145634,3592.54139043325
0.18,61.745696025466,1134.82818249872,2188.02488834286,3435.16116887859
0.19,62.6783135665324,960.532063813146,2037.62584530273,3215.48584892792
0.2,63.7478955635967,750.278142231914,1869.12388721531,2955.84763566661
0.21,64.7864379113675,600.97694530642,1744.63643650496,2777.15097255059
0.22,65.7979892597529,469.870591561743,1633.28764471313,2622.61596619437
0.23,66.6509902861282,397.905532252336,1563.47861409981,2533.85152448933
0.24,67.4274497777402,338.133541842642,1503.7167211872,2456.60986724259
0.25,68.1006334090524,355.507345147377,1512.78474702173,2445.04575645265
0.26,68.750211129439,362.591996642866,1509.45600342941,2428.85493203061
0.27,69.3309434384038,339.276881429221,1469.5004410759,2398.99427187739
0.28,69.9002357905889,326.709542087254,1440.41548311322,2383.17938195529
0.29,70.3907321135059,329.368218563499,1426.73054803754,2387.26266652726
0.3,70.868288050885,344.250439108387,1418.36583593402,2397.94485110218
0.31,71.3031407159893,368.178082264072,1413.9380888299,2413.51022167927
0.32,71.7464058418203,439.772900444081,1456.64117869817,2466.02401785842
0.33,72.2038669951277,528.498109648458,1516.28191310341,2531.81615448832
0.34,72.6141681968597,550.995586173828,1505.7036476042,2552.70123421711
0.35,72.9794530811787,565.643507716302,1486.73286759615,2568.37087508579
0.36,73.297944749395,576.881975531876,1463.00080330842,2583.48528786164
0.37,73.5913686232705,586.74557948454,1438.73811403475,2598.90153587979
0.38,73.8760131885344,591.688618033106,1412.57634586399,2615.39803634401
0.39,74.1583338191659,594.683462286313,1387.00009431851,2632.07033373869
0.4,74.3714112206959,594.490352238024,1362.3819608871,2649.03029883776
0.41,74.5701953468428,592.892108220871,1339.31534230172,2662.90986684486
0.42,74.6476456969838,590.098005506812,1317.5691618832,2674.1678203056
0.43,74.7042591173441,584.930091935723,1291.95518647711,2684.34548206558
0.44,74.6821552474217,578.750390130491,1264.69264271567,2694.06269162524
0.45,74.6609899210336,571.281326283107,1241.78342950824,2701.00064559063
0.46,74.6415765425763,563.694196053194,1219.62368553757,2707.48713124556
0.47,74.6556655301404,559.856906452424,1199.71373636224,2713.68515174673
0.48,74.7048522344888,555.8457856462,1180.64420711865,2720.60413262022
0.49,74.7731736476668,551.063288865776,1165.30404132222,2730.72237514586
0.5,74.8528341475584,547.143559904729,1153.1736523304,2739.54286586796
0.51,74.905448048941,544.863089800496,1147.14183926736,2745.89762816331
0.52,74.9498660113814,543.072232612226,1144.17197116005,2751.81314983714
0.53,74.9651864972909,541.759860773648,1144.19445835038,2757.29941363083
0.54,74.9785019285771,542.247337986644,1144.93651344611,2761.18832797392
0.55,75.0118930497153,543.634739725426,1146.03835249454,2764.2785675917
