time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0,13.257,784.695375,1317.61125,1784.01375
0.01,31.312929375,821.97987328125,1712.6727609375,2324.6730140625
0.02,42.9284548125,1006.07280342188,2027.44815890625,2761.49198109375
0.03,50.1904846265625,1158.27347412773,2231.97334836328,3016.39083338672
0.04,54.6346558209375,1197.10576163039,2340.76299513047,3167.42617181953
0.05,57.3780880847461,1140.83026890104,2391.86485238862,3327.28906237075
0.06,59.2965554209453,1147.25106709494,2418.08745350197,3442.67294776928
0.07,59.9898936672967,1277.83286877959,2554.94577096286,3569.07497735161
0.08,60.2418234566904,1397.97446411133,2681.9256033748,3716.76962682406
0.09,60.4581459367522,1383.92364615414,2694.18832690226,3754.45101229511
0.1,60.7436376847786,1344.80710912588,2648.64377207161,3762.63526766034
0.11,60.9817462136389,1478.46828817059,2678.52295789084,3911.6808050821
0.12,61.3259103463029,1161.32250992134,2447.05104845542,3599.23399834293
0.13,62.7639357083224,972.378830627485,2298.05416400128,3389.43470779151
0.14,64.8141926493981,755.751732564026,2143.19560074364,3170.08273032193
0.15,66.9470876125704,649.241850961865,2061.64712370762,3041.60503346594
0.16,68.7770109098845,670.039782894933,2055.35099185343,2998.28336620265
0.17,70.2333687793204,591.457460643463,1978.36673455472,2838.05459191822
0.18,72.268112107439,537.979640401859,1945.59095053101,2748.76700810063
0.19,74.6221405624776,637.44422812421,1996.89642363649,2759.86040798407
0.2,76.6737628937251,735.145825027568,2024.71563502701,2769.54902445703
0.21,78.2073641629481,753.532156022752,1991.90197537967,2724.45574723755
0.22,79.3625623038911,694.974518929187,1909.05398394697,2626.42547956306
0.23,80.7211333437629,678.398845843438,1831.04809489569,2562.73550981744
0.24,82.1429733844179,667.514493740562,1761.54903924861,2517.70162686992
0.25,83.2086639801214,667.201609903228,1688.08344587378,2485.83031518088
0.26,83.9080796793471,672.042304037031,1622.77407733845,2471.48261832082
0.27,84.3175074182952,677.681634163758,1568.01848800798,2469.10814262318
0.28,84.5496896821221,681.556999358932,1517.21003997639,2463.35316484346
0.29,84.660602200983,683.147154712855,1456.90813961908,2422.58052091871
0.3,84.6712976666736,689.241260717446,1408.75563599885,2401.44325121318
0.31,84.5281538612936,692.031240144802,1364.68541455146,2383.87529235034
0.32,84.2152548282542,689.483406229755,1327.91478392946,2379.21997871838
0.33,83.7494334555383,678.884318740178,1304.76261567058,2387.00259002924
0.34,83.1845347155452,656.452443979695,1298.10423384898,2392.41530421986
0.35,82.6957248555491,620.668143005309,1250.02717508537,2383.41308829493
0.36,82.2431389875516,601.888301266599,1242.21584898604,2380.05465708678
0.37,81.7865672112531,580.541197040402,1228.15994389007,2391.00060264875
0.38,81.2808131386441,560.001757486296,1188.9492652108,2405.32711726987
0.39,80.6883931836044,547.174977536455,1138.32033917388,2414.19904669561
0.4,79.991876527525,542.782449275495,1133.38262786501,2424.07055026604
0.41,79.2236204916813,513.692246231967,1143.92886477012,2431.18256785477
0.42,78.5471273912732,552.580023699327,1283.19387506797,2497.10152693477
0.43,78.1352838379169,589.19331549034,1375.37012582556,2551.34449410218
0.44,78.1425527483484,594.529233307827,1407.25267307505,2581.60140255213
0.45,78.5908652872134,575.371405265282,1431.91687950782,2603.87448334143
0.46,79.1343692735679,576.98468359139,1416.76028915839,2617.86023956341
0.47,79.4298099270543,568.938288295552,1444.97568728621,2620.77233520065
0.48,79.6036195270055,526.905761901212,1435.32667573192,2608.77979000278
0.49,79.5407997580221,498.869576194428,1396.25971915104,2605.92805213611
0.5,79.2130585769051,485.118315838755,1360.98955165723,2621.97331962388
0.51,78.691058289044,448.660821405066,1363.45495631102,2648.1771955026
0.52,78.0547719865264,430.39577424167,1349.22260246319,2654.39875169371
0.53,77.2419048695499,426.844423001982,1336.047735137,2659.64277145924
0.54,76.8785987055807,448.974809844074,1392.13068640559,2676.88243996782
0.55,77.2725323530999,468.398676620383,1446.38367938595,2691.22193591068
0.56,78.4040444799717,467.909650554588,1440.73811406186,2691.78923141148
0.57,79.8813571099062,459.982106557381,1384.64772729754,2683.67484862715
0.58,81.1001996362752,461.393098153409,1337.86638721237,2699.11721583036
0.59,81.9249615052083,462.059053923172,1285.32887972674,2695.70566232466
0.6,82.2968485157559,459.527225561583,1230.17455619267,2681.72193420594
0.61,82.144206887006,453.866578680981,1181.27058553835,2676.98336414832
0.62,81.4775308996904,445.319144566701,1141.4079658439,2687.33625609086
0.63,80.485196211744,431.797226421513,1092.94024686851,2672.87492156139
0.64,79.6351802967196,418.079181648771,1067.35277799148,2691.61598755387
0.65,79.183342566089,412.62034413364,1041.64808064415,2725.36737878694
0.66,79.1060597829402,412.399087348251,1022.53726461614,2754.83080918058
0.67,79.3398741662423,414.5523958889,999.886795901652,2772.84175645309
0.68,79.8017319360272,416.971426554944,956.211013570434,2781.82103669628
0.69,80.4094421650847,418.213879189999,894.320717719101,2785.54090855649
0.7,80.9170436640732,419.606180747076,854.107554261494,2794.99526465571
0.71,81.3452530255424,423.928725366809,817.334687577616,2798.02907878295
0.72,81.7442007447145,431.817226665,785.385169608775,2797.86336597789
0.73,82.1226200602094,443.76839647054,760.546850452424,2795.28590186883
0.74,82.4388588409542,460.531240051431,744.471037941012,2787.07038259741
0.75,82.6795128361417,484.89179530044,757.810957035027,2784.18284278739
0.76,82.9133307604394,508.400135136191,791.641752474963,2789.64518067757
0.77,83.1271612035505,528.543176665177,819.514538219364,2795.80870208339
0.78,83.3261428938726,545.747608452997,836.696073167624,2785.70647888676
0.79,83.5329609191859,561.571876482081,849.315381735529,2754.83704220771
0.8,83.789678160708,577.827538198257,871.180190588375,2726.54968937774
0.81,84.0181163935452,595.638242767154,902.955407332441,2695.10585782125
0.82,84.1911566392855,616.990761738897,931.400390412702,2660.00321256661
0.83,84.3366350629167,639.973326819472,962.739205610908,2619.3909873011
0.84,84.4299264983244,663.810501887903,1000.90621119716,2575.9441354798
0.85,84.4364059478746,686.092855088803,1047.71817496332,2533.6214609942
