time,pitch,intensity,formant1,formant2,formant3
?,0,0,0,0,0
?,0,0,0,0,0
?,0,0,1806.83,2407.67,3653.26
?,0,62.34,1131.88,2462.69,3766.28
?,0,64.52,1235.63,2510.89,3594.26
?,0,65.4,167.78,2422.27,3309.55
?,0,65.66,184.38,2311.01,3299.56
?,0,64.11,133.72,2330.49,3040.5
?,0,63.17,212.91,2344.43,3144.46
?,0,63.93,238.83,2316.28,3076.5
?,0,65.03,238.46,2326.89,3078.61
?,0,65.56,236.78,2341.48,3067.43
?,0,66.08,264.99,2354.05,3051.18
?,113.28,67.69,267.88,2374.02,3039.87
?,113.99,69.9,263.88,2383.75,3041.21
?,114.43,71.76,259.19,2401.76,3031.42
?,116.85,72.46,246.76,2396.86,3027.57
?,119.15,72.56,242.8,2390.87,3003.99
?,120.41,72.69,237.26,2390.64,2982.6
?,120.39,72.5,215.62,2398.01,2914.4
?,119.34,71.97,204.39,2366.37,2861.86
?,118.3,70.8,189.26,2354.95,2833.31
?,117.37,69.47,195.96,2387.26,3194.82
?,116.61,69.17,983.91,2262.85,3074.73
?,118.52,68.81,1052.52,2227.38,3190.91
?,121.28,69.64,2116.49,3236.12,4520.26
?,127.71,72.51,262.47,2023.93,3202.9
?,129.83,75.36,302.56,1924.2,2675.83
?,130.25,76.96,346.87,1891.1,2282.4
?,130.38,77.45,379.62,1842.07,2204.85
?,130.34,77.87,400.51,1831.92,2006.42
?,130.54,78.22,401.23,1768.26,1975.11
?,130.56,78.14,396.18,1679.82,1986.73
?,129.85,77.53,396.67,1650.01,1970.79
?,128.43,76.32,388.67,1602.2,1901.05
?,127.32,75.39,351.85,1555.2,1826.48
?,126.33,75.72,343.24,1511.64,1810.09
?,125.4,76.79,358.84,1531.37,1784.97
?,123.55,77.04,347.09,1488.61,1785.56
?,122.27,75.9,307.16,1431.42,1706.85
?,122.39,74.31,330.49,1344.58,1688.5
?,121.05,72.75,364.72,1546.85,1652.36
?,98.94,70.76,364.6,1558.57,1618.27
?,94.67,68.88,362.98,1537.58,1654.03
?,0,67.93,302.21,1561.74,1603.21
?,0,68.65,255.07,1407.07,1669.08
?,0,68.31,282.82,1635.04,2135.29
?,0,66.89,214.99,1594.76,2339.54
?,0,67.77,1419.89,2447.83,3557.42
?,0,70.93,800.84,2109.54,2740.99
?,108.4,73.49,303.46,2156.35,2631.21
?,107.14,74.3,299.77,2210.27,2822.38
?,106.31,74.12,294.7,2262.52,2931.55
?,105.98,73.57,308.37,2276.29,2995.37
?,106,73.13,298.33,2251.4,3024.3
?,106.23,73.15,315.77,2249.79,3001.48
?,106.13,73.54,314.93,2252.75,2955.29
?,106.14,74.09,310.89,2241.01,2926.19
?,106.2,74.39,317.41,2274.84,2833.26
?,106.08,74.66,321.41,2212.88,2675.49
?,105.52,74.44,333.61,2120.66,2573.04
?,104.85,73.02,355.47,2018.92,2424.39
?,101.16,70.83,382.89,1953.75,2404.33
?,96.86,70.09,1371.65,2179.12,2984.36
?,96.08,70.01,1981.09,2132.04,3209.92
?,91.2,68.62,694.17,1793.98,2614.33
?,90.81,67.66,261.48,1590.26,2158.32
?,0,69.27,409.82,1608.4,2148.58
?,480.22,69.57,494.75,1578.64,2076.1
?,475.51,70.21,501.29,1628.96,2065.84
?,470.17,71.46,482.01,1647.84,1994.62
?,466.63,71.51,485.85,1663.95,2064.83
?,480.21,70.78,482.18,1601.47,2090.87
?,491.01,70,505.14,1575.64,2028.42
?,488.2,70.05,476.75,1571.26,1901.48
?,482.85,68.54,467.47,1642.17,1855.78
?,483.88,66.15,483.62,1653.01,1909.69
?,0,64.9,509.88,1620.06,2237.42
?,0,64.76,510.08,1579.27,2092.06
?,490.83,65.97,476.98,1615.05,1967.97
?,498.59,67.25,467.94,1638.97,1989.83
?,0,67.57,477.64,1658.37,1960.13
?,0,66.09,466.89,1735.74,1843.97
?,0,62.44,484.04,1663.69,2033.86
?,0,57.32,481.82,1591.32,2100.66
?,0,56.17,487.47,1731.85,1883.75
?,0,58.14,377.59,1640.43,1960.13
?,0,57.32,445.87,1599.2,2194.5
?,0,54.56,420.64,1653.77,2080.26
?,0,55.93,394.85,1680.63,2163.38
?,0,58.83,444.77,1809.16,3233.4
?,0,59.76,1303.48,1724.14,3269.12
?,0,61.16,117.3,1625.6,3248.54
?,0,60.83,227.86,1631.69,2994.07
?,0,57.22,310.43,1685.76,2414.26
?,0,58.23,203.93,1614.01,2644.16
?,0,62.49,73.64,1614.97,3120.68
?,0,63.36,140.69,1628.98,2955.57
?,0,0,0,0,0
?,0,0,0,0,0
?,0,0,0,0,0
