time,pitch,intensity,formant1,formant2,formant3
?,0,0,0,0,0
?,0,0,0,0,0
?,0,60.02,1085.71,2476.64,3523.47
?,0,61.13,800.57,2129.62,3203.86
?,0,62.35,614.17,2152.91,3143.57
?,0,63.05,562.65,2022.78,2990.73
?,0,64.51,1648.74,2670.38,3881.31
?,0,63.96,1844.56,2740.62,3472.52
?,0,62.36,471.64,2011.19,2780.02
?,0,63.44,1140.4,2393.28,3546.43
?,0,64.13,1473.86,2491.34,3935.59
?,0,62.26,1906.23,2706.26,4019.84
?,0,62.38,852.79,2077.59,2886.16
?,0,63.2,1590.28,2684.08,3821.35
?,0,62.79,1336.45,2610.06,3735.71
?,0,62.87,1136.28,2780.23,3887.09
?,0,66.93,384.79,2372.27,3694.37
?,0,71.28,536.72,2224.03,3099.79
?,0,73.04,517.02,2733.53,3264
?,111.5,73.54,511.01,2787.05,3398.26
?,111.68,74.17,491.11,735,2766.68
?,112.76,75.19,495.86,1023.72,2775.45
?,113.22,76.35,522.16,1058.53,2753.32
?,113.66,77.32,561.29,1045.07,2756.95
?,114.6,77.64,586.47,1088.8,2746.62
?,115.7,77.37,573.32,1134.75,2739.92
?,117.93,77.02,581.49,1179.81,2742.1
?,118.83,76.98,557.39,1152.52,2720.68
?,121.33,76.74,505.41,1077.87,2697.15
?,123.75,76.53,413.68,1044.12,2717.68
?,126.5,76.92,428.48,1011.65,2683.11
?,128.12,77.14,402.45,994.79,2696.49
?,130.21,76.95,429.04,1029.97,2639.17
?,134.75,76.93,427.43,1073.69,2651.42
?,135.51,78.11,430.79,1068.89,2627.45
?,135.79,78.75,420.21,1122.49,2607.11
?,137.01,78.68,441.29,1131.12,2581.9
?,137.29,78.07,446.36,1134.26,2564.62
?,136.6,77.46,442.67,1184.16,2539.86
?,134.79,76.04,467.62,1215.79,2489.17
?,131.66,73.41,396.71,1218.41,2492.06
?,130.73,71.02,1244.32,2473.38,3355.89
?,0,69.69,1132.36,2579.41,3642.3
?,0,68.75,442.87,1493.69,2651.16
?,405.94,67.41,539.67,2329.9,3147.24
?,432.04,65.31,607.83,2226.84,3400.36
?,445.88,65.3,526.18,2182.2,3356.5
?,423.59,65.51,478.48,2314.26,3397.12
?,459.64,64.68,493.83,2357.9,3421.29
?,481.38,63.85,447.57,2210.94,3037.81
?,493.58,65.25,642.6,2459.83,3407.54
?,495.35,64.81,509.9,2457.24,3257.54
?,0,67.08,348.13,2484.1,3265.47
?,132.39,71.2,294.72,2206.8,2915.45
?,132.18,72.63,276.83,2219.19,2981.6
?,131.71,73.06,280.2,2195.8,2954.63
?,130.11,73.22,258.17,2194.33,2894.72
?,128.44,73.3,203.82,2242.06,2879.09
?,126.58,73.73,224.94,2246.65,2841.53
?,123.83,74.32,272.19,2176.73,2779.42
?,123.25,74.88,285.84,2163.53,2669.58
?,120.04,74.99,274.28,2164.06,2553.34
?,111.73,74.92,299.2,2147.13,2518.46
?,110.99,75.38,332.68,2071.34,2445.88
?,104.6,75.56,317.17,2084.73,2438.53
?,104.14,74.69,319.42,2040.43,2473.59
?,99.61,72.38,309.92,1985.92,2405.53
?,97.27,70.84,289.98,2044.87,2496.28
?,96.89,71.86,263.68,2048.14,2498.76
?,95.63,72.18,269.54,2075.34,2515.24
?,91.4,71.2,278.24,1972.82,2396.31
?,90.8,70.63,277.03,2179.87,2336.34
?,92.61,68.5,296.04,2208.78,2497.52
?,0,64.86,318.14,1919.89,2548.19
?,0,65.86,339.1,2066.55,2508.1
?,0,66.44,324.67,2025.03,2497.23
?,0,65.52,321.52,1888.43,2534.85
?,0,66.77,312.03,1799.02,2535.15
?,0,66.03,321.64,1769.39,2578.04
?,0,64.32,309.73,1697.27,2588.65
?,0,63.94,278.98,1720.63,2641
?,0,64.36,270.34,2113.68,2930.05
?,0,63.4,750.24,2441,3406.69
?,0,61.7,284.63,2114.38,3302.72
?,0,62.66,177.59,2246.24,3526.5
?,0,63.67,181.1,2137.66,3525.42
?,0,62.34,270.05,2421.35,3587.34
?,0,60.79,1125.93,2679.04,3787.05
?,0,59.78,1911.53,3231.65,4284.27
?,0,60.47,1427.42,3158.53,4072.49
?,0,63.02,1446.63,2903.18,3957.9
?,0,63.24,1559.42,3204.42,4168.71
?,0,64.8,1543.13,3293.7,3810.37
?,497.34,66.22,2558.74,3704.3,4455.53
?,498.94,65.49,1961.56,3599.01,4172.22
?,0,62.75,1959.39,3556.33,4016.25
?,0,61.13,2442.61,3771.13,4148.83
?,0,61.04,2277.8,3680.23,4055.87
?,0,60.39,2233.66,3449.39,4077.2
?,0,60.62,1766.01,3411.24,4085.37
?,0,62.84,1732.75,3326.24,3917.2
?,0,64.4,2506.47,3356.13,4325.7
?,0,64.31,2371.32,3197.15,4051.13
?,0,63.5,2380.59,3225.49,3965.89
?,0,65.06,1677.25,3091.17,3879.07
?,0,64.79,1456.79,3259.41,4253.06
?,0,61.44,1089.03,2623.1,3549.38
?,0,59.18,1294.92,2974.74,3672.49
?,0,60.01,1041.43,2430.03,3619.58
?,0,60.09,792.39,2176.8,3569.2
?,0,59.64,532.51,2292.68,3502.1
?,0,60.4,1876.48,2850.85,4102.48
?,0,62.8,984.81,2368.09,3539.47
?,0,64.99,1676.96,3444.19,4435.7
?,0,65.31,2077.1,3443.73,4339.49
?,0,63.96,2316.54,3539.84,4363.46
?,0,60.25,1200.24,2356.56,3982.5
?,0,62.9,2065.67,3081.81,4349.52
?,0,62.55,333.04,2240.55,3625.49
?,0,61.81,584.96,2184.91,3553.25
?,0,64.36,1908.98,3058.62,4183.3
?,0,0,0,0,0
?,0,0,0,0,0
?,0,0,0,0,0
