time,pitch,intensity,formant1,formant2,formant3
?,0,0,0,0,0
?,0,0,0,0,0
?,0,57.21,1297.45,2345.69,3906.56
?,0,57.75,1380.02,2382.07,3908.67
?,0,60.1,1991.39,3053.38,4288.83
?,450.75,62.31,1858.75,2381.92,3911.12
?,450.19,64.39,868.92,1999.71,2397.43
?,464.04,65.74,1630.74,2338.47,3500.92
?,471.55,65.23,1627.15,2373.62,3278.24
?,0,62.62,1765.52,2365.45,3225.69
?,0,66.04,475.2,1942.9,2497.2
?,0,73.53,551.77,1830.7,2445.78
?,119.71,77.31,578.14,1825.7,2424.75
?,120.97,78.68,604.32,1791.03,2438.97
?,121.23,79.26,606.91,1801.52,2484.96
?,121.02,78.89,595.75,1775.02,2476.87
?,120.81,77.18,548.73,1720.95,2491.18
?,115.14,73.69,436.88,1775.61,2545.31
?,114.14,69.29,429.97,1716.61,2562.9
?,119.19,65.88,483.01,1762.12,2644.92
?,119.95,64.66,489.45,1709.1,2683.24
?,119.67,64.26,531.49,2171.97,2571.29
?,0,64.63,480.56,2077.47,3136.26
?,0,66.22,509.64,2408.33,3605.89
?,0,67.34,553.83,2373.47,3254.72
?,0,67.06,586.69,2271,3395.66
?,0,66.2,533.04,2415.05,3508.04
?,0,65.33,1512.14,2744.55,4173.94
?,0,63.29,1607.36,3227.13,4318.44
?,0,60.06,287.92,1884.14,3288.24
?,0,60.05,467.98,2030.56,3412.74
?,0,61.51,415.77,2035.2,3380.87
?,0,61.63,1650,2347.23,3478.08
?,0,64.86,1632.91,2107.12,3381.76
?,119.64,69.66,1342.26,2458.93,3444.47
?,114.37,71.94,1299.62,2478.01,3334.98
?,112.11,72.63,1319.09,2730.93,3358.76
?,112.06,72.66,1217.98,2326.55,3569.96
?,111.41,72.78,1257.11,2293.63,3740.46
?,110.26,73.31,206.36,1343.71,2275.8
?,108.57,73.19,234.29,1368.63,2277.34
?,107.26,72.73,227.17,1394.79,2272.44
?,105.86,72.32,224.79,1471.04,2295.58
?,104.92,71.53,234.65,1516.98,2312.14
?,104.18,70.17,237.28,1581.15,2353.1
?,103.44,68.53,263.25,1585.04,2454.83
?,101.05,66.99,304.46,1674.13,2620.1
?,100.23,67.82,284.52,1720.94,2788.76
?,99.8,69.6,210.35,1706.39,2735.44
?,99,71.08,142.18,2238.01,3679.66
?,97.77,71.24,220.14,2181.14,3633.71
?,94.75,70.16,197.17,1938.71,2951.37
?,92.86,69.03,206.85,1984.96,3218.33
?,93.79,68.17,256.21,2170.63,3394.85
?,94.28,68.28,267.72,2388.61,3543.6
?,96.41,69.57,279.43,2098.67,2604.36
?,97.23,71.21,279.97,2092.05,2586.86
?,97.19,72.37,270.74,2163.06,2603
?,96.71,72.92,258.92,2205.47,2661.43
?,96.55,72.93,253.57,2205.85,2716.24
?,96.26,73.16,252.73,2252.81,2762.09
?,95.44,73.67,246.43,2272.51,2759.49
?,95.44,73.72,246.27,2276.97,2753.06
?,93.3,73.42,252.49,2274.5,2744.43
?,91.75,72.48,255.52,2321.81,2751.85
?,91.06,70.45,258.54,2297.82,2796.04
?,90.38,68.29,261.75,2282.04,2770.03
?,0,68.63,234.71,2263.83,2740.59
?,0,68.41,284.35,2272.26,2752.72
?,0,66.12,310.9,2311.67,2721.06
?,0,65.06,307.51,2280.4,2708.23
?,0,65.33,307.6,2275.87,2634.71
?,0,66.72,301.91,2209.46,2592.53
?,0,66.59,312.37,2158.88,2570.56
?,0,64.89,259.73,2164.46,2561.14
?,0,63.9,235.22,2093.51,2520.76
?,0,63.38,253.65,1951.51,2535.01
?,0,62.8,268.35,1908.69,2526.22
?,0,61.62,276.59,1874.84,2484.3
?,0,61.72,272.09,1844.64,2504.45
?,0,63.05,265.18,1807.62,2535.59
?,0,62.84,278.32,1839.44,2548.37
?,0,62.94,256.45,1992.28,2523.86
?,0,63.24,278.43,2113.41,2870.1
?,0,63.64,279.31,2250.07,2887.24
?,0,63.04,253.11,2151.73,3060.08
?,0,63.16,189.34,1930.59,3399.74
?,444.24,62.82,2120.9,3494.63,4666.52
?,402.92,60.22,1983.63,3497.83,4783.93
?,387.81,61.58,1746.59,3205.08,3536.7
?,461.54,63.75,1771.83,3366.04,4318.36
?,487.91,65.4,1989.49,3655.77,4689.31
?,487.25,66.03,1526.02,2722.83,3650.3
?,484.93,65.3,1708.11,2543.93,3552.96
?,415.82,63.49,1923.02,3511.65,4679.53
?,462.33,60.05,2064.2,3439.87,4747.48
?,487.21,60.34,1810.11,3254.27,4671.61
?,0,62.01,1705.91,3510.18,3574.31
?,0,60.05,1628.59,2952.58,3486.71
?,0,57.05,1691.76,3393.69,4161.46
?,0,57.94,1801,3220,3960.08
?,0,61.5,1782.81,3193.77,3879.46
?,0,64.01,1721.48,3163.8,4231.61
?,0,66.03,1912.33,3201.83,4445.53
?,0,66.13,1442.63,3257.89,4703.74
?,0,65.26,419.83,2132.53,3299.54
?,0,63.17,138.81,1846.9,2952.5
?,0,61.18,166.89,2144.34,3333.39
?,0,62.36,1977.93,3091.55,4363.21
?,0,64.28,509.67,2436.66,3602.59
?,0,63.76,2340.93,3682.67,5104.81
?,0,62.49,722.32,2203.86,3142.79
?,0,0,1913.83,2799.23,4157.02
?,0,0,0,0,0
?,0,0,0,0,0
?,?,?,?,?,?
