time,pitch,intensity,formant1,formant2,formant3
?,0,0,0,0,0
?,0,0,0,0,0
?,0,0,1413.03,2176.58,3192.91
?,0,63.69,1702.87,2744.86,2826.29
?,0,64.44,1414.74,2245.94,3438.48
?,0,64.64,1526.9,2419.2,3387.56
?,0,66.11,1633.59,2407.73,3496.75
?,0,65.55,1630.37,2372.6,3288.58
?,0,63.92,1615.5,2421.34,3369.49
?,0,62.94,1658.01,2408.46,3513.53
?,0,62.74,1708.68,2466.27,3379.73
?,0,62.65,1662.2,2451.95,3342.53
?,0,63.88,1655.83,2379.31,3353.58
?,0,64.76,1192.67,2168.21,3204.55
?,0,67.48,363.26,1741.78,2399.57
?,113.89,72.9,536.54,1700.82,2297.59
?,116.01,74.94,552.53,1721.69,2316.39
?,116.64,76.13,574.15,1732.43,2320.69
?,116.06,77.18,585.07,1771.56,2326.97
?,115.56,77.73,589.31,1772.39,2305.16
?,115.24,78.14,576.82,1734.07,2274.15
?,115.44,78.35,574.31,1701.7,2230.37
?,115.15,78.54,564.31,1682.89,2230.73
?,115,78.81,558.38,1711.42,2144.88
?,115.41,78.94,552.49,1665.59,2105.26
?,115.84,78.85,543.25,1652.24,2025.41
?,116.2,78.46,523.71,1625.52,1980.96
?,117.08,78.13,512.7,1570.49,1949.55
?,117.56,78.16,498.63,1548.34,1946.14
?,117.76,78.1,492.69,1590.46,1882.81
?,118.22,77.32,509.01,1607.05,1873.45
?,117.73,76.61,556.87,1653.26,1830.71
?,117.49,76.58,560.7,1670.35,1905.14
?,117.13,76.52,528.73,1697.47,1913.41
?,117.02,76.08,491.59,1679.61,2089.59
?,116.65,75.54,451.76,1704.15,2288.74
?,116.76,75.23,414.53,1757.23,2492.54
?,116.63,74.85,377.58,1718.13,2576.53
?,115.69,74.22,331.44,1662.81,2584.16
?,116.55,73.69,287.66,1658.34,2914.82
?,116.38,73.8,276.15,1645.77,2609.61
?,116.35,73.78,299.06,1667.56,2626.44
?,115.05,73.26,282.73,1680.77,2507
?,113.04,72.51,247.76,1609.8,2508.63
?,112.02,71.49,231.41,1590.6,2537.67
?,110.71,70.38,296.57,1604.9,2769.24
?,0,68.62,304.45,1659.55,3005.53
?,0,66.44,371.58,1828.29,3403.35
?,0,65.61,170.61,1829.98,3443.1
?,0,66.06,1783.21,3412.24,4358.04
?,0,66.67,1948.06,3747.89,4482.52
?,0,66.53,1880.38,3584.62,4544.51
?,0,66.02,1630.06,3467.88,4158.72
?,0,64.17,1491.02,3295.2,4199.2
?,0,61.02,461.69,1786.42,3306.92
?,0,59.76,1515.23,3299.71,4073.32
?,0,59.54,1528.09,3202.22,4202.13
?,0,57.31,1591.46,3298.58,4310.6
?,0,58.32,213.76,1605.87,3285.43
?,0,61.24,934.07,1289.13,2638.7
?,0,63,873.08,1091.72,2646.28
?,0,63.68,945.21,2073.54,4017.89
?,0,67.07,483.77,1130.59,2993.97
?,0,71.45,742.97,1756.53,3064.68
?,0,71.98,1003.47,1992.87,3105.47
?,0,72.49,1163.57,2048.48,3131.83
?,0,73.89,588.93,1438.88,2249.45
?,0,73.91,605.22,1525.75,2208.15
?,0,73.28,605.51,1615.08,2162.36
?,0,73.32,600.97,1656.28,2179.35
?,0,73.34,613.32,1617.5,2123.58
?,0,72.5,611.6,1617.97,2176.17
?,0,70.45,620.37,1710.45,2170.07
?,0,68.89,611.89,1740.9,2151.92
?,0,68.54,626.54,1719.62,2058.88
?,0,66.3,597.28,1874.53,2229.1
?,0,66.33,714.55,1801.2,2150.38
?,0,66.37,616.6,1743.8,2241.52
?,0,63.98,603.26,1786.4,2204.56
?,0,62.87,562.15,1693.15,2298.19
?,0,63.94,615.14,1691.99,2074.06
?,0,63.08,596.55,1800.86,2036.53
?,0,61.96,523.41,1658.59,2492.81
?,0,62.8,599.58,1659.34,2084.17
?,0,64.22,544.52,1638.83,1936.33
?,0,62.89,601.92,1726.21,1889.92
?,0,62.57,589.01,1708.45,1740.57
?,0,63.03,185.16,1627.08,1737.73
?,0,63.94,333.61,1641.96,1755.75
?,0,66.27,1570.74,1642.42,3352.02
?,0,68.07,1485.88,1745.75,3385.9
?,0,66.41,854.15,1625.74,3339.74
?,0,62.37,131.49,1621.79,1921.83
?,0,60.96,1094.71,1709.88,2953.82
?,0,58.65,823.31,1757.74,3019.77
?,0,60.17,906.82,1707.48,3142.28
?,0,63.52,1012.46,1929.34,2140.91
?,0,64.74,752.86,1818.72,3506.71
?,0,64.96,748.62,1631.87,3174.01
?,0,63.45,823.08,1822.03,3275.61
?,0,61.76,768.29,1815.45,3255.29
?,0,61.82,835.29,1893.52,3360.6
?,0,63.92,853.89,2071.87,3385.43
?,0,65.25,854.23,2103.4,3166.8
?,0,63.97,953.7,2138.21,2798.15
?,0,61.51,953.9,2172.64,3207.8
?,0,59.98,790.8,2093.66,3137.11
?,0,59.9,907.69,2226.98,3424.92
?,0,62.41,838.92,2347.06,3179.79
?,0,63.95,817.44,2282.36,3307.3
?,0,64.62,748.87,2523.8,2865.19
?,0,0,0,0,0
?,0,0,0,0,0
?,0,0,0,0,0
