time,pitch,intensity,formant1,formant2,formant3
?,0,0,0,0,0
?,0,0,0,0,0
?,0,61.26,2036.54,2613.14,3103.04
?,0,60.91,1126.43,2740.33,3914.08
?,0,59.32,153.21,1597.52,2600.51
?,0,56.5,136.66,1636.04,2448.42
?,0,58.53,1650.86,2338.46,3759.49
?,0,60.57,89.1,1703.13,2620.67
?,0,60.23,2126.67,3237.07,4713.16
?,0,58.75,145.63,2240.59,3117.39
?,0,60.66,666.56,1934.01,3210.24
?,0,63.92,1331.21,2429.8,3960.5
?,0,65.7,1464.47,2326.08,3620.25
?,0,66.98,167.88,1352.42,2246.02
?,103.89,68.72,134.85,1329.38,2275.13
?,110.63,69.59,103.09,1318.55,2303.22
?,111.77,71.2,994.7,2142.01,2913.08
?,111.6,74.49,483.05,1470.12,2520.24
?,109.5,76.37,585.27,1545.79,2566.23
?,109.34,76.86,616.95,1497.7,2612.21
?,109.79,77.26,662.55,1453.94,2636.52
?,109.85,77.69,636.63,1409.79,2678.58
?,110.98,77.63,600.17,1319.02,2697.36
?,111.14,77.48,576.81,1230.51,2698.39
?,111.74,77.34,562.04,1173.55,2725.6
?,111.79,77.24,564.74,1155.77,2736.35
?,111.45,77.03,541.59,1125.49,2754.19
?,111.38,77.18,547.35,1119.2,2764.59
?,111.28,77.54,542.28,1154.16,2754.16
?,111.05,77.9,545.44,1150.7,2835.12
?,111.1,78.06,552.19,1158.22,2788.76
?,110.66,78.01,553.5,1197.05,2792.73
?,109.8,77.78,549.01,1233.56,2768.88
?,108.71,77.29,549.58,1232.8,2703.05
?,106.59,76.32,571.16,1191.26,2662.85
?,104.86,75.23,615.66,1203.86,2657.62
?,103.52,74.91,619.42,1209.36,2652.3
?,102.19,75.17,627.87,1189.08,2635.36
?,100.83,75.21,616.59,1159.23,2611.59
?,99.59,75.25,598.07,1136.36,2590.41
?,98.17,75.18,626.89,1111.3,2573.93
?,96.61,75.34,579.22,1149.17,2542.89
?,95.68,75.34,594.63,1169.53,2528.89
?,95.09,75.76,575.96,1159.78,2520.06
?,93.68,76.25,580.78,1217.37,2504.69
?,91.4,76.09,617.88,1261.82,2499.33
?,89.07,76.02,656.32,1281.44,2502.61
?,87.89,76.34,677.61,1338.23,2509.6
?,85.82,76.01,698.84,1393.58,2522.43
?,83.48,75.71,724.76,1427.63,2530.77
?,83.16,75.91,734.93,1451.59,2535.1
?,83.14,75.36,758.51,1457.35,2530.63
?,81.66,75.63,747.76,1463.12,2542.4
?,81.59,75.8,743.41,1462.68,2551.85
?,81.37,74.15,731.98,1440.54,2552.16
?,81.68,71.9,726.07,1407.97,2598.98
?,0,70.96,702.77,1402.95,2630.59
?,350.3,70.65,695.41,1382.96,2557.79
?,347.53,71.5,710.51,1391.51,2557.96
?,344.67,70.42,691.89,1369.53,2534.26
?,328.44,67.93,693.36,1347.49,2544.89
?,322.3,68.87,668.97,1321.46,2516.35
?,323.33,66.71,642.4,1312.73,2565.36
?,330.34,63.66,643.96,1354.5,2565
?,0,61.06,638.87,1328.39,2558.51
?,0,59.48,644.95,1286.62,2505.67
?,0,59.9,594.1,1317.02,2519.89
?,0,60.84,562.19,1321.22,2550.81
?,0,60.4,409.79,1215.52,2509.56
?,0,60.69,512.73,1265.35,2579.6
?,0,59.99,485.47,1275.49,2679.75
?,0,62.32,345.33,1244.56,2501.15
?,0,64.18,429.7,1289.15,2579.36
?,0,63.31,1008.6,2138.15,3306.85
?,0,62,997.99,2549.37,3274.8
?,0,64.92,905.76,1919.44,2752.77
?,0,67.12,789.89,2331.52,2497.51
?,0,66.44,831.01,2476.6,3240.17
?,0,63.14,1280.49,2535.28,3639.31
?,0,61.04,915.02,2150.58,3232.58
?,0,62.43,1175.12,2478.72,3657.3
?,0,61.91,1249.69,2575.4,3908.99
?,0,59.62,1158.55,2544.9,3899.38
?,0,60.28,1112.53,2546.38,3562.43
?,0,61.55,1303.12,2661.85,3693.9
?,0,63.05,1297.49,2510.3,3731.17
?,0,62.85,490.03,1945.25,2801.66
?,0,62.48,1309.52,2824.45,3680.51
?,0,62.96,743.69,2445.9,3570.36
?,0,0,0,0,0
?,0,0,0,0,0
?,0,0,0,0,0
