time,pitch,intensity,formant1,formant2,formant3
?,0,0,0,0,0
?,0,0,0,0,0
?,0,66.13,2162.18,3380.96,4406.58
?,0,66.05,1578.91,2427.96,3790.57
?,0,64.58,1466.97,2536.59,3667.16
?,0,61.15,647.35,2272.16,3494.56
?,0,58.7,147.86,1597.29,2337.12
?,0,60.32,935.79,2123.07,3137.22
?,0,62.7,2026.14,2784.5,4023.68
?,0,62.29,2405.82,2859.42,3905.98
?,0,63.77,2154.92,2467.39,3819.29
?,0,67.69,1312.08,2314.98,3503.87
?,111.77,72.68,417.39,1857.7,2444.22
?,111.75,75.47,482.79,1813.53,2420.39
?,111.43,76.99,538.12,1782.59,2401.32
?,111.12,77.67,579.41,1732.44,2413.7
?,110.96,77.41,630.25,1718.11,2458.34
?,109.14,77.12,641.32,1638.23,2467.34
?,108.64,76.88,629.38,1514.3,2509.61
?,108.77,76.8,621.27,1444.51,2522.47
?,109,76.75,593.3,1408.46,2529.87
?,109.28,76.64,506.13,1386.95,2534.7
?,109.58,76.58,524.65,1356.58,2549.51
?,109.73,76.38,527.12,1325.96,2530.85
?,109.85,76.19,474.26,1337.73,2485
?,110.03,76.19,421.36,1432.77,2454.52
?,110.14,75.41,292.49,1475.1,2446.58
?,110.08,74.01,259.99,1556.1,2381.52
?,111.17,73.94,279.18,1580.32,2377.18
?,112.1,74.53,262.37,1599.56,2374.43
?,111.18,74.47,246.39,1550.42,2430.47
?,109.79,73.52,229.6,1494.62,2444.11
?,0,71.5,236.12,1471.16,2470.97
?,0,68.31,1088.79,2085.68,2906.15
?,0,66.47,1515.12,2500.17,3237.79
?,0,65.85,1828.92,2606.15,3243.65
?,0,65.05,1620.83,2502.68,3318.64
?,110.04,67.38,1630.57,2418.52,3403.35
?,110.02,70.25,386.21,1632.47,2455.4
?,109.88,71.88,427.73,1633.06,2431.55
?,109.49,72.68,428.76,1566.18,2439.49
?,108.63,72.13,411.71,1499.01,2430.22
?,106.84,69.67,365.41,1503.02,2425.43
?,99.25,66.42,235.53,1608.07,2497.58
?,96.5,65.3,264.16,1543.3,2528.08
?,97.68,66.69,214.76,1506.11,2641.46
?,100.11,67.76,176.98,1686.49,3036.85
?,107.43,67.71,1612.81,2848.3,3983.27
?,109.25,70.83,448.18,1347.05,2380.44
?,108.65,74.05,483.99,1354.14,2424.88
?,105.3,74.59,456.14,1267.65,2438.34
?,101.68,73.3,446.57,1156.18,2447.97
?,100.06,72.37,471.37,1077.11,2435.22
?,98.35,72.34,502.56,859.68,2423.68
?,96.89,72.15,503.25,1753.74,2845.55
?,95.37,72.02,388.99,1407.14,2711.11
?,94.1,72.06,451.92,575.82,2490.5
?,93.42,72.32,504.72,1755.97,2862.13
?,92.75,71.88,403.78,1353.99,2825.64
?,92.11,71.07,478.53,1773.58,2934.57
?,91.85,71.74,340.87,594.18,2533.89
?,91.87,73.02,606.43,683.53,2567.73
?,91.84,74.16,602.78,852.7,2586.06
?,91.24,75.08,628.01,973.21,2603.61
?,90.4,75.68,663.98,1027.22,2630.76
?,89.69,76.11,705.1,1085.81,2623.88
?,89.04,76.51,724.79,1173.17,2622.49
?,88.9,77.01,716.13,1242.24,2611.98
?,89.32,77.41,723.37,1265.75,2562.27
?,89.6,77.59,738.82,1315.9,2513.7
?,89.4,77.63,743.34,1381.98,2487.45
?,89,77.33,736.16,1438.21,2457.5
?,88.25,76.46,726.18,1515.24,2409.65
?,86.98,74.95,731.92,1561.38,2401.91
?,85.71,73.99,701.21,1588.99,2401.46
?,84.99,74.29,670.23,1661.15,2375.55
?,84.55,74.18,662.15,1697.48,2350.73
?,84.25,72.7,637.25,1677.85,2350.67
?,83.81,72.1,613.98,1691.48,2344.34
?,82.21,71.39,602.33,1694.34,2344.54
?,81.56,71.02,614.58,1669.58,2315.03
?,81.56,70.87,634.68,1673.74,2281.53
?,82.37,70.74,615.84,1687.11,2308.13
?,82.44,70.49,608.04,1669.65,2317.57
?,82.1,71.01,609.46,1656.15,2293.09
?,81.93,71.19,617.07,1657.44,2151.17
?,81.77,70.18,608.01,1632.07,2057.76
?,81.19,68.76,614.67,1645.42,1982.08
?,81.15,67.29,616.52,1601.33,1955.25
?,81.24,66.73,594.1,1559.52,1913.34
?,0,65.72,569.58,1580.44,1930.35
?,0,65.52,571.87,1567.64,1931.7
?,0,66.65,552.31,1692.46,1845.26
?,0,67.35,428.78,1622.65,1881.46
?,0,66.46,389.23,1601.63,1946.13
?,0,62.96,494.28,1597.57,1956.47
?,0,61.74,485.16,1610.22,1933.97
?,0,61.55,415.49,1585.32,1909.51
?,0,58.88,496.31,1529.44,1923.14
?,0,58.32,471.56,1525.36,1907.65
?,0,59.81,418.95,1628.96,1815.06
?,0,59.51,398.73,1645.01,2350.46
?,0,63.39,1147.01,1777.64,2845.29
?,0,67.35,710.89,1710.02,2989.27
?,0,67.65,1634.75,2180.07,3744.25
?,54.04,64.14,826.03,1935.07,2728.39
?,50.9,61.35,640.41,1773.57,3287.97
?,0,61.87,723.15,1736.61,3210.74
?,0,63.06,855.64,2005.76,3223.56
?,0,62.52,878,1940.99,3251.82
?,0,59.74,830.85,2051.66,3286.6
?,0,59.65,890.46,2044.67,3287.15
?,0,62.83,870.78,2002.05,3280.7
?,0,0,0,0,0
?,0,0,0,0,0
?,0,0,0,0,0
