time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1696.04,2312.26,3897.97
0.04,0,58.89,1345.67,2461.03,3535.96
0.05,0,60.43,1288.32,2507.3,3343.62
0.06,0,62.34,1195.85,2527.5,3464.81
0.07,0,63.29,1213.4,2512.31,3528.67
0.08,0,67.82,1246.79,2473.95,3421.58
0.09,0,72.45,506.61,1285.88,2373.51
0.1,113.3,72.48,445.18,1251.76,2336.53
0.11,117.76,69.73,351.61,1355.09,2519.09
0.12,122.31,66.25,823.82,2153.48,3281.03
0.13,0,63.2,883.53,2208.25,3305.96
0.14,0,62.94,794.57,2182.47,3512.47
0.15,0,63.3,502.76,1623.49,3148.46
0.16,0,62.9,1033.29,2137.74,3130.79
0.17,0,64.32,350.3,1759.92,3508.4
0.18,0,63.69,1667.59,2291.94,3713.4
0.19,0,64.36,1893.45,2480.68,3142.27
0.2,0,70.34,2039.1,2424.63,3549.25
0.21,151.67,76.71,276.37,2273.04,2612.41
0.22,145.75,79.8,308.98,2269.58,2658.74
0.23,142.56,80.12,303.8,2264.85,2692.81
0.24,142.14,79.63,295.11,2255.4,2746.81
0.25,141.63,79.77,293.03,2272.51,2744.25
0.26,138.93,79.47,293.81,2198.86,2669.42
0.27,137.42,78.05,288.81,2152.82,2597.71
0.28,137.71,75.99,262,2219.17,2815.96
0.29,137.78,73.77,251.9,2309.95,3123.85
0.3,0,71.06,217.8,2296.35,3361.27
0.31,0,68.25,1237.1,2838.04,4114.37
0.32,0,65.84,312.35,2156.48,3619.65
0.33,0,65.9,1244.78,2960.24,4232.92
0.34,0,66.82,2075.01,3366.13,4741.23
0.35,0,66.68,1309.38,2074.93,3509.83
0.36,0,67.05,1602.35,2139.06,3554.83
0.37,0,71.05,823.63,2011.88,3152.73
0.38,131.64,75.61,376.59,1755,2470.28
0.39,127.1,76.97,377,1802.18,2414.43
0.4,120.19,75.63,1685.35,2369.86,3350.78
0.41,113.53,74.03,1720.29,2266.59,3341.34
0.42,0,72.52,379.88,1976.36,2872.77
0.43,0,70.18,376.05,1745.76,3172.28
0.44,0,67.66,370.65,1802.41,2713.21
0.45,0,65.65,419.61,1775.36,2703.95
0.46,0,65.05,420.85,1755.53,3019.62
0.47,0,64.17,371.49,1704.84,2447.58
0.48,0,63.16,433.76,1703.16,2470.54
0.49,0,64.09,668.41,2143.46,2766.17
0.5,0,67.16,988.43,2356.95,3006.98
0.51,0,67.1,633.02,2407.63,2585.19
0.52,0,65.46,2264.23,2642.79,4222.59
0.53,0,69.37,329.94,2226.52,2772.17
0.54,0,74.17,404.85,2138.5,2547.01
0.55,0,76.56,446.59,2066.34,2522.72
0.56,0,77.42,441.76,2067.57,2534.9
0.57,96.7,75.97,406.11,2057.96,2564.31
0.58,92.15,75.01,422.67,2085.58,2581.33
0.59,90.46,75.63,453.43,2111.96,2558.02
0.6,87.54,75.71,450.6,2090.01,2563.57
0.61,85.96,74.36,438.56,2087.58,2544.3
0.62,82.64,72.44,422.94,2116.39,2523.46
0.63,0,71.73,406.34,2138.1,2489.45
0.64,409.2,71.62,378.11,2106.54,2385.01
0.65,421.3,69.82,355.41,2128.9,2450.35
0.66,414.54,66.3,387.02,2066.04,2667.67
0.67,417.91,65.47,369.44,2074.22,2627.09
0.68,0,67.73,340.12,2076.88,2572.57
0.69,0,68.05,279.89,2114.23,2925.67
0.7,0,65.66,289.84,2107.21,3008.25
0.71,0,62.12,379.75,2102.05,3010.01
0.72,0,60.76,914.87,2189.79,3239.01
0.73,0,63.94,907.31,2258.8,2393.68
0.74,0,65.24,916.42,2247.99,2469.58
0.75,0,64.59,403.95,2330.89,2665.7
0.76,0,62.77,1438.44,2363.65,3364.4
0.77,468.34,60.51,266.5,2284.02,2550.52
0.78,469.36,60.08,1454.16,2741.97,3601.98
0.79,481.4,61.04,404.78,2384.79,2731.85
0.8,482.59,61.88,378.9,2396.33,2525.35
0.81,447.82,63.8,2093.1,2496.1,3813.14
0.82,441.83,64.68,1742.22,2276.79,3437.54
0.83,0,62.06,1763.36,2373.71,3653.85
0.84,0,57.99,1695.84,2271.32,3142.89
0.85,0,54.99,1682.95,2301.97,3212.03
0.86,0,55.02,1683.57,2130.41,3058.82
0.87,0,55.13,1727.86,2446.9,3273.67
0.88,0,58.03,1560.61,1984.4,3030.4
0.89,0,60.43,1720.88,2560.48,3443.1
0.9,0,58.05,1642.66,2511.97,3120.31
0.91,0,0,0,0,0
0.92,0,0,0,0,0
