time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,59.66,1093.19,2519.18,3830.79
0.04,0,57.99,910.64,2371.21,2751.85
0.05,0,59.29,986.83,2419.22,3684.09
0.06,0,61.09,812.55,2368.66,3319.45
0.07,0,59.55,951.71,1689.19,2735.54
0.08,0,58.88,803.79,2457.17,3070.96
0.09,0,59.93,931.51,2458.5,3342.88
0.1,0,60.5,1112.24,2518.83,3389.25
0.11,0,61.76,1076.58,2542,3361.92
0.12,0,64.75,304.35,989.72,2926.17
0.13,104.06,67.89,328.38,2767.73,3451.31
0.14,106.52,69.13,407.65,2743.49,3589.48
0.15,110.29,69.63,557.63,2724.92,3565.73
0.16,114.11,71.05,530.52,2665.84,3567.23
0.17,117.43,72.99,644.76,2598.19,3600.26
0.18,118.55,74.61,633.34,807.34,2667.79
0.19,118.97,75.33,710.07,828.16,2701.19
0.2,120.04,75.61,710.26,773.2,2697.7
0.21,121.33,75.91,769.93,835.37,2722.62
0.22,122.39,76.22,520.79,988.49,2730.8
0.23,123.66,76.25,214.17,1004.6,2781.46
0.24,125.11,75.95,275.46,947.27,2667.41
0.25,126.43,76.53,767.88,2498.04,2809.37
0.26,127.14,77.23,689.55,756.24,2754.04
0.27,127.6,77.05,513.73,1013.42,2640.1
0.28,128.4,76.17,399.65,971.35,2646.87
0.29,128.91,75.54,975.61,2580.54,3488.19
0.3,129.22,75.22,993,2577.76,3301.22
0.31,128.79,75.52,523.32,1090.18,2588.19
0.32,128.58,76.19,550.92,1091.37,2556.57
0.33,129.25,76.65,545.81,1154.65,2567.74
0.34,129.89,76.81,528.62,1189.71,2549.9
0.35,130.23,76.47,547.06,1119.53,2521.53
0.36,129.94,75.59,528.92,1203.61,2501.39
0.37,128.76,74.15,473.85,1252.95,2494.56
0.38,127.15,72.72,401.21,1225.77,2466.34
0.39,127.95,70.81,391.11,1262.91,2510.61
0.4,0,68.66,528.77,2246.99,2282.89
0.41,0,67.22,539.34,2289.99,2635.75
0.42,0,65.13,525.38,1977.83,2735.35
0.43,0,63.22,540.69,1964.84,2853.32
0.44,0,62.51,603.4,2204.27,3367.27
0.45,0,62.09,546.73,2106.89,3263.11
0.46,455.77,63.42,536.87,1972.36,3117.48
0.47,461.55,64.69,478.36,2171.12,2800.69
0.48,472.72,62.84,1414.95,2289.91,3280.85
0.49,0,63.85,1411.1,2393.49,3215.61
0.5,0,69.35,262.01,2305.3,2902.61
0.51,121.41,72.24,269.86,2209.53,2829.18
0.52,121.14,73.13,216,2162.36,2832.49
0.53,120.64,73.66,233.33,2177.68,2845.24
0.54,119.89,74.08,220.15,2206.93,2839.74
0.55,117.58,74.27,239.16,2256.62,2839.85
0.56,115.7,74.3,272.39,2190.12,2818.49
0.57,113.73,74.15,289.11,2160.79,2639.53
0.58,110.73,73.94,308.68,2156.6,2707.25
0.59,108.16,73.93,309.26,2137.63,2621.95
0.6,107.1,73.66,316.58,2103.58,2525.31
0.61,103.8,72.78,317.69,2060.56,2567.4
0.62,99.12,71.09,316.65,2023.58,2363.53
0.63,96.94,70.87,304.87,1996.47,2460.36
0.64,95.13,72.19,258.36,1988.51,2441.72
0.65,93.96,71.35,277.47,1924.92,2591.21
0.66,91.59,69.42,288.55,2149.7,2469.81
0.67,93.03,68.64,294.83,2159.91,2296.97
0.68,88.02,67.32,311.1,2108.33,2316.22
0.69,87.47,66.02,307.94,2205.04,2351.58
0.7,87.65,66.53,348.3,2132.67,2413.93
0.71,87.25,65.96,347.12,2279.97,2652.72
0.72,0,65.42,326.35,1927.18,2488.21
0.73,0,65.62,273.99,1964.41,2469.59
0.74,0,64.67,1723.65,2452.44,3497.63
0.75,0,62.25,155.82,1748.32,2455.82
0.76,0,61.87,235.79,1753.8,2518.28
0.77,0,61.45,256.48,1775.08,2533.54
0.78,0,61.92,229.39,1859.29,2812.15
0.79,0,62.71,242.19,2066.93,3028.32
0.8,0,61.79,307.98,1985.05,3523.75
0.81,0,60.34,321.47,2249.3,3512.81
0.82,0,60.15,332.35,2329.3,3695.24
0.83,485.82,62.96,2132.52,3446.73,4246.81
