time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,62.01,572.14,2306.83,3150.47
0.04,0,62.91,984.76,2314.56,3579.48
0.05,0,64.03,1555.4,2534.93,3598.36
0.06,0,63.56,1631.96,2652.55,3418.91
0.07,0,66.09,1466.99,3147.85,3689.42
0.08,0,67.69,1801.77,2320.7,3956.74
0.09,0,67.68,973.86,2297.35,2377.3
0.1,0,66.95,880.29,2126.13,2331.66
0.11,0,63.7,919.36,2344.21,2794.75
0.12,0,62.2,658.93,2258.88,2331.13
0.13,0,62.78,792.04,2078.14,2407.94
0.14,0,66.45,706.99,1828.26,2402.49
0.15,126.81,72.6,650.31,1759.6,2483.99
0.16,125.21,76.62,653.27,1775.06,2509.57
0.17,122.39,78.2,628.23,1772.3,2504.11
0.18,121.04,78.07,614.12,1796.72,2522.16
0.19,118.6,76.13,572.58,1829.05,2546.69
0.2,0,72.27,517.62,1782.78,2596.67
0.21,0,67.54,561.43,1719.03,2582.69
0.22,0,65.37,541.39,1759.94,2680.57
0.23,0,64.44,558.89,1781.45,2685.73
0.24,0,63.19,570.7,1866.88,2724.51
0.25,0,63.24,533.38,2176.4,3008.4
0.26,0,65.48,570.6,2415.63,3106.54
0.27,0,66.45,955.21,2419.51,3222.82
0.28,0,65.64,632.29,2364.91,3245.2
0.29,450.08,66.04,402.73,2165.09,3344.85
0.3,471.06,67.21,371.08,2163.4,3351.33
0.31,487.19,66.43,522.76,2469.13,3382.24
0.32,0,64.45,1344.32,2878.39,3903.12
0.33,0,62.38,2187.79,3377.68,4532.45
0.34,0,60.75,1982.22,3344.7,4313.69
0.35,0,60.68,1417.12,2814.89,3985.03
0.36,0,59.27,1410.76,2480.83,3946.63
0.37,0,61.26,1277.47,2373.36,3591.3
0.38,0,68.03,1052.65,2227.17,3302.08
0.39,0,71.82,382.71,1443.07,2451.75
0.4,106.73,72.96,402.33,1418.39,2455.52
0.41,106.41,71.89,394.69,1386.04,2557.87
0.42,105.01,69.62,900.33,2140.55,3006.03
0.43,103.77,68.56,1256.69,2365.14,3302.21
0.44,102.66,68.69,1259.48,2293.37,3321.66
0.45,100.96,69.41,1278.42,2301.86,3360.64
0.46,99.72,70.83,165.96,1357.92,2302.21
0.47,98.92,71.57,199.04,1380.55,2290.82
0.48,98.21,72.3,201.88,1408.83,2306.01
0.49,97.52,72.99,204.74,1435.77,2381.32
0.5,96.96,73.2,205.22,1428.38,2416.97
0.51,96.45,72.97,214.74,1474.36,2486.18
0.52,95.55,72.43,208.19,1515.45,2641.1
0.53,94.75,71.82,215.67,1671.57,2658.48
0.54,94.08,70.18,220.59,1777.6,3571.94
0.55,0,67.55,272.75,2134.48,3779.95
0.56,0,64.56,296.11,2360.74,3711.08
0.57,0,63.57,336.59,2305.35,3263.07
0.58,0,65.44,268.4,2333.19,3483.1
0.59,0,65.01,258.37,2390.59,2949.51
0.6,0,65.14,207.39,2306.85,2855.04
0.61,0,65.92,201.59,2175.84,3236.5
0.62,0,66.03,1420.37,2335.22,3120.73
0.63,0,67.27,263.18,1914.65,2536
0.64,0,68.44,275.95,1943.15,2568.55
0.65,0,68.77,252.06,2028.1,2580.46
0.66,0,68.69,198.95,2055.93,2620.74
0.67,0,68.77,194.25,2097.4,2652.41
0.68,0,68.82,207.21,2157.55,2642.2
0.69,0,68.8,254.98,2160.17,2653.46
0.7,88.55,66.97,315.77,2209.98,2696.37
0.71,88.08,65.7,342.95,2210.58,2686.64
0.72,87.68,65.45,348.4,2216.44,2698.87
0.73,87.93,65.67,341.15,2210.26,2675.69
0.74,0,66.81,321.1,2206.01,2652.93
0.75,0,67.89,302.45,2187.14,2640.82
0.76,0,66.44,333.78,2189.5,2620.27
0.77,0,65.62,330.6,2223.05,2586.43
0.78,422.84,68.38,264.9,2216.69,2590.89
0.79,418.97,69.67,283.27,2189.23,2560.88
0.8,380.94,68.27,315.63,2109.21,2526.33
0.81,352.39,66.29,310.9,2013.65,2534.46
0.82,354.03,65.81,277.62,1945.16,2509.46
0.83,0,65.69,260.06,1944.79,2500.22
0.84,0,63.85,295.14,1912.7,2512.95
