time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1806.64,2407.24,3654.12
0.04,0,62.34,1138.15,2460.79,3761.97
0.05,0,64.52,1267.85,2516.29,3587.26
0.06,0,65.4,268.95,2426.68,3311.07
0.07,0,65.66,184.4,2310.96,3299.13
0.08,0,64.11,133.63,2327.84,3036.62
0.09,0,63.17,212.89,2343.5,3142.28
0.1,0,63.93,238.85,2316.07,3076.49
0.11,0,65.03,238.45,2326.91,3078.69
0.12,0,65.56,236.78,2341.49,3067.43
0.13,0,66.08,264.98,2354.06,3051.22
0.14,113.28,67.7,267.88,2374.01,3039.88
0.15,113.99,69.92,263.87,2383.75,3041.22
0.16,114.43,71.76,259.19,2401.77,3031.42
0.17,116.85,72.46,246.76,2396.86,3027.55
0.18,119.15,72.56,242.79,2390.86,3003.98
0.19,120.41,72.69,237.26,2390.64,2982.6
0.2,120.39,72.5,215.62,2398.01,2914.41
0.21,119.34,71.97,204.39,2366.36,2861.65
0.22,118.3,70.8,189.25,2354.89,2832.24
0.23,117.37,69.47,195.94,2387.23,3195.35
0.24,116.61,69.17,984.64,2262.92,3074.62
0.25,118.52,68.81,1052.33,2227.41,3191.16
0.26,121.28,69.64,2116.4,3236.13,4520.48
0.27,127.71,72.51,262.47,2023.93,3202.97
0.28,129.83,75.36,302.57,1924.2,2675.6
0.29,130.25,76.96,346.87,1891.09,2282.28
0.3,130.38,77.45,379.62,1842.06,2204.73
0.31,130.34,77.87,400.52,1831.93,2006.63
0.32,130.54,78.22,401.25,1768.44,1975.26
0.33,130.56,78.14,396.17,1679.75,1986.65
0.34,129.85,77.53,396.69,1650.14,1970.92
0.35,128.43,76.32,388.68,1602.31,1901.07
0.36,127.32,75.39,351.88,1555.15,1826.53
0.37,126.33,75.72,343.33,1511.52,1810.27
0.38,125.4,76.79,358.84,1531.42,1785.01
0.39,123.55,77.04,347.08,1488.52,1785.44
0.4,122.27,75.9,307.5,1430.65,1707.86
0.41,122.39,74.31,330.7,1344.98,1688.35
0.42,121.05,72.75,364.65,1545.39,1653.01
0.43,98.94,70.76,364.7,1560.71,1617.99
0.44,94.67,68.88,362.97,1537.57,1650.52
0.45,0,67.93,302.18,1560.88,1603.06
0.46,0,68.65,255.13,1402.56,1669.07
0.47,0,68.31,282.83,1635.04,2133.83
0.48,0,66.89,215.05,1595.18,2339.17
0.49,0,67.77,1420.19,2448.07,3556.81
0.5,0,70.93,799.53,2109.55,2740.8
0.51,108.4,73.49,303.45,2156.38,2631.35
0.52,107.14,74.3,299.76,2210.27,2822.39
0.53,106.31,74.12,294.7,2262.51,2931.53
0.54,105.98,73.57,308.37,2276.28,2995.38
0.55,106,73.13,298.34,2251.4,3024.25
0.56,106.23,73.15,315.77,2249.8,3001.48
0.57,106.13,73.54,314.93,2252.77,2955.34
0.58,106.14,74.09,310.89,2241,2926.2
0.59,106.2,74.39,317.41,2274.82,2833.22
0.6,106.08,74.66,321.41,2212.82,2675.39
0.61,105.52,74.44,333.61,2120.63,2572.99
0.62,104.85,73.02,355.47,2018.98,2424.42
0.63,101.16,70.83,382.89,1953.69,2404.25
0.64,96.86,70.09,1371.76,2179.1,2984.46
0.65,96.08,70.01,1980.99,2132.34,3209.93
0.66,91.2,68.62,694.02,1794.04,2614.46
0.67,90.81,67.66,258.93,1590.42,2157.74
0.68,0,69.27,409.76,1608.51,2148.55
0.69,480.22,69.57,494.74,1578.66,2076.1
0.7,475.51,70.21,501.29,1628.94,2065.79
0.71,470.17,71.46,482.06,1648.21,1994.59
0.72,466.63,71.51,485.77,1663.63,2064.17
0.73,480.21,70.78,482.18,1601.48,2090.82
0.74,491.01,70,505.13,1575.64,2028.39
0.75,488.2,70.05,476.71,1571.05,1901.46
0.76,482.85,68.54,467.43,1641.28,1856.32
0.77,483.88,66.15,483.66,1653.03,1910.58
0.78,0,64.9,509.88,1620.04,2237.26
0.79,0,64.76,510.11,1579.33,2092.14
0.8,490.83,65.97,476.99,1615.06,1968.5
0.81,498.6,67.25,467.93,1638.99,1989.94
0.82,0,67.57,477.66,1658.47,1960.39
0.83,0,66.09,466.81,1735.8,1842.43
0.84,0,62.44,484.07,1663.75,2034.46
0.85,0,57.32,481.75,1591.21,2099.89
0.86,0,56.17,487.52,1732.1,1883.61
0.87,0,58.14,377.41,1640.7,1961.22
0.88,0,57.32,445.95,1599.36,2197.2
0.89,0,54.56,420.6,1653.92,2082.05
0.9,0,55.93,394.86,1681.12,2168.45
0.91,0,58.83,444.71,1809.21,3287.53
0.92,0,59.76,1303.72,1717.14,3267.41
0.93,0,61.16,267.51,1625.91,3252.71
0.94,0,60.83,227.18,1633.1,2989.16
0.95,0,57.22,310.4,1686.55,2412.92
0.96,0,58.23,203.95,1613.94,2644.92
0.97,0,62.49,73.8,1615.56,3122.6
0.98,0,63.36,140.73,1628.52,2955.75
0.99,0,0,0,0,0
1,0,0,0,0,0
