time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,162.51,1551.91,2570.54
0.04,0,61.32,1435.63,2229.03,3694.26
0.05,0,59.66,168.43,1622.69,2530.61
0.06,0,55.66,211.2,1533.13,2628.93
0.07,0,53.34,1488.55,2599.51,3524
0.08,0,55.1,1614.94,2702.71,3707.48
0.09,0,58.37,1469.94,2617.8,3679.5
0.1,0,59.88,1557.55,2350.06,3370.09
0.11,0,59.3,1539.36,2397.61,3459.47
0.12,443.26,60.54,1635.37,2537.02,3563.44
0.13,0,58.8,1534.34,2514.4,3531.43
0.14,0,55.47,1560.24,2323.94,3471.32
0.15,0,57.63,1745.61,2124.84,2833.7
0.16,0,66.77,504.09,1735.22,2238.45
0.17,116.21,71.45,478.41,1693.16,2113.55
0.18,116.91,72.91,512.26,1690.7,2182.5
0.19,117.14,73.93,534.8,1706.28,2232.08
0.2,117.18,75.22,547.45,1721.98,2229.99
0.21,117.42,76.29,561.29,1732.69,2178.95
0.22,117.98,76.92,574.64,1747.58,2119.02
0.23,118.34,77.05,594.75,1759.55,2143.83
0.24,118.63,76.96,606.06,1751.18,1981.47
0.25,119.19,76.77,603.19,1721.42,2020.25
0.26,118.88,76.79,594.6,1705.25,2008.57
0.27,119.01,77,574.39,1677.99,1948.53
0.28,119.11,76.93,558.15,1675.64,1962.65
0.29,118.62,76.97,560.98,1713.34,1957.31
0.3,118.48,76.94,565.09,1744.75,1921.2
0.31,118.56,76.87,562.78,1802.16,1918.66
0.32,118.27,76.76,537.72,1752.54,2068.33
0.33,117.87,76.76,522.62,1764.73,2164.48
0.34,117.45,76.7,491.68,1705.79,2376.83
0.35,117.24,76.45,453.68,1682.18,2418.16
0.36,117.24,76.04,444,1715.39,2495.27
0.37,116.95,75.61,411.91,1724.12,2565.56
0.38,116.06,75.09,353.26,1731.17,2607.27
0.39,112.39,74.23,277.27,1700.45,2644.07
0.4,113.88,73.82,269.12,1666.32,2572.34
0.41,115.55,74.38,249.17,1700.89,2506.41
0.42,114.65,74.49,259.62,1659.58,2490.73
0.43,113.24,73.23,257.83,1607.85,2497.12
0.44,111.68,71.38,288.53,1589.5,2413.17
0.45,110.36,69.89,301.38,1690.52,2683.03
0.46,109.18,68.18,217.76,1685.14,3109.09
0.47,110.12,65.36,1623.71,3231.4,4359.87
0.48,0,65.27,221.32,1984.91,3637.12
0.49,0,66.8,85.28,1914.1,3436.76
0.5,0,66.09,2113.51,3398.32,4317.93
0.51,0,65.26,1687.55,3399.61,4186.28
0.52,0,64.21,1546.3,3273.77,4049.54
0.53,0,62.68,1514.46,2754.69,4000.34
0.54,0,62.62,1429.42,2524.77,3735.22
0.55,0,61.2,1641.78,3308.28,4502.93
0.56,0,57.97,1629.33,3260.34,4238.11
0.57,0,59.3,1261.65,3150.4,4191.67
0.58,0,64.55,1042.07,1104.58,2931.18
0.59,0,65.49,1076.19,2560.55,3760.77
0.6,0,65.91,367.88,1276.68,3012.6
0.61,103.98,69.03,462.81,1650.78,3007.14
0.62,102.89,70.74,502.55,1414.44,1963.59
0.63,98.48,71.01,486.07,1283.47,2003.08
0.64,92.69,71.46,557.92,1397.13,2032.9
0.65,91.35,72.23,572.7,1472.37,2019.93
0.66,88.44,72.09,625.03,1528.1,2003.34
0.67,83.68,71.34,612.45,1569.41,1962.45
0.68,81.65,70.42,593.45,1622.95,1932.41
0.69,0,69.02,617,1652.96,2003.38
0.7,0,67.58,582.24,1681.56,2231.31
0.71,0,67.19,579.47,1800.91,2115.87
0.72,0,66.92,595.67,1718.18,2210.53
0.73,0,67.69,682.7,1665.21,2234.24
0.74,302.26,68.05,622.46,1711.98,2280.05
0.75,292.01,65.69,579.63,1684.42,2191.23
0.76,0,66.03,329.17,1685.83,1853.47
0.77,0,65.76,610.53,1571.15,1876.19
0.78,0,63.37,599.82,1623.73,1946.13
0.79,0,64.46,675.23,1671.27,2025.96
0.8,0,65.19,594.77,1730.89,1830.78
0.81,0,63.98,581.88,1601.13,1907.3
0.82,0,61.52,599.92,1622.08,1914.04
0.83,0,60.99,360.83,1501.07,1772.44
0.84,0,62.92,406.36,1682.46,1703.53
0.85,0,63.45,736.48,1613.15,3266.92
0.86,0,61.29,441.58,1641.92,2145.35
0.87,0,62.52,270.23,1651.71,1673.91
0.88,0,63.71,835.28,1653.08,3325.4
0.89,0,63.02,1485.55,1734.28,3415.36
0.9,0,59.82,347.92,1635.04,3269.72
0.91,0,57.14,539.35,1762.12,3184.65
0.92,0,60.3,1525.7,3118.81,4660.24
0.93,0,63.2,71.7,1598.67,2959.63
0.94,0,61.86,269.05,1838.89,3249.24
0.95,0,62.27,84.18,1669.9,2677.95
0.96,0,63.26,1686.06,2966.95,4184.68
0.97,0,60.75,149.95,1708.3,2731.52
0.98,0,59.14,160.11,1672.05,2472.3
0.99,0,0,159.92,1575.11,2580.21
1,0,0,0,0,0
1.01,0,0,0,0,0
