time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,61.84,126.79,1788.15,2972.38
0.04,0,62.69,495.18,2039.68,3275.67
0.05,0,60.47,144.64,1874.52,2540.99
0.06,0,55.99,1788.63,3189.34,4355.13
0.07,0,52.23,1713.92,2828.41,4006.58
0.08,0,53.65,1929.43,2362.93,3778.02
0.09,0,55.52,1345.08,2450.8,3308.81
0.1,0,58.52,1320.71,2509.93,3250.71
0.11,0,59.37,1348.4,2447.76,2661.52
0.12,395.55,60.75,1184.88,2340.33,3123.55
0.13,384.48,61.9,1100.1,2643.61,3243
0.14,379.29,60.96,865.24,1366.32,2821.25
0.15,0,61.63,840.02,1106.95,2683.53
0.16,0,62.46,801.94,1147.62,2717.36
0.17,0,65.55,677.42,1102.87,2709.7
0.18,0,71.28,571.92,1038.26,2663.15
0.19,0,74.61,611.55,1004.21,2674.16
0.2,115.37,75.95,598.75,1034.23,2718.53
0.21,117.3,76.26,678.88,922.92,2744.91
0.22,117.46,75.94,692.51,912.11,2713.04
0.23,117.41,75.84,656.52,1038.71,2783.35
0.24,117.08,76.45,603.41,1072.09,2755.86
0.25,116.88,76.88,593.28,1078.75,2782.33
0.26,116.06,77.13,582.3,1103.75,2795.93
0.27,115.7,77.1,557.18,1170.47,2749.15
0.28,114.88,76.63,554.45,1269.43,2703.33
0.29,113.8,76.13,568.01,1367.14,2611.34
0.3,112.85,75.99,561.52,1616.77,2512.35
0.31,112.38,76.09,522.04,1846.06,2477.07
0.32,112.48,75.91,429.53,2047.39,2397.06
0.33,112.79,75.18,426.12,2237.71,2543.66
0.34,112.77,74.14,396.61,2226.47,2589.77
0.35,112.99,73.53,306.16,2076.93,2662.85
0.36,113.49,73.65,265.93,2153.98,3053.72
0.37,113.72,73.56,346.95,2173.38,2621.74
0.38,114.2,72.87,289.67,1656.63,2175.7
0.39,114.08,72.69,394,2135.76,3217.87
0.4,113.41,72.73,266.91,1407.03,2206.56
0.41,112.91,72.11,266.07,2003.56,2823.47
0.42,113.83,72.3,290.1,2128.82,2553.76
0.43,108.24,73.16,283.84,2063.22,2414.43
0.44,105.64,73.18,302.56,1930.15,2394.46
0.45,104.67,72.88,324.31,1865.92,2366.26
0.46,104.28,72.23,331.04,1831.35,2129.67
0.47,104.02,71.4,332.43,1826.92,1940.33
0.48,103.43,70.49,424.53,1815.93,1846.01
0.49,102.58,70.38,493.54,1781.56,1963.51
0.5,101.94,71.05,509.32,1733,2184.22
0.51,101.19,71.51,507.59,1702.82,2297.5
0.52,100.89,72.01,500.52,1631.41,2386.46
0.53,100.66,72.74,447.11,1518.17,2468.11
0.54,99.14,72.82,434.62,1394.5,2515.8
0.55,98.18,71.88,384.04,1290.19,2470.51
0.56,97.24,71.61,454.35,1244.14,2455.48
0.57,97.07,72.26,491.15,1267.76,2516.9
0.58,95.49,71.79,514.08,2115,2536.01
0.59,93.79,71.04,470.84,2326.85,2595.31
0.6,92.32,70.4,608.28,2586.42,2621.83
0.61,90.91,70.82,631.16,1284.84,2678.16
0.62,89.08,71.79,633.53,1136.97,2692.88
0.63,87.19,72.78,590.35,1244.63,2648.32
0.64,85.52,74.06,634.01,1328,2663.84
0.65,83.88,74.52,622.83,1365.62,2656.08
0.66,81.94,73.85,612.18,1408.29,2633.69
0.67,80.96,72.75,621.93,1452.13,2615.04
0.68,80.51,71.96,633.89,1552.78,2603.49
0.69,80.17,71.66,633.83,1590.37,2574.72
0.7,79.59,71.76,599.14,1651.67,2556.2
0.71,79.38,71.15,579.7,1672.48,2540.16
0.72,79.86,70.26,552.78,1729.01,2517.08
0.73,0,69.7,556.71,1873.64,2469.57
0.74,0,69.08,488.29,1885.44,2410.5
0.75,0,68.28,449.37,1888.45,2353.7
0.76,0,66.14,448.46,1906.25,2320.25
0.77,0,64.33,424.89,1952.12,2312.34
0.78,0,61.77,513.44,1823.11,2459.22
0.79,0,61.08,461.45,1659.03,2379.6
0.8,0,61.41,463.17,1780.63,2416.65
0.81,0,62.65,479.81,1742.35,2452.03
0.82,0,65.09,328.5,1771.07,2357.99
0.83,0,67.6,170.96,1801.68,2453.1
