time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1809.58,2722.04,4034.35
0.04,0,56.65,501.8,1839.15,3086.07
0.05,0,51.72,1481.26,3114.46,3778.1
0.06,0,55.12,317.89,1701.35,2972.49
0.07,0,58.5,1195.15,2448.83,3765.58
0.08,0,60.79,619.96,2081.18,3294.34
0.09,0,64.17,1175.9,2370.41,3739.14
0.1,0,65.01,1743.85,3045.82,4079.87
0.11,0,67.71,948.3,2173.66,3356.85
0.12,0,73.59,453.96,1770.11,2808.6
0.13,0,73.61,484.65,1647.63,2723.04
0.14,0,70.27,698.88,1480.41,2750.2
0.15,0,67.86,791.35,1398.4,2843.62
0.16,0,67.72,980.71,1255.54,2880.52
0.17,0,68.95,289.24,1098.93,2953.71
0.18,0,70.21,876.24,985.07,2984.39
0.19,218.2,77.06,893.61,2237.07,3551.37
0.2,217.46,83.72,384.72,967.53,3082.96
0.21,219.69,86.67,432.2,1005.68,3114.91
0.22,221.77,88.3,477.3,979.69,3122.58
0.23,221.16,89.43,480.67,1367.83,3063.36
0.24,219.45,89.53,446.85,1369.99,3066.72
0.25,217.75,89.01,435.85,1154.15,3086.01
0.26,217.19,88.35,445.15,1148.96,3159.91
0.27,218.04,87.84,474.79,1515.41,3191.74
0.28,220.13,87.96,459.83,1043.37,3187.68
0.29,224.34,88.5,447.7,1396.43,3140.44
0.3,227.49,89.46,468.31,1436.03,3077.79
0.31,227.12,90.52,486.03,1645.22,3095.3
0.32,225.83,90.84,470.75,1656.89,3045.13
0.33,225.58,90.12,465.74,1634.95,3029.21
0.34,222.62,88.77,445.63,1752.65,3008.27
0.35,220.56,88.07,421.63,1879.58,2947.59
0.36,218.86,88,415.5,2044.36,2901.47
0.37,216.51,87.49,409.87,2049.83,2796.55
0.38,213.41,86.42,355.75,1827.16,2767.1
0.39,211.91,85.13,402.54,2254.6,2688.14
0.4,209.2,82.94,590.54,2149.9,2682.97
0.41,206.04,81.08,571,2380.83,2848.04
0.42,201.61,81.32,462.09,1644.41,2581.05
0.43,199.77,83.48,420.57,890.98,2357.96
0.44,198.6,85.48,386.08,1629.23,2791.25
0.45,196.27,86.22,389.29,2376.1,2971.02
0.46,192.33,86.01,420.62,2349.38,2951.54
0.47,189.51,86.08,380.47,2346.54,3087.27
0.48,190.11,86.48,330.42,2374.61,3260.55
0.49,188.36,85.62,331.12,2360.38,3283.61
0.5,179,83.59,368.49,2297.75,3240.91
0.51,176.05,81.62,428.15,2211.24,3060.92
0.52,175.2,80.65,505.22,2047.26,2992.31
0.53,173.24,81.5,556.37,1914.05,2922.38
0.54,170.43,83.46,550.72,1817.88,2625.19
0.55,167.73,84.99,523.93,1730.12,2357.75
0.56,166.19,85.83,524.71,1705.48,2076.35
0.57,165.82,86.52,525.5,1675.01,2138.78
0.58,165.89,86.93,507.82,1670.36,2226.97
0.59,165.45,87.16,505.69,1683.51,2289.72
0.6,165,87.34,502.61,1642.12,2347.42
0.61,164.3,87.39,488.48,1599.05,2639.73
0.62,162.28,86.81,469.66,1577.54,3144.66
0.63,159.63,85.52,474.61,1526.6,3075.26
0.64,157.83,84.06,475.42,1490.3,3068.2
0.65,158.64,81.95,479.12,1455.16,3015.13
0.66,132.77,80.4,448.03,1482.71,3001.41
0.67,126.98,79.74,421.38,1449.29,3004.56
0.68,126.4,79.47,400.03,1406.9,3066.1
0.69,125.51,79.62,408.1,1313.51,3096.87
0.7,125.91,81.32,405.37,1276.92,3125.72
0.71,126.72,83.74,494.61,1138.69,3119.44
0.72,123.84,86.29,524.2,1252.43,3107.44
0.73,122.02,88.03,548.16,1331.33,3103.5
0.74,119.19,88.79,578.8,1418.46,3097.51
0.75,117.6,89,599.82,1476.91,3059.8
0.76,115.32,88.9,612.9,1538.96,3039.62
0.77,112.11,88.18,629.91,1569.15,2992.02
0.78,109.37,87.24,646.95,1605.9,2988.41
0.79,105.11,86.68,644.49,1653.03,3003.13
0.8,100.57,85.63,669.96,1689.63,3124.82
0.81,94.98,84.11,654.38,1726.35,3015.86
0.82,87.38,82.71,640.27,1772.04,2965.15
