time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1068.36,2394.94,3548.3
0.04,0,59.45,627.35,2204.99,3106.26
0.05,0,59.46,1701.29,2799.87,4037.1
0.06,0,57.12,1785.47,2958.76,4358.58
0.07,0,56.99,180.79,1803.14,2951.1
0.08,0,59.15,1148.26,2482.14,3612.37
0.09,0,62.02,1628.8,3001.25,4178.35
0.1,0,64.06,1763.58,2921.61,4033.04
0.11,0,68.31,176.63,1684.44,2382.52
0.12,0,75.92,475.34,2436.54,3400.99
0.13,145.11,81.24,403.94,787.16,2841.32
0.14,143.78,83.47,431.39,858.14,2870.48
0.15,145.11,84.64,429.37,858.48,2790.69
0.16,149.28,86.16,447.65,892.35,2741.87
0.17,157.95,88.07,506.97,1031.84,2701.26
0.18,164.84,89.93,554.06,1552.93,2466.06
0.19,167.17,90.92,546.36,1609.22,2587.87
0.2,168.13,90.99,546.59,1582.92,2790.38
0.21,169.12,90.7,533.34,1555.05,2762.58
0.22,169.84,90.33,521.03,1530.13,2289.35
0.23,170.56,89.61,525.04,1526.66,2672.76
0.24,172.97,87.74,489.14,989.77,2708.41
0.25,174.3,86.33,471.4,917.08,2724.93
0.26,174.27,86.77,476.06,898.31,2673.02
0.27,173.43,87.33,467.24,853.91,2632.35
0.28,172.8,87.11,463.26,848.31,2620.72
0.29,171.8,86.5,467.85,869.24,2566.66
0.3,170.23,86.55,463.78,894.79,2525.06
0.31,168.3,87.51,477.33,928.97,2540.16
0.32,165.58,88.39,477.92,1024.21,2574.68
0.33,162.26,88.61,474.68,1087.12,2585.75
0.34,159.5,87.45,484.76,1159.36,2518.21
0.35,0,83.59,501.66,1186.49,2422.03
0.36,0,78.89,436.66,1163.8,2478.13
0.37,167.4,76.25,422.76,1051.21,2652.29
0.38,167.29,74.31,550.06,847.86,2495.06
0.39,165.87,72.27,560.69,1083.24,2639.27
0.4,165.05,71.19,518.45,1071.23,2500.92
0.41,165.53,71.46,436.49,1545.79,2578.07
0.42,164.05,72.5,463.85,2049.46,2727.09
0.43,164.57,71.73,497.86,1245.41,2498.12
0.44,165.67,69.48,498.5,1679.6,2760.23
0.45,166.47,67.81,527.35,2247.1,2347.7
0.46,162.45,67.74,497.56,2364.71,3028.24
0.47,164.86,71.52,458.66,2381.22,2706.01
0.48,160.32,76.72,353.46,2117.67,2633.61
0.49,150.65,78.9,331.16,2048.95,2685.21
0.5,148.69,79.07,312.5,2065.85,2711.3
0.51,148.53,78.55,316.28,2074.5,2714.98
0.52,148.7,78.41,308.84,2073.05,2679.62
0.53,149.06,78.36,307.68,2075.96,2674.07
0.54,149.12,78.21,316.47,2074,2634.37
0.55,148.27,78.39,324.32,2059.16,2581.53
0.56,146.17,78.11,327.21,2049.5,2571.03
0.57,143.22,77.8,336.38,2036.94,2508.77
0.58,139.86,77.93,329.59,2065.24,2436.8
0.59,137.99,78.32,312.25,2056.59,2413.15
0.6,134.22,78.35,316.51,2033.5,2398.79
0.61,129.96,78.24,337.75,2010.18,2461.69
0.62,124.59,78.12,357.09,2008.48,2813.55
0.63,118.74,78.3,337.7,2097.37,2641.75
0.64,116.01,78.3,313.12,2135.19,2452.88
0.65,110.82,77.45,312.97,1992.73,2465.4
0.66,110.28,77.52,315.76,1984.52,2452.8
0.67,110.49,77.14,326.97,1965.88,2332.91
0.68,108.41,76.12,314.37,1963.72,2723.21
0.69,108.71,75.37,295.63,1907.17,2752.24
0.7,107.64,72.94,272.33,1848.39,2688.75
0.71,105.5,69.59,285.95,1868.67,2579.65
0.72,108.79,68.38,323.38,1882.65,2671.6
0.73,109.6,68.01,332.96,1865.38,2685.38
0.74,107.61,68.02,308.82,1817.54,2729.19
0.75,107.76,67.52,305.09,1886.31,2887.42
0.76,0,66.99,295.39,1882.61,3108.44
0.77,0,66.97,303.1,1891.3,3339.3
0.78,0,65.81,301.75,1962.63,3488.86
0.79,0,63.67,355.17,2041.19,3694.66
0.8,0,61.9,252.3,2089.8,3541.13
0.81,0,61.14,218.6,1956.6,3870.27
0.82,0,61.31,390.25,1920.14,3507.33
0.83,0,61.07,345.02,2029.32,3749.04
0.84,0,60.17,1567.65,3153.35,4462.36
0.85,0,61.39,850.73,2136.48,3481.15
0.86,0,63.34,840.81,2137.24,4026.33
0.87,467.72,63.25,1547.02,2018.7,4075.92
0.88,468.44,62.68,1372.04,2253,4223.81
0.89,467.61,61.77,1722.06,2858.84,3921.48
0.9,0,61.96,1395.65,2740.9,4327.79
0.91,461.55,63.31,562.47,2145.9,3530.39
0.92,475.63,66.03,1974.05,3502.78,4279.4
0.93,479.84,65.67,1563.42,2334.52,4103.37
0.94,0,61.91,765.66,2198.31,3409.43
0.95,0,57.94,1290.84,2532.29,4061.37
0.96,0,55.07,1626.46,2957.8,4255.14
0.97,0,55.59,1858.75,3202.63,4543.04
0.98,0,57.26,913.86,2281.9,3733.51
0.99,0,60.39,825.27,2371.06,3362.65
1,0,61.53,444.21,2004.52,3340.12
1.01,0,62.52,1353.27,2837.21,4289.62
1.02,0,61.93,2016.88,3115,4961.87
1.03,0,59.92,1790.43,3076.55,3999.27
1.04,0,62.31,1511.13,2817.04,4010.42
1.05,0,60.81,1548.94,2731.4,3482.68
1.06,0,59.11,1833.32,2971.92,3692.61
1.07,0,60.74,1849.67,3017.38,4240.93
1.08,0,0,0,0,0
1.09,0,0,0,0,0
