time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1749.24,3079.66,3879.07
0.04,0,66.91,1043.76,2778.89,3167.72
0.05,0,66.76,1780.56,2942.86,4159.12
0.06,0,63.1,139.08,1940.58,2857.86
0.07,0,61.03,149.99,1861.9,2951.32
0.08,0,62.15,1705.35,2887.6,4205.39
0.09,0,60.37,1797.96,2902.45,4025.17
0.1,0,61.72,1818.36,3160.79,3591.8
0.11,0,60.96,98.9,1881.03,3001.63
0.12,0,60.55,2002.96,2563.39,4488.46
0.13,0,62.3,534.14,1935.91,2956.28
0.14,0,70.02,349.11,1914.77,2913.32
0.15,0,78.27,433.93,1867.72,2640.1
0.16,144.55,81.87,466.47,1818.78,2533.65
0.17,143.31,83.03,530.59,1828.81,2347.58
0.18,141.74,84.5,564.84,1780.63,2439.39
0.19,140.88,85.77,590.5,1711.31,2338.26
0.2,141.54,85.99,637.46,1685.43,2307.02
0.21,142.47,86.3,674.9,1648.43,2278.77
0.22,144.55,86.18,691.4,1586.26,2276.9
0.23,145.2,85.52,699.6,1464.65,2291.91
0.24,146.21,84.76,703.99,1378.68,2405.58
0.25,148.03,83.92,692.72,1324.66,2435.58
0.26,151.27,83.63,684.53,1266.49,2453.67
0.27,154.53,83.77,681.72,1159.1,2345.9
0.28,156.78,84.14,704.19,1048.65,2371.1
0.29,158.8,83.93,673.03,1032.6,2288.01
0.3,160.24,82.57,648.08,1091.36,2431.59
0.31,159.7,79.97,590.87,1249.57,2435.2
0.32,161.32,79.02,402.2,1037.85,2506.67
0.33,161.24,78.66,439.22,1246.22,2514.23
0.34,159.48,77.62,451.66,1110.01,2466.22
0.35,158.21,76.66,351.79,1015.5,2475.3
0.36,154.32,74.9,688.56,1125.66,2483.82
0.37,150.55,73.57,185.85,1195.29,2618.43
0.38,149.25,73.46,915.76,2313.19,3041.75
0.39,154.36,75.51,1045.97,2329.72,3085.92
0.4,156.18,80.3,434.38,1519.43,2567.9
0.41,156.12,82.79,455.98,1397.15,2620.62
0.42,155.15,82.49,452.76,1365.1,2582.37
0.43,151.58,79.64,448.1,1367.56,2705.31
0.44,145.76,75.67,385.1,1345.58,2670.46
0.45,143.99,73.91,388.63,1384.42,2736.84
0.46,143.55,73.41,399.29,1369.36,2627.86
0.47,143.28,73.64,377.41,1379.9,2711.18
0.48,146.6,77.67,410.59,1350.41,2656.41
0.49,150.09,82.22,444.26,1308.06,2665.85
0.5,150.6,84.55,464.48,1313.14,2631.78
0.51,148.19,84.35,475.29,1282.11,2601.77
0.52,145.15,83.45,473.8,1136.44,2428.35
0.53,142.05,82.85,462.03,1076.66,2498.9
0.54,137.94,81.9,443.56,978.87,2514.11
0.55,134.43,81.56,418.05,901.09,2525.66
0.56,131.74,82.35,407.8,864.25,2669.5
0.57,130,82.75,404.83,891.03,2754.25
0.58,126.29,81.15,421.95,937.34,2760.59
0.59,122.69,79.07,402.5,865.82,2727.57
0.6,121.43,79.45,405.43,597.96,2720.76
0.61,120.41,80.2,385.96,649.09,2758.5
0.62,121.3,80.97,391.76,643.55,2759.83
0.63,122.09,82.12,419.41,610.05,2774.34
0.64,122.17,83.28,488.67,627.72,2774.37
0.65,121.88,84.56,516.24,730.98,2780.37
0.66,121.44,85.66,542.15,813.27,2741.96
0.67,120.98,85.97,568.83,852.73,2721.53
0.68,120.03,85.44,585.49,841.44,2703.99
0.69,119.41,85.03,621.6,877.72,2696.82
0.7,119.24,84.96,636.8,967.66,2653.66
0.71,119.18,84.97,662.7,983.97,2579.67
0.72,119.02,84.82,696.28,972.24,2538.23
0.73,118.42,84.76,742.06,955.03,2446.88
0.74,117.75,84.66,729.76,1130.63,2350.73
0.75,117.03,84.75,748.64,1238.27,2319.24
0.76,115.91,84.59,754.54,1304.44,2296.34
0.77,115.17,83.81,727.96,1406.03,2246.6
0.78,114.97,82.98,674.03,1524.04,2204.56
0.79,114.96,82.61,615.29,1628.1,2253.63
0.8,114.47,82.23,594.33,1655.11,2249.41
0.81,113.96,81.41,559.66,1639.67,2281.35
0.82,114.25,80.65,558.75,1685.48,2327.92
