time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,65.98,1799.19,3140.78,3989.01
0.04,0,66.11,1333.19,3009.71,3720.96
0.05,0,65.78,882.63,2280.79,3391.91
0.06,0,64.65,125.27,1778.55,2972.61
0.07,0,65.39,1649.52,2947.28,3956.69
0.08,0,63.42,150.05,1872.13,2916.62
0.09,0,59.07,193.14,1748.09,2789.24
0.1,0,57.88,144.99,1798,2760.27
0.11,0,60.31,829.5,2028.24,2949.94
0.12,0,60.05,1251.16,2309.37,3208.28
0.13,0,62.02,1940.85,2521.9,3785.36
0.14,0,64.26,1479.97,2471.18,3750.2
0.15,0,63.58,1606.12,2637.89,3933.15
0.16,0,61.26,1551.1,2568.45,3715.92
0.17,0,62.06,1533.31,2528.32,3676.39
0.18,0,61.95,1570.99,2557.79,3676.83
0.19,0,66.41,1110.67,2229.86,3172.12
0.2,0,76.56,421.06,1975.98,2563.08
0.21,151.41,82.26,450.96,1667.5,2330.23
0.22,150.25,83.69,475.14,1730.45,2336
0.23,147.26,83.21,479.52,1794.75,2366.33
0.24,146.21,83.06,487.1,1848.07,2376.26
0.25,147.86,83.05,496.28,1859.93,2329.72
0.26,149.24,82.87,487.69,1841.45,2318.55
0.27,149.23,81.89,493.18,1868.07,2331.97
0.28,148.84,81.27,509.44,1842.75,2259.7
0.29,148.99,81.26,517.59,1803.26,2219.82
0.3,149.24,81.42,540.91,1774.85,2061.3
0.31,149.94,81.38,572.07,1686.18,1902.45
0.32,151.03,80.7,597.63,1550.35,1891.86
0.33,151.61,80.51,608.96,1483.05,1803.59
0.34,151.44,80.41,607.49,1449.64,1770.93
0.35,151.29,79.91,593.8,1454.03,1704.57
0.36,151.11,79.62,584.76,1461.05,1728.9
0.37,150.62,79.2,567.93,1439.17,1726.67
0.38,149.81,78.51,549.39,1402.18,1686.56
0.39,148.73,77.89,526.59,1367.25,1766.13
0.4,147.54,77.63,519.98,1355.54,1764.96
0.41,146.77,77.83,515.99,1400.75,1754.45
0.42,145.96,77.32,505.95,1437.8,1782.68
0.43,144.41,76.27,474.28,1485.23,1880.47
0.44,143.05,75.79,480.63,1576.1,2008.63
0.45,141.26,75.8,429.53,1624.27,2276.28
0.46,137.62,75.65,379.87,1615.7,2569.06
0.47,135,75.79,293.99,1571.96,2593.46
0.48,135,76.32,366.68,1515.44,2615.87
0.49,134.29,76.33,371.96,1539.97,2599.27
0.5,131.12,75.89,295.07,1488.21,2587.63
0.51,126.94,75.39,270.44,1480.38,2594.07
0.52,122.22,74.72,237.95,1518.32,2643.24
0.53,119.36,73.1,208.66,1498.18,2630.43
0.54,0,70.18,865.54,2091.65,3402.04
0.55,0,67.2,266.61,1530.19,2579.24
0.56,0,64.27,529.32,1783.43,2569.76
0.57,0,61.61,465.55,1735.62,2987.47
0.58,0,62.29,202.37,1803.5,3091.15
0.59,0,62.88,250.63,2338.97,3503.45
0.6,482.04,64.8,253.77,1999.99,3724.18
0.61,484.19,68.18,1925.32,3681.01,4541.96
0.62,483.87,70.06,1835.56,3461.47,4338.12
0.63,479.2,69.19,1810.84,3328.5,4296.69
0.64,0,67.58,1793.25,3383.12,3864.63
0.65,0,65.99,1766.22,3069.98,3925.18
0.66,0,63,569.88,1766.32,3345.63
0.67,0,60.44,1080.92,2513.95,3733.27
0.68,0,62.39,1563.75,2632.71,3753.55
0.69,0,61.74,1329.87,2195.88,3306.09
0.7,0,56.31,978.04,1802.88,3486.24
0.71,0,56.38,842.98,2215.66,3512.65
0.72,0,64.31,882.62,2238.01,3574.38
0.73,0,71.08,462.25,1502.97,3157.97
0.74,130.84,77.39,381,744.6,2355.7
0.75,130.08,81.1,408.89,777.02,2283.42
0.76,128.47,82.24,405.65,810.19,2308.47
0.77,126.4,81.93,438.63,888.58,2300.93
0.78,124.24,82.37,500,1026.64,2293.6
0.79,122.14,83.28,523.11,1169.32,2285.04
0.8,119.91,83.21,554.3,1316.77,2093.94
0.81,117.83,82.9,574.68,1391.05,1984.38
0.82,116.15,82.57,583.58,1466.02,1941.35
0.83,114.88,82.16,578.44,1488.08,1897.93
