time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1154.72,2480.74,3729.42
0.04,0,60.74,1585.31,2873.97,3960.93
0.05,0,62.85,1914.04,2319.53,3449.75
0.06,0,62.97,552.61,1959.07,3339.05
0.07,0,61.3,1809.86,3006.76,3774.45
0.08,0,60.82,1409.39,2473.95,3626.76
0.09,0,62.16,803.13,2245,3320.13
0.1,0,64.08,1494.59,2867.7,4004.04
0.11,0,65.03,1475.4,2827.49,4078.7
0.12,0,63.43,1677.72,2858.78,3851.6
0.13,0,58.77,1647.45,2630.97,3757.42
0.14,0,57.23,1012.31,2505.22,3686.6
0.15,0,60.29,795.83,2163.5,3467.69
0.16,0,60.15,121.43,1955.22,2558.41
0.17,0,59.5,831.74,2039.06,3279.21
0.18,155.34,66.95,145.69,1843.81,2587.34
0.19,150.97,72.58,198.1,1405.22,2393.14
0.2,143.37,74.41,234.01,1024.83,2433.04
0.21,139.49,75.47,247.05,1465.98,2425.78
0.22,137.31,76.23,254.3,1591.38,2374.48
0.23,135.94,76.79,256.04,1509.27,2379.67
0.24,135.66,77.4,267.67,1461.28,2394.91
0.25,144.41,78.87,394.63,1348.6,2441.11
0.26,145.51,81.28,599.33,1369.52,2603.28
0.27,144.15,83.1,668.33,1275.08,2629.02
0.28,144.61,84.57,685.31,1174.85,2686.43
0.29,145.19,85.77,679.68,1111.9,2764.74
0.3,146.17,86.05,668.93,995.91,2860.77
0.31,146.94,85.56,631.63,901.45,2845.74
0.32,148.22,84.83,585.77,933.24,2844.49
0.33,149.44,84.12,564.74,883.5,2812.08
0.34,149.62,83.26,530.99,854.05,2851.14
0.35,150,82.56,483.65,953.72,2917.97
0.36,150.07,82.51,473.4,875.68,2773.82
0.37,150.99,82.77,484.65,835.74,2928.17
0.38,153.93,83.52,548.56,861.31,2974.62
0.39,154.47,84.72,596.57,885.5,2950.6
0.4,152.63,85.44,624.72,923.91,2941.32
0.41,149.71,85.24,615.14,919.7,2855.85
0.42,146.64,84.51,603.19,904.85,2794.29
0.43,144.44,84.2,583.25,901.33,2733.03
0.44,142.22,83.3,610.26,785.48,2754.43
0.45,138.51,81.09,575.87,834.39,2714.05
0.46,135.31,80.13,559.91,777.16,2651.11
0.47,133.01,80.84,480.8,884.36,2636.23
0.48,130.54,81.93,484.48,895.62,2559.4
0.49,128.08,82.43,540.79,902.73,2538
0.5,124.61,83.15,593.93,1063.81,2458.01
0.51,120.77,83.55,614.44,1178.47,2419.7
0.52,116.62,83.04,679.66,1309.42,2408.53
0.53,113.85,83.53,753.09,1388.74,2387.17
0.54,112.71,84.41,769.16,1442.47,2324.75
0.55,112.1,84.36,773.31,1506.04,2338.2
0.56,111.43,83.47,769.44,1505.06,2310.86
0.57,110.61,82.38,764.79,1495.17,2304.19
0.58,110,81.36,757.78,1456.97,2286.13
0.59,109.61,80.24,761.7,1464.31,2294
0.6,107.92,78.62,760.44,1435.38,2345.31
0.61,106.76,77.4,781.74,1457.67,2418.09
0.62,105.95,77.63,803.87,1377.72,2409.06
0.63,105.19,77.17,819.18,1352.29,2459.43
0.64,105.05,75.49,803.1,1261.2,2515.35
0.65,106.8,74.09,735.68,1218.04,2577.89
0.66,109.01,73.28,732.01,1253.86,2613.51
0.67,0,71.64,697.77,1368.58,2346.75
0.68,0,68.82,683.63,1468.21,2714.65
0.69,0,65.18,743.98,1331.44,2388.67
0.7,0,63.76,775.94,1289.28,2453.99
0.71,0,64.18,790.36,1078.4,2302.15
0.72,0,64.17,747.35,1416.81,2314.79
0.73,394.04,63.74,637.25,1326.67,2327.86
0.74,399.88,62.9,765.04,1655.25,2915.13
0.75,410.31,61.64,791.08,1555.94,2808.13
0.76,412.17,62.48,807.91,1778.59,2738.81
0.77,416.6,62.32,796.45,2073.56,2702.56
0.78,0,60.53,786.22,1404.01,2797.16
0.79,0,62.3,565.58,1645.78,2665.87
0.8,0,65.43,920.45,2239.65,3015.34
0.81,0,65.35,956.28,2345.09,2831.63
0.82,0,61.22,851.37,2340.05,3660.28
0.83,0,60.56,841.96,2250.6,3075.35
0.84,0,63.59,709.1,2051.91,2650.33
0.85,0,63.37,676.76,2047.24,3087.72
0.86,0,61.33,600.99,1837.32,3201.67
0.87,0,58.24,641.17,1830.33,2901.53
0.88,0,59.47,495.45,1827.29,2807.96
0.89,0,60.02,571.44,1768.5,2723.04
0.9,0,60.37,456.71,1730.06,2855.21
0.91,0,61.05,441.28,1778.21,3068.49
0.92,0,61.31,339.57,1832.12,2621.58
0.93,0,61.62,461.4,1897.63,2565.7
0.94,0,61.62,331.48,1720.69,3207.3
0.95,0,60.21,1649.16,3093.04,3242.2
0.96,0,59.1,1566.18,2693.32,3538.72
0.97,0,60.66,861.1,2012.58,3170.2
0.98,0,61.39,875.6,1936.84,3236.24
0.99,0,59.65,746.38,2440.08,3056
1,0,58.88,627.17,2172.25,3283.02
1.01,0,59.91,861.85,2197.29,3106.94
1.02,0,0,0,0,0
1.03,0,0,0,0,0
