time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1477.08,2642.13,3856.83
0.04,0,60.36,1748.64,2641.76,3790.3
0.05,0,61.08,1415.39,2360.47,3616.87
0.06,0,60.24,1189.35,2386.03,3586.05
0.07,0,58.47,1423.9,1968.62,2810.11
0.08,0,57.9,1486.99,2661.02,4157.94
0.09,0,56.88,1630.3,2797.37,4009.7
0.1,0,55.77,1240.67,2358.81,3309.73
0.11,0,58.03,1332,2354.53,3256.85
0.12,0,60.5,1108.05,2310.22,3254.53
0.13,0,62.99,1126.34,2535.67,3525.42
0.14,0,63.34,1374.69,2704.64,3766.91
0.15,0,60.94,1529.25,2554.01,3958.1
0.16,0,60.38,1862.35,3089.54,3155.04
0.17,58.07,61.83,1626.25,2749.68,3576.44
0.18,58.79,62.01,523.99,2211.23,3285.34
0.19,0,63.6,634.13,1875.12,2239.43
0.2,0,67.16,606.03,1507.52,2288.28
0.21,0,70.46,615.68,1590.65,2322.23
0.22,0,71.72,598.21,1591.81,2308.88
0.23,0,71.05,557.44,1557.6,2333.98
0.24,0,69.1,516.44,1457.87,2208.43
0.25,0,65.96,397.85,1453.17,2237
0.26,0,63.37,429.61,1503.22,2278.92
0.27,0,61.33,467.7,1511.11,2304.33
0.28,0,59.76,498.17,1567.6,2540.63
0.29,257.66,61.65,493.59,1676.87,2588.2
0.3,262.73,61.49,535.65,1707.77,2406.1
0.31,288.06,62.03,448.01,1838.98,2029.77
0.32,0,62.37,449.11,1571.23,2508.25
0.33,0,61.72,1438.96,2253.13,3213.8
0.34,0,59.87,1950.99,2470.12,3567.32
0.35,0,63.99,2131.91,2347.21,3456.14
0.36,135.63,72.07,288.07,2245.26,2676.06
0.37,135.18,76.28,296.66,2243.92,2698.85
0.38,130.73,77.13,262.36,2274.45,2781.39
0.39,131.58,76.6,263.96,2243.58,2774.62
0.4,132.68,75.81,263.1,2195.42,2695.4
0.41,132.6,73.97,260.22,2151.9,2649.12
0.42,129.79,72.09,2367.28,2946.82,4538.54
0.43,128.81,70.79,252.23,2101.81,3164.75
0.44,0,67.88,267.13,2279.79,3024
0.45,0,64.46,265.28,2261.03,3162.01
0.46,0,63.82,241.53,2315.14,3343.63
0.47,0,64.38,221.33,2148.02,3300.32
0.48,0,66.35,1559.23,2542.62,3751.18
0.49,0,68.28,1574.03,2530.39,3856.02
0.5,0,67.53,1648.29,2610.63,3776.18
0.51,125.53,68.22,1195.32,1917.43,3379.53
0.52,117.36,72.09,315.1,1882.61,2395.28
0.53,111.15,73.61,382.72,1727.62,2416.8
0.54,109.82,74.18,415.66,1809.31,2435.71
0.55,0,72.94,414.18,1873.66,2323.61
0.56,0,69.26,546.24,2153,3146.57
0.57,0,65.79,323.51,1787.1,3219.16
0.58,0,64.46,374.06,1845.25,3291.57
0.59,0,64.31,307.81,1998.83,3206.63
0.6,0,64.29,373.1,2080.65,3208.08
0.61,0,63.1,386.43,2265.1,2646.69
0.62,0,64.93,80.34,2191.82,2280.53
0.63,0,67.63,161.91,2010.14,3247.52
0.64,0,68.91,366.43,1995.97,3315.29
0.65,481.4,66.61,298.35,1782.58,3073.25
0.66,476.72,63.29,1152.57,2286,3058.17
0.67,0,65.3,1232.32,2380.33,3094.69
0.68,0,64.82,1409.66,2432.84,3523.31
0.69,0,60.92,383.97,2197.49,2709.36
0.7,0,61.08,2138.26,2638.07,3712.97
0.71,0,65.34,339.5,2208.89,2702.29
0.72,0,69.4,403.85,2029.99,2467.64
0.73,0,69.46,416.58,2022.87,2482.96
0.74,0,69.02,429.38,2062.13,2483.96
0.75,0,68.83,430.21,2017.82,2460.7
0.76,0,66.6,402.06,2073.13,2439.46
0.77,0,67.1,364.56,2068.81,2465.01
0.78,0,68.11,391.3,2138.47,2426.41
0.79,457.36,65.51,417.79,2145.03,2318.48
0.8,458.15,64.35,368.25,2088.94,2427.55
0.81,454.3,65.19,372.52,2193,2373.09
0.82,450.18,63.9,348.12,2026.9,2402.01
0.83,455.9,60.68,360.07,2175.75,2823.41
0.84,0,58.12,355.31,2034.96,2599.55
0.85,0,56.99,340.74,2015.49,2517.9
