time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,57.21,1327.04,2345.78,3891.69
0.04,0,57.75,1398.89,2390.01,3905.07
0.05,0,60.1,1986.45,3044.29,4294.48
0.06,450.64,62.31,1858.8,2382.4,3910.87
0.07,453.93,64.39,869.02,2000.13,2397.39
0.08,464,65.74,1630.49,2338.45,3500.85
0.09,471.43,65.23,1627.04,2373.61,3278.25
0.1,0,62.62,1765.68,2365.49,3225.96
0.11,0,66.04,475.35,1942.92,2497.19
0.12,119.37,73.53,551.85,1831.14,2445.97
0.13,120.44,77.31,578.14,1825.67,2424.73
0.14,121.15,78.68,604.33,1791.1,2439
0.15,121.19,79.26,606.94,1801.7,2485.06
0.16,121.05,78.89,595.71,1774.81,2476.78
0.17,120.92,77.18,548.72,1720.92,2491.17
0.18,115.52,73.69,436.89,1775.89,2545.47
0.19,113.47,69.29,430,1716.86,2563.03
0.2,118.66,65.88,483,1762.09,2644.9
0.21,120.21,64.66,489.47,1709.11,2683.37
0.22,119.92,64.26,531.49,2172.09,2571.27
0.23,0,64.63,480.54,2077.34,3136.23
0.24,0,66.22,509.64,2408.44,3605.8
0.25,0,67.34,553.93,2373.45,3254.71
0.26,0,67.06,586.7,2271.07,3395.71
0.27,0,66.2,533.05,2414.99,3508.05
0.28,0,65.33,1512.18,2744.47,4173.96
0.29,0,63.29,1607.13,3227.13,4318.46
0.3,0,60.06,286.76,1883.1,3288.34
0.31,0,60.05,468.02,2030.54,3412.59
0.32,0,61.51,415.85,2034.96,3380.88
0.33,0,61.63,1650.34,2346.66,3477.85
0.34,0,64.86,1631.62,2108.44,3382.09
0.35,118.03,69.66,1342.39,2458.89,3444.67
0.36,113.94,71.94,1299.54,2478.06,3335.06
0.37,112.2,72.63,1319.1,2730.8,3358.83
0.38,111.92,72.66,1218.36,2326.51,3569.48
0.39,111.28,72.78,1257.32,2293.58,3740.58
0.4,110.13,73.31,206.37,1343.74,2275.78
0.41,108.69,73.19,234.18,1368.66,2277.34
0.42,107.32,72.73,227.12,1394.83,2272.52
0.43,106.1,72.32,224.79,1471.04,2295.66
0.44,105.08,71.53,234.66,1516.95,2312.27
0.45,104.36,70.17,237.28,1581.14,2353.14
0.46,103.31,68.53,263.29,1584.92,2454.81
0.47,101.35,66.99,304.5,1673.9,2619.62
0.48,100.27,67.82,284.52,1720.47,2787.24
0.49,99.67,69.61,210.33,1706.31,2734.98
0.5,98.93,71.08,141.92,2238.11,3679.52
0.51,97.68,71.24,220.14,2180.88,3633
0.52,95.71,70.16,197.19,1938.91,2951.44
0.53,94.37,69.03,206.85,1985.02,3218.28
0.54,94.15,68.17,256.19,2170.67,3395.27
0.55,94.5,68.28,267.73,2388.62,3543.32
0.56,96.47,69.57,279.44,2098.75,2604.32
0.57,97.2,71.21,279.97,2092.02,2586.78
0.58,97.09,72.37,270.74,2163.03,2602.97
0.59,96.77,72.92,258.92,2205.47,2661.44
0.6,96.51,72.93,253.57,2205.81,2716.18
0.61,96.24,73.16,252.72,2252.81,2762.14
0.62,95.67,73.67,246.43,2272.49,2759.47
0.63,95.38,73.72,246.27,2276.98,2753.07
0.64,94.82,73.42,252.49,2274.5,2744.42
0.65,92.3,72.48,255.53,2321.8,2751.86
0.66,91.12,70.45,258.53,2297.81,2796.06
0.67,0,68.29,261.76,2282.03,2769.99
0.68,0,68.63,234.74,2263.82,2740.54
0.69,0,68.41,284.36,2272.25,2752.75
0.7,0,66.12,310.9,2311.65,2721.06
0.71,0,65.06,307.51,2280.38,2708.21
0.72,0,65.33,307.59,2275.98,2634.86
0.73,0,66.72,301.91,2209.45,2592.51
0.74,0,66.59,312.37,2158.86,2570.54
0.75,0,64.89,259.75,2164.41,2561.08
0.76,0,63.9,235.19,2093.71,2520.75
0.77,0,63.38,253.62,1951.64,2535.11
0.78,0,62.8,268.35,1908.69,2526.22
0.79,0,61.62,276.59,1874.85,2484.26
0.8,0,61.72,272.1,1844.7,2504.39
0.81,0,63.05,265.2,1807.28,2535.56
0.82,0,62.84,278.37,1839.62,2548.34
0.83,0,62.94,256.45,1990.74,2524.04
