time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1842.51,3278.98,4010.33
0.04,0,62.01,83.64,1517.51,2733.8
0.05,0,61.31,1761.46,2492.55,3543.75
0.06,60.97,59.01,1578.11,2783.7,4192.5
0.07,60.86,56.71,137.39,1930.81,3078.12
0.08,60.08,58.04,556.78,2146.24,3112.14
0.09,59.28,57.17,136.58,2230.31,3281.31
0.1,0,57.61,1539.26,2891.67,4297.16
0.11,0,57.32,777.43,2560.75,3642.04
0.12,0,58.69,511.59,2133.04,3267.62
0.13,0,63.95,2031.08,3223.7,4305.94
0.14,0,66.1,2059.84,3161.05,4221.18
0.15,459.89,64.15,589.79,2186.83,3189.81
0.16,454.81,62.97,1414.97,2513.01,3074.48
0.17,0,64.79,1150.54,2260.55,2756.37
0.18,0,68.08,868.94,2431.34,2937.41
0.19,0,72.43,347.88,2208.37,2762.26
0.2,0,73.32,368.35,2111.25,2626.55
0.21,0,73.29,311.16,2003.7,2492.29
0.22,0,73.25,958.33,2185.51,2783.58
0.23,0,71.44,437.35,1990.46,2456.92
0.24,0,68.31,404.69,2027.19,2489.29
0.25,0,65.95,400.05,2071.37,2495.26
0.26,0,63.29,437.91,1983.6,2760.71
0.27,0,61.63,377.95,1990.51,2818.3
0.28,0,61.14,410.51,2038.83,2882.29
0.29,0,60.67,412.63,2041.42,2864.06
0.3,0,58.73,369.94,2052.92,2558.2
0.31,0,56.81,382.48,1984.28,2592.8
0.32,0,55.51,359.76,2011.94,2557.46
0.33,443.41,56.48,414.99,2076.48,2507.6
0.34,433.18,59.44,339.5,2133.07,2592.5
0.35,413.63,60.98,1017.92,2268.62,3191.93
0.36,404.9,64.58,730.18,1275.92,2443.6
0.37,405.52,66.92,695.75,1217.95,2564.16
0.38,406.04,65.64,681.3,1209.17,2525.11
0.39,0,62.68,482.31,1236.97,2633.91
0.4,0,66.08,1113.34,2692.47,4042.46
0.41,0,71.14,477.16,1064.41,2681.82
0.42,113.84,74.05,518.28,1052.78,2604.44
0.43,113.5,75.8,500.98,1018,2684.37
0.44,112.85,76.78,502.55,1019.96,2751.62
0.45,111.81,76.79,524.12,960.19,2763.49
0.46,110.69,76.69,517.15,926.23,2878.33
0.47,110.03,77.17,507.75,921.78,2900.53
0.48,109.74,77.82,481.27,928.47,2891.73
0.49,109.48,77.19,450.87,1049.84,3008.06
0.5,109.11,74.91,440.74,1074.17,2947.47
0.51,108.67,72.59,392.62,972.97,2880.89
0.52,108.12,71.3,361.44,1027.79,2799.64
0.53,107.62,69.9,372.45,983.03,2928.44
0.54,107.86,67.96,170.99,888.26,2862.01
0.55,0,66,387.62,994.2,2809.42
0.56,450.43,67.06,416.78,927.17,2870.06
0.57,455.96,67.9,443.96,1037.74,2632.19
0.58,0,68.4,371.05,1849.82,2402.59
0.59,0,68.74,1234.51,2787.53,3839.84
0.6,487.35,67.78,379.02,1846.85,3114.5
0.61,484.38,63.54,455.41,2267.86,3067.83
0.62,484.13,60.06,1558.22,2944.9,4190.41
0.63,488.59,61.42,1683.79,2415.54,3433.69
0.64,491.91,63.35,1907.97,2409.85,3440.49
0.65,496.9,64.37,2047.45,2774.95,4057.04
0.66,0,62.37,2163.51,3097.64,4275.74
0.67,0,62.48,1435.56,2276.52,3089.66
0.68,98.83,66.78,285.91,2164.64,2623.14
0.69,99.52,69.44,297.84,2097.4,2568.26
0.7,98.38,70.54,294.68,2144.82,2618.6
0.71,97.35,70.45,276.75,2179.24,2641.09
0.72,96.06,70.11,263.31,2207.51,2643.84
0.73,94.68,71.12,246.04,2178.66,2626.91
0.74,0,71.91,255.38,2169.1,2619.72
0.75,0,71.85,276.57,2168.66,2642.32
0.76,0,69.49,295.55,2175.93,2680.95
0.77,0,67.02,303.41,2175.23,2675.22
0.78,0,66.95,260.25,2151.89,2661.77
0.79,424.84,67.61,345.34,2154.71,2645.77
0.8,423.79,67.79,329.95,2140.13,2648.54
0.81,424.38,68.6,273.47,2070.49,2573.62
0.82,425.77,67.23,294.45,2049.61,2568.6
0.83,0,63.96,288.46,2044.34,2663.82
0.84,0,63.37,227.17,1988.75,2630.61
0.85,0,62.46,273.59,2096.56,2698.54
0.86,0,64.44,178.41,2113.42,2800.04
0.87,0,65.65,146.61,2065.35,2669.81
0.88,0,65.7,214.6,2115.03,2927.28
0.89,0,67.44,164.42,2269.94,3213.7
0.9,0,69.22,124.19,2274.92,3139.33
0.91,54.52,68.31,146.36,2108.22,3258.1
0.92,56.4,65.73,169.39,2137.96,3198.86
0.93,56.28,65.88,2222.05,3227.06,4657.6
0.94,53.97,66.06,99.24,1836.06,2522.66
0.95,56.76,63.73,158.53,2177.84,2481.89
0.96,60.37,62.41,129.76,2047.54,2246.75
0.97,0,0,1312.65,2051.6,3026.76
0.98,0,0,0,0,0
0.99,0,0,0,0,0
