time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1884.03,2669.52,3805.04
0.04,0,57.1,262.77,1703.54,2627.02
0.05,0,55.89,214.87,1510,2664.75
0.06,0,54.05,1395.43,2483.71,3815.64
0.07,0,57.29,212.47,1656.36,2496.63
0.08,0,62.61,1504.03,2566.51,3889.79
0.09,0,63.66,1912.28,2821.4,4265.1
0.1,0,62.45,1410.79,2662.74,4020.73
0.11,51.9,64.53,1315.4,2645.65,3989.73
0.12,51.9,65.01,1095,2656.88,3540.99
0.13,52.2,63.92,1061,2789.86,3263.34
0.14,51.5,64.06,1070.11,2680.42,3575.17
0.15,0,67.97,535.56,1170.21,2799.04
0.16,0,73.53,567.37,1043.26,2714.91
0.17,117.95,76.25,579.05,1053.27,2694.89
0.18,118.54,76.79,572.08,1061.74,2725.47
0.19,120.39,76.67,590.43,1064.18,2715.82
0.2,121.27,76.83,599.57,1085.95,2729.75
0.21,121.23,76.92,599.2,1096.6,2802.74
0.22,120.78,77.08,564.08,1109.08,2806.73
0.23,119.93,77.48,546.5,1118.55,2777.85
0.24,119.38,77.84,534.14,1179.33,2754.27
0.25,118.83,77.92,521.33,1239.07,2735.07
0.26,118.56,77.92,507.01,1354.88,2657.87
0.27,118.55,77.97,517.03,1486.09,2602.08
0.28,118.33,77.82,513.65,1680.01,2571.18
0.29,117.82,77.69,410.39,1908.69,2513.75
0.3,117.46,77.45,308.02,2240.2,2375.08
0.31,117.02,77.15,290.74,2253.73,2329.75
0.32,115.97,76.54,295.8,2280.87,2370.52
0.33,114.67,75.88,151.17,2222.67,2915.78
0.34,113.36,75.47,205.12,2106.42,3152.91
0.35,112.75,75.43,315.1,2139.65,2398.61
0.36,112.12,74.84,268.1,1927.19,2165
0.37,111.23,74.4,272.99,2217,2248.12
0.38,110.3,74.39,314.75,2109.88,2346.18
0.39,109.73,74.96,291.28,2012.86,2424.47
0.4,104.57,74.98,272.06,1918.72,2445.78
0.41,103.59,74.38,326.37,1852.47,2457.69
0.42,102.53,73.06,422.26,1824.48,2272.43
0.43,101.22,71.71,555.16,1826.21,2304.16
0.44,100.44,72.51,522.34,1798.51,2317.59
0.45,99.6,73.75,499.88,1904.49,2261.34
0.46,99.09,74.36,466.21,1761.08,2383.47
0.47,98.52,74.63,431.48,1581.22,2537.11
0.48,97.52,74.04,293.5,1441.4,2512.3
0.49,96.95,73.42,366.11,1347.77,2505.18
0.5,96.65,73.32,347.47,1416.35,2493.19
0.51,96.25,73.13,340.72,1441.99,2475.67
0.52,95,72.54,334.04,1482.96,2483.07
0.53,93.94,71.87,353.55,1597.62,2486.68
0.54,93.87,71.47,382.49,1560.43,2509.25
0.55,93.85,71.88,485.87,1346.6,2567.66
0.56,92.33,72.55,345.6,1084.77,2626.73
0.57,91.09,73.48,544.38,1146.15,2635.26
0.58,89.85,74.11,573.39,1258.79,2638.86
0.59,87.93,74.59,621.12,1315.64,2649.95
0.6,85.97,75.1,630.21,1383.32,2640.59
0.61,85.32,75.04,622.21,1398.77,2620.01
0.62,84.56,74.18,628.21,1457.63,2624.89
0.63,84.23,72.86,621.52,1527.22,2604.76
0.64,84.63,72.27,597.05,1572.63,2595.78
0.65,84.82,72.35,599.48,1586.49,2576.06
0.66,84.3,71.92,589.58,1651.42,2554.66
0.67,83.27,70.72,573.83,1754.38,2538.03
0.68,83.02,70.29,528.29,1739.18,2507.65
0.69,83.45,69.71,514.53,1803.03,2492.13
0.7,83.62,69.15,495.18,1858.57,2465.3
0.71,83.93,69.05,483.08,1932.65,2398.96
0.72,81.58,68.02,459.72,1918.93,2357.91
0.73,81.54,67.3,436.75,1927.34,2237.07
0.74,0,67.28,410.44,1943.24,2218.83
0.75,0,66.42,442.16,1980.67,2091.6
0.76,0,65.43,397.76,1819.31,2114.97
0.77,0,65.49,301.42,1822.16,2296.35
0.78,0,64.51,377.9,1740.25,2295.47
0.79,0,61.87,384.19,1759.15,2336.19
0.8,0,59.62,391.07,1917.27,2343.85
0.81,0,59.13,462.67,1785.39,2488.16
0.82,0,57.09,407.17,1828.29,2527.22
0.83,0,55.25,418.77,1964.67,2754.18
