time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1736.31,2448.32,3540.93
0.04,0,58.58,1461.13,2842.35,3179.49
0.05,0,58.84,1596.86,2778.09,4105.81
0.06,0,57.96,1778.68,2445.47,3693.38
0.07,0,56.47,1814.95,2732.2,3565.05
0.08,0,61.05,1774.46,2425.52,3683.4
0.09,0,66.64,1745.96,2576.86,3652.3
0.1,0,66.48,1714.25,2282.75,3714.68
0.11,0,61.52,1790.32,1834.8,3426.88
0.12,0,58.33,660.03,1795.39,2942.14
0.13,0,57.13,1805.14,2881.2,3322.89
0.14,0,61.22,1637.91,2061.57,3203.9
0.15,0,63.83,1394.48,2057.34,3344.7
0.16,0,61.7,1725.64,2821.38,3975.57
0.17,0,59.72,937.43,1790.02,3046.01
0.18,450.78,61.62,1652.97,2784.37,3193.63
0.19,449.94,62.79,1418.04,2109.03,3244.45
0.2,451.92,62.36,867.04,1749.31,3157.3
0.21,0,57.34,754.9,1683.36,2692.54
0.22,0,56.03,462.44,1690.89,2670.66
0.23,0,56.94,1024.34,1699.88,3194.12
0.24,0,55.06,1201.96,1794.52,3252.57
0.25,0,51.39,1688.62,2448.41,3448.01
0.26,0,53.93,517.81,1926.38,2920.07
0.27,0,58.56,117.19,1533.37,2748.46
0.28,0,59.32,1494.3,2727.22,3897
0.29,0,60.67,1500.65,2585.17,3734.97
0.3,0,72.13,869.63,1590.34,2584.72
0.31,129.09,79.34,653.57,1460.67,2600.62
0.32,128.44,81.74,624.96,1472.84,2525.35
0.33,126.82,81.39,537.52,1511.86,2406.18
0.34,124.05,78.44,460.58,1329.07,2334.95
0.35,121.65,73.39,493.62,1256.67,2435.59
0.36,0,68.83,513.18,1350.2,2450.97
0.37,0,65.97,551.14,1377.03,2536.81
0.38,0,63.3,508.74,1352.5,2549.68
0.39,0,61.63,508.78,1301.71,2490.41
0.4,0,63.51,522.12,1301.14,2545.95
0.41,0,69.88,471.43,1692.4,3076.09
0.42,133.93,75.33,356.76,1770.23,2946.82
0.43,132.14,80.59,311.98,2079.17,2697.57
0.44,129.92,83.51,321.67,2253.44,2537.39
0.45,126.2,84.42,307.33,2301.3,2615.19
0.46,122.04,84.65,299.99,2304.51,3012.79
0.47,117.48,84.56,279.66,2333.52,3065.01
0.48,116.45,83.61,262.68,2346.75,2994.78
0.49,112.13,81.26,266.97,2312.81,2993.67
0.5,108.62,77.79,295.59,2298.85,3167.86
0.51,108.13,73.81,266.41,2308.88,3153.02
0.52,0,72.21,1776.34,2887.9,4110.06
0.53,0,72.18,728.97,2483.99,3511.94
0.54,0,71.04,2177.19,3114.79,4499.03
0.55,0,71.1,131.25,2127.65,3091.69
0.56,141.09,74.15,706.45,2355.58,3426.89
0.57,140.95,77.61,327.23,2018.89,3136.31
0.58,141.04,80.53,353.93,1887.44,2807.24
0.59,140.46,82.22,392.75,1868.74,2744.56
0.6,139.1,81.97,391.9,1835.47,2620.93
0.61,136.59,79.73,359.47,1803.42,2601.68
0.62,129.71,76.62,374.2,1862.91,2897.58
0.63,0,72.9,396.03,1914.29,3105.01
0.64,0,68.82,1778.73,2956.39,3730.52
0.65,0,67.24,372.61,1907.11,2924.46
0.66,0,66.14,187.31,1827.87,2833.57
0.67,0,64.17,422.36,1805.11,2862.41
0.68,0,63.22,401.66,1806.29,2779.05
0.69,0,64.79,404.33,1926.65,2933.63
0.7,0,70.19,446.83,1979.16,2991.01
0.71,0,71.27,830.95,1941.35,3103.53
0.72,0,66.81,684.06,2167.39,3062.76
0.73,0,65.77,426.71,2167.54,2957.95
0.74,212.36,75.8,379.04,2208.28,2987.6
0.75,210.05,82.56,375,2243.3,2974.47
0.76,208.65,84.68,417.16,2232.49,2918.14
0.77,208.97,84.46,486.8,2278.89,2948.53
0.78,208.17,83.88,525.83,2178.92,2908.04
0.79,206.74,84.35,562.75,2213.93,2923.93
0.8,204.23,84.92,586.84,2256.24,2915.53
0.81,200.41,84.86,545.03,2306.11,2981.92
0.82,189.03,84.6,476.58,2329.32,2922.15
0.83,176,84.2,481.41,2367.44,3044.98
0.84,165.54,84.23,462.32,2425.23,3030.72
