time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,58.17,185.08,1781.87,2749.33
0.04,0,56.95,178.64,1668.76,2694.62
0.05,0,58.06,195.18,1615.34,2858.25
0.06,0,61.3,883.48,2175.89,3425.13
0.07,0,66.28,1382.3,2812.63,3409.32
0.08,0,68.48,455.86,2296.89,3347.51
0.09,0,67.53,1195.04,2599.16,3705.41
0.1,0,65.28,131.17,1944.7,3251.02
0.11,0,63.95,401.17,2247.99,3277.93
0.12,0,64.5,1310.61,2722.42,3769.64
0.13,0,64.42,1530.03,2446.04,3584.94
0.14,0,63.23,618.26,2177.94,2966.6
0.15,0,61.36,434.07,2250.01,2974.29
0.16,0,59.33,835.07,2109.89,3350.54
0.17,0,59.41,1069.63,2451.23,3608.2
0.18,0,61.05,685.34,2249.56,3257.37
0.19,0,63.17,917.31,2406.42,3416.37
0.2,0,65.91,2021.99,2946.65,4293.69
0.21,0,66.38,506.99,2037.24,3041.85
0.22,0,70.16,815.98,1866.03,3116.35
0.23,0,74.71,321.93,1372.49,2879.15
0.24,132.73,78.56,347.11,1165.67,2755.18
0.25,132.4,81.6,416.24,1034.34,2846.64
0.26,132.16,82.86,375.56,1012.76,2889.3
0.27,133.28,83.35,360.77,992.73,2934.53
0.28,135.74,83.56,364.39,878.75,2988.49
0.29,139.81,84.01,360.17,811.49,3015.75
0.3,145.43,84.84,506.09,1899.64,3364.02
0.31,151.95,86.32,498.95,1780.67,3348.35
0.32,158.21,88.42,511.18,1208.4,2976.21
0.33,161.69,90.79,524.52,1609.21,2916.05
0.34,162.83,92.12,528.98,1636.23,2944.14
0.35,163.94,92.28,536.8,1722.96,2989.43
0.36,165.8,92.17,554.11,1740.83,2933.23
0.37,168.87,91.71,575.15,1746.15,2880.84
0.38,172.3,91.01,654.12,1750.84,2738.41
0.39,175.11,90.77,686.02,1731.39,2603.11
0.4,177.54,90.65,706.47,1454.37,2685.02
0.41,179.87,90.99,648.65,1553.8,2673.15
0.42,184.03,90.77,602.25,1631.28,2689.57
0.43,188.15,90.24,626.49,1612.4,2470.85
0.44,189.28,89.89,638.45,1653.24,2361.59
0.45,189.39,89.02,639.1,1153.66,2650.98
0.46,189.79,88.26,530.15,817.6,2701.86
0.47,190.45,88.6,592.51,1116.73,2683.78
0.48,191.57,88.88,592.24,824.03,2689.57
0.49,192.64,88.93,637.25,728.68,2689.65
0.5,192.92,88.71,650.81,852.78,2685.83
0.51,192.49,88.31,550.67,753.21,2693.98
0.52,191.81,88.33,538.55,787.53,2679.19
0.53,191.18,88.53,697.12,838.01,2644.92
0.54,190.14,88.27,656.28,921.52,2637.47
0.55,187.58,87.63,533.46,925.16,2656.82
0.56,183.76,85.87,409.39,969.11,2646.59
0.57,182.47,82.5,421.65,968.88,2669.07
0.58,185.42,79.82,503.1,1223.33,2785.78
0.59,188.73,78.23,803.08,2325.49,2930.83
0.6,189.83,76.73,737.07,1771.02,3021.05
0.61,189.79,74.66,921.97,2440.35,3321.29
0.62,189.81,72.36,925.77,2703.52,3560.56
0.63,190.03,70.92,927.8,2694.96,3538.61
0.64,189.94,70.94,580.95,1992.77,3368.45
0.65,189.76,70.88,362.32,960.98,2787.53
0.66,190.07,69.48,589.29,1866.08,3244.02
0.67,189.59,68.33,625.86,1844.59,3309.87
0.68,188.42,68.54,444.22,537.88,2691.19
0.69,189.08,69.18,426.9,1229.87,2924.17
0.7,190.83,70.59,485.14,1850.93,2950.26
0.71,185.16,76.02,377.49,2110.63,2951.52
0.72,178.88,79.92,307.1,2253.23,2933.83
0.73,174.37,80.09,329.92,2339.94,3088.91
0.74,167.55,78.99,340.85,2377.06,3219.21
0.75,162.39,79.19,350.69,2407.72,3278.96
0.76,159.7,79.44,332.31,2435.32,3174.78
0.77,160.5,79.02,342.74,2455.44,3192.26
0.78,161.37,79.58,344.39,2433.2,3198.07
0.79,161.02,81.01,346.94,2446.08,3142.1
0.8,158.56,82.34,340.63,2459.15,3072.62
0.81,155.03,83.65,322.94,2471.83,3002.6
0.82,151.25,84.4,308.3,2454.05,2879.64
0.83,146.47,84.83,300.94,2431.2,2790.35
